Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[8936],7114,0.382895290851593,1
0,[8936],583,0.47637274861335754,0
0,[8936],13782,0.3419766128063202,1
0,[8936],12341,0.38874390721321106,1
0,[8936],10135,0.3891860842704773,1
0,[8936],7249,0.41567695140838623,1
0,[8936],6883,0.41934335231781006,1
0,[8936],2201,0.3981277346611023,1
0,[8936],10828,0.443351149559021,1
0,[8936],7350,0.5264065861701965,0
0,[8936],8582,0.5152088403701782,0
0,[8936],2348,0.5224756598472595,0
0,[8936],11861,0.41323116421699524,1
0,[8936],4026,0.5173176527023315,0
0,[8936],7786,0.3556950092315674,1
0,[8936],2306,0.6188667416572571,0
0,[8936],10797,0.5046392679214478,0
0,[8936],13313,0.40248069167137146,1
0,[8936],7946,0.3331542909145355,1
0,[8936],1928,0.5394361615180969,0
0,[8936],2891,0.53476881980896,0
0,[8936],6393,0.45798829197883606,0
0,[8936],12265,0.48758575320243835,0
0,[8936],4554,0.599376916885376,0
0,[8936],12449,0.37679052352905273,1
0,[8936],10938,0.4544627070426941,0
0,[8936],3760,0.5628170371055603,0
0,[8936],10225,0.3865066468715668,1
0,[8936],12913,0.36439645290374756,1
0,[8936],1361,0.47925710678100586,0
0,[8936],11133,0.48148855566978455,0
0,[8936],10900,0.41770339012145996,1
0,[8936],9191,0.3890882134437561,1
0,[8936],3401,0.5617595314979553,0
0,[8936],1737,0.5064798593521118,0
0,[8936],8941,0.3443979322910309,1
0,[8936],13312,0.41672730445861816,1
0,[8936],1338,0.6696115732192993,0
0,[8936],476,0.525469183921814,0
0,[8936],4460,0.4058808386325836,1
0,[8936],4703,0.5652581453323364,0
0,[8936],5672,0.48561781644821167,0
0,[8936],2864,0.5684593319892883,0
0,[8936],13090,0.4911758005619049,0
0,[8936],3013,0.5329602360725403,0
0,[8936],3635,0.5273113250732422,0
0,[8936],7115,0.4570925533771515,0
0,[8936],7679,0.3945697247982025,1
0,[8936],7015,0.44382861256599426,1
0,[8936],6710,0.47303369641304016,0
0,[8936],12684,0.40737706422805786,1
0,[8936],2988,0.5077056884765625,0
0,[8936],4551,0.5364171266555786,0
0,[8936],10697,0.4262830913066864,1
0,[8936],11468,0.3795188367366791,1
0,[8936],5625,0.5515777468681335,0
0,[8936],5111,0.3940487802028656,1
0,[8936],10571,0.4457164704799652,0
0,[8936],5103,0.4923890233039856,0
0,[8936],12936,0.3084631562232971,1
0,[8936],4682,0.622573733329773,0
0,[8936],4720,0.5102455615997314,0
0,[8936],13762,0.38248685002326965,1
0,[8936],409,0.5272114872932434,0
0,[8936],3356,0.5874032974243164,0
0,[8936],1088,0.5286821126937866,0
0,[8936],5586,0.5376484990119934,0
0,[8936],8123,0.3150230050086975,1
0,[8936],2897,0.5497610569000244,0
0,[8936],796,0.5633591413497925,0
0,[8936],6467,0.5792004466056824,0
0,[8936],5303,0.44210878014564514,1
0,[8936],1580,0.5174184441566467,0
0,[8936],1650,0.4973616898059845,0
0,[8936],3185,0.42390501499176025,1
0,[8936],5987,0.517851710319519,0
0,[8936],12564,0.37537863850593567,1
0,[8936],2843,0.49208876490592957,0
0,[8936],3528,0.410828560590744,1
0,[8936],890,0.48877203464508057,0
0,[8936],408,0.417207270860672,1
0,[8936],3523,0.5459210872650146,0
0,[8936],13751,0.5201530456542969,0
0,[8936],443,0.4023274779319763,1
0,[8936],7819,0.4180448055267334,1
0,[8936],6542,0.6016184687614441,0
0,[8936],10073,0.3281172513961792,1
0,[8936],10499,0.3718191087245941,1
0,[8936],1531,0.4424159824848175,1
0,[8936],944,0.502299964427948,0
0,[8936],3859,0.6142598390579224,0
0,[8936],8847,0.4031763970851898,1
0,[8936],13693,0.4993193447589874,0
0,[8936],12648,0.5682137608528137,0
0,[8936],13188,0.49057257175445557,0
0,[8936],1706,0.534695565700531,0
0,[8936],13920,0.34341660141944885,1
0,[8936],164,0.41502201557159424,1
0,[8936],158,0.5201412439346313,0
0,[8936],2190,0.37955787777900696,1
0,[8936],38,0.5032014846801758,0
0,[8936],11294,0.4694911241531372,0
0,[8936],9723,0.3860679864883423,1
0,[8936],7624,0.48162609338760376,0
0,[8936],4117,0.510526180267334,0
0,[8936],11609,0.5067656636238098,0
0,[8936],3988,0.4452235698699951,1
0,[8936],10008,0.5238860249519348,0
0,[8936],12141,0.4277438819408417,1
0,[8936],3181,0.3916533291339874,1
0,[8936],1101,0.3597584366798401,1
