Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[0, 29, 3, 13]",1,2.05859375,0
0,"[0, 29, 3, 13]",2,2.111328125,0
0,"[0, 29, 3, 13]",4,0.82421875,1
0,"[0, 29, 3, 13]",5,1.814453125,0
0,"[0, 29, 3, 13]",6,1.3740234375,1
0,"[0, 29, 3, 13]",7,1.3037109375,0
0,"[0, 29, 3, 13]",8,1.6552734375,0
0,"[0, 29, 3, 13]",9,1.1240234375,1
0,"[0, 29, 3, 13]",10,1.7861328125,0
0,"[0, 29, 3, 13]",11,1.3017578125,0
0,"[0, 29, 3, 13]",12,1.5302734375,0
0,"[0, 29, 3, 13]",14,1.01953125,1
0,"[0, 29, 3, 13]",15,1.1162109375,1
0,"[0, 29, 3, 13]",16,2.58203125,0
0,"[0, 29, 3, 13]",17,1.958984375,0
0,"[0, 29, 3, 13]",18,1.8369140625,0
0,"[0, 29, 3, 13]",19,2.447265625,0
0,"[0, 29, 3, 13]",20,0.66162109375,1
0,"[0, 29, 3, 13]",21,0.87744140625,1
0,"[0, 29, 3, 13]",22,1.1513671875,0
0,"[0, 29, 3, 13]",23,0.7373046875,1
0,"[0, 29, 3, 13]",24,2.38671875,0
0,"[0, 29, 3, 13]",25,0.74169921875,1
0,"[0, 29, 3, 13]",26,1.3359375,0
0,"[0, 29, 3, 13]",27,1.3720703125,0
0,"[0, 29, 3, 13]",28,0.5986328125,0
0,"[0, 29, 3, 13]",30,1.322265625,1
0,"[0, 29, 3, 13]",31,1.59765625,0
1,"[28, 27, 10, 14]",0,0.82080078125,1
1,"[28, 27, 10, 14]",1,1.818359375,0
1,"[28, 27, 10, 14]",2,1.978515625,0
1,"[28, 27, 10, 14]",3,0.5791015625,1
1,"[28, 27, 10, 14]",4,0.8349609375,1
1,"[28, 27, 10, 14]",5,1.587890625,0
1,"[28, 27, 10, 14]",6,1.5263671875,0
1,"[28, 27, 10, 14]",7,0.9931640625,0
1,"[28, 27, 10, 14]",8,1.3857421875,0
1,"[28, 27, 10, 14]",9,0.83984375,1
1,"[28, 27, 10, 14]",11,1.21484375,0
1,"[28, 27, 10, 14]",12,1.6796875,0
1,"[28, 27, 10, 14]",13,1.458984375,0
1,"[28, 27, 10, 14]",15,0.97314453125,1
1,"[28, 27, 10, 14]",16,2.615234375,0
1,"[28, 27, 10, 14]",17,1.8798828125,0
1,"[28, 27, 10, 14]",18,1.306640625,0
1,"[28, 27, 10, 14]",19,2.3046875,0
1,"[28, 27, 10, 14]",20,0.60205078125,1
1,"[28, 27, 10, 14]",21,0.67529296875,1
1,"[28, 27, 10, 14]",22,0.7607421875,1
1,"[28, 27, 10, 14]",23,0.76123046875,1
1,"[28, 27, 10, 14]",24,2.44140625,0
1,"[28, 27, 10, 14]",25,0.84814453125,1
1,"[28, 27, 10, 14]",26,0.81494140625,1
1,"[28, 27, 10, 14]",29,1.8388671875,0
1,"[28, 27, 10, 14]",30,1.61328125,1
1,"[28, 27, 10, 14]",31,1.3828125,0
2,"[9, 10, 0, 5]",1,1.7939453125,0
2,"[9, 10, 0, 5]",2,1.3515625,1
2,"[9, 10, 0, 5]",3,0.9287109375,1
2,"[9, 10, 0, 5]",4,1.0634765625,1
2,"[9, 10, 0, 5]",6,1.470703125,0
2,"[9, 10, 0, 5]",7,1.5361328125,0
2,"[9, 10, 0, 5]",8,1.6083984375,0
2,"[9, 10, 0, 5]",11,0.775390625,1
2,"[9, 10, 0, 5]",12,1.1865234375,0
2,"[9, 10, 0, 5]",13,1.84375,0
2,"[9, 10, 0, 5]",14,0.79150390625,1
2,"[9, 10, 0, 5]",15,0.83740234375,1
2,"[9, 10, 0, 5]",16,2.361328125,0
2,"[9, 10, 0, 5]",17,1.9453125,0
2,"[9, 10, 0, 5]",18,1.4404296875,0
2,"[9, 10, 0, 5]",19,2.201171875,0
2,"[9, 10, 0, 5]",20,1.1083984375,1
2,"[9, 10, 0, 5]",21,1.025390625,1
2,"[9, 10, 0, 5]",22,1.271484375,0
2,"[9, 10, 0, 5]",23,0.77685546875,1
2,"[9, 10, 0, 5]",24,2.40234375,0
2,"[9, 10, 0, 5]",25,0.72998046875,1
2,"[9, 10, 0, 5]",26,1.1982421875,1
2,"[9, 10, 0, 5]",27,1.1494140625,1
2,"[9, 10, 0, 5]",28,0.81640625,1
2,"[9, 10, 0, 5]",29,2.123046875,0
2,"[9, 10, 0, 5]",30,1.1748046875,1
2,"[9, 10, 0, 5]",31,1.234375,0
