Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[55, 67, 5, 95]",0,0.024658203125,1
0,"[55, 67, 5, 95]",1,0.10595703125,0
0,"[55, 67, 5, 95]",2,0.059356689453125,0
0,"[55, 67, 5, 95]",3,0.212646484375,0
0,"[55, 67, 5, 95]",4,0.370849609375,0
0,"[55, 67, 5, 95]",6,0.158447265625,0
0,"[55, 67, 5, 95]",7,0.1036376953125,1
0,"[55, 67, 5, 95]",8,0.353515625,0
0,"[55, 67, 5, 95]",9,0.10296630859375,0
0,"[55, 67, 5, 95]",10,0.1480712890625,0
0,"[55, 67, 5, 95]",11,0.450927734375,0
0,"[55, 67, 5, 95]",12,0.327880859375,0
0,"[55, 67, 5, 95]",13,0.2208251953125,0
0,"[55, 67, 5, 95]",14,0.08221435546875,1
0,"[55, 67, 5, 95]",15,0.5380859375,0
0,"[55, 67, 5, 95]",5,0.40087890625,0
0,"[55, 67, 5, 95]",16,0.07379150390625,1
0,"[55, 67, 5, 95]",17,0.267333984375,0
0,"[55, 67, 5, 95]",18,0.394775390625,0
0,"[55, 67, 5, 95]",19,0.329833984375,0
0,"[55, 67, 5, 95]",20,0.10430908203125,1
0,"[55, 67, 5, 95]",21,0.081787109375,1
0,"[55, 67, 5, 95]",22,0.07891845703125,1
0,"[55, 67, 5, 95]",23,0.07733154296875,1
0,"[55, 67, 5, 95]",24,0.255615234375,0
0,"[55, 67, 5, 95]",25,0.0094757080078125,1
0,"[55, 67, 5, 95]",26,0.255126953125,0
0,"[55, 67, 5, 95]",27,0.19580078125,0
0,"[55, 67, 5, 95]",28,0.25830078125,0
0,"[55, 67, 5, 95]",29,0.1253662109375,1
0,"[55, 67, 5, 95]",30,0.1812744140625,0
0,"[55, 67, 5, 95]",31,0.10626220703125,0
0,"[55, 67, 5, 95]",32,0.324462890625,0
0,"[55, 67, 5, 95]",33,0.07373046875,1
0,"[55, 67, 5, 95]",34,0.0706787109375,1
0,"[55, 67, 5, 95]",35,0.1424560546875,0
0,"[55, 67, 5, 95]",36,0.399169921875,0
0,"[55, 67, 5, 95]",37,0.04742431640625,1
0,"[55, 67, 5, 95]",38,0.6240234375,0
1,"[58, 18, 10, 64]",0,0.025909423828125,1
1,"[58, 18, 10, 64]",1,0.18115234375,0
1,"[58, 18, 10, 64]",2,0.07232666015625,0
1,"[58, 18, 10, 64]",3,0.310791015625,1
1,"[58, 18, 10, 64]",4,0.1861572265625,1
1,"[58, 18, 10, 64]",5,0.385009765625,0
1,"[58, 18, 10, 64]",6,0.2059326171875,0
1,"[58, 18, 10, 64]",7,0.1009521484375,0
1,"[58, 18, 10, 64]",8,0.353759765625,0
1,"[58, 18, 10, 64]",9,0.049591064453125,1
1,"[58, 18, 10, 64]",11,0.28076171875,0
1,"[58, 18, 10, 64]",12,0.2413330078125,0
1,"[58, 18, 10, 64]",13,0.173828125,0
1,"[58, 18, 10, 64]",14,0.08843994140625,1
1,"[58, 18, 10, 64]",15,0.828125,0
1,"[58, 18, 10, 64]",10,0.173828125,0
1,"[58, 18, 10, 64]",16,0.06298828125,1
1,"[58, 18, 10, 64]",17,0.1904296875,0
1,"[58, 18, 10, 64]",18,0.366943359375,0
1,"[58, 18, 10, 64]",19,0.359130859375,0
1,"[58, 18, 10, 64]",20,0.16845703125,0
1,"[58, 18, 10, 64]",21,0.048370361328125,1
1,"[58, 18, 10, 64]",22,0.1787109375,0
1,"[58, 18, 10, 64]",23,0.1484375,0
1,"[58, 18, 10, 64]",24,0.142578125,1
1,"[58, 18, 10, 64]",25,0.0141448974609375,1
1,"[58, 18, 10, 64]",26,0.259765625,0
1,"[58, 18, 10, 64]",27,0.260986328125,0
1,"[58, 18, 10, 64]",28,0.30126953125,0
1,"[58, 18, 10, 64]",29,0.11358642578125,1
1,"[58, 18, 10, 64]",30,0.2388916015625,0
1,"[58, 18, 10, 64]",31,0.1514892578125,0
1,"[58, 18, 10, 64]",32,0.324462890625,0
1,"[58, 18, 10, 64]",33,0.09698486328125,0
1,"[58, 18, 10, 64]",34,0.10791015625,0
1,"[58, 18, 10, 64]",35,0.1724853515625,0
1,"[58, 18, 10, 64]",36,0.384033203125,0
1,"[58, 18, 10, 64]",37,0.098388671875,1
1,"[58, 18, 10, 64]",38,0.48291015625,0
1,"[58, 18, 10, 64]",39,0.375732421875,0
2,"[74, 86, 46, 70]",0,0.04669189453125,1
2,"[74, 86, 46, 70]",1,0.174560546875,1
2,"[74, 86, 46, 70]",2,0.05633544921875,1
2,"[74, 86, 46, 70]",3,0.1639404296875,1
2,"[74, 86, 46, 70]",4,0.1312255859375,0
2,"[74, 86, 46, 70]",5,0.298583984375,0
2,"[74, 86, 46, 70]",6,0.10992431640625,1
2,"[74, 86, 46, 70]",7,0.0718994140625,1
2,"[74, 86, 46, 70]",8,0.322509765625,0
2,"[74, 86, 46, 70]",9,0.0638427734375,1
2,"[74, 86, 46, 70]",10,0.1422119140625,0
2,"[74, 86, 46, 70]",11,0.423583984375,0
2,"[74, 86, 46, 70]",12,0.21435546875,0
2,"[74, 86, 46, 70]",13,0.139892578125,0
2,"[74, 86, 46, 70]",14,0.15283203125,0
2,"[74, 86, 46, 70]",15,0.697265625,0
2,"[74, 86, 46, 70]",16,0.044525146484375,1
2,"[74, 86, 46, 70]",17,0.145263671875,1
2,"[74, 86, 46, 70]",18,0.47216796875,0
2,"[74, 86, 46, 70]",19,0.379150390625,0
2,"[74, 86, 46, 70]",20,0.0968017578125,1
2,"[74, 86, 46, 70]",21,0.2152099609375,0
2,"[74, 86, 46, 70]",22,0.350830078125,0
2,"[74, 86, 46, 70]",23,0.3388671875,0
2,"[74, 86, 46, 70]",24,0.1766357421875,0
2,"[74, 86, 46, 70]",25,0.0178680419921875,1
2,"[74, 86, 46, 70]",26,0.16748046875,0
2,"[74, 86, 46, 70]",27,0.338134765625,0
2,"[74, 86, 46, 70]",28,0.185791015625,0
2,"[74, 86, 46, 70]",29,0.09490966796875,1
2,"[74, 86, 46, 70]",31,0.181884765625,0
2,"[74, 86, 46, 70]",32,0.2138671875,0
2,"[74, 86, 46, 70]",33,0.1065673828125,0
2,"[74, 86, 46, 70]",34,0.17333984375,0
2,"[74, 86, 46, 70]",35,0.1683349609375,0
2,"[74, 86, 46, 70]",36,0.240966796875,0
2,"[74, 86, 46, 70]",37,0.1326904296875,0
2,"[74, 86, 46, 70]",38,0.176025390625,1
2,"[74, 86, 46, 70]",39,0.4423828125,0
3,"[77, 39, 2, 92]",0,0.03729248046875,1
3,"[77, 39, 2, 92]",1,0.2626953125,1
3,"[77, 39, 2, 92]",3,0.1756591796875,1
3,"[77, 39, 2, 92]",4,0.19970703125,1
3,"[77, 39, 2, 92]",5,0.3779296875,0
3,"[77, 39, 2, 92]",6,0.1265869140625,0
3,"[77, 39, 2, 92]",7,0.0870361328125,1
3,"[77, 39, 2, 92]",8,0.484375,0
3,"[77, 39, 2, 92]",9,0.1297607421875,1
3,"[77, 39, 2, 92]",10,0.181884765625,0
3,"[77, 39, 2, 92]",11,0.363037109375,0
3,"[77, 39, 2, 92]",12,0.37060546875,0
3,"[77, 39, 2, 92]",13,0.196533203125,0
3,"[77, 39, 2, 92]",14,0.109130859375,1
3,"[77, 39, 2, 92]",15,0.6318359375,0
3,"[77, 39, 2, 92]",2,0.047607421875,1
3,"[77, 39, 2, 92]",16,0.043060302734375,1
3,"[77, 39, 2, 92]",17,0.209228515625,0
3,"[77, 39, 2, 92]",18,0.38818359375,0
3,"[77, 39, 2, 92]",19,0.314697265625,0
3,"[77, 39, 2, 92]",20,0.11578369140625,1
3,"[77, 39, 2, 92]",21,0.09686279296875,1
3,"[77, 39, 2, 92]",22,0.1904296875,0
3,"[77, 39, 2, 92]",24,0.1826171875,1
3,"[77, 39, 2, 92]",25,0.0161590576171875,1
3,"[77, 39, 2, 92]",26,0.281982421875,0
3,"[77, 39, 2, 92]",27,0.27197265625,0
3,"[77, 39, 2, 92]",28,0.22119140625,0
3,"[77, 39, 2, 92]",29,0.174560546875,0
3,"[77, 39, 2, 92]",30,0.1663818359375,0
3,"[77, 39, 2, 92]",31,0.1456298828125,0
3,"[77, 39, 2, 92]",32,0.126220703125,1
3,"[77, 39, 2, 92]",33,0.0732421875,1
3,"[77, 39, 2, 92]",34,0.1279296875,0
3,"[77, 39, 2, 92]",35,0.1768798828125,1
3,"[77, 39, 2, 92]",36,0.37548828125,0
3,"[77, 39, 2, 92]",37,0.1212158203125,0
3,"[77, 39, 2, 92]",38,0.327392578125,0
3,"[77, 39, 2, 92]",39,0.418212890625,0
4,"[38, 13, 57, 62]",0,0.06085205078125,0
4,"[38, 13, 57, 62]",1,0.12890625,0
4,"[38, 13, 57, 62]",2,0.0655517578125,0
4,"[38, 13, 57, 62]",3,0.289794921875,0
4,"[38, 13, 57, 62]",4,0.198486328125,0
4,"[38, 13, 57, 62]",5,0.410888671875,0
4,"[38, 13, 57, 62]",6,0.1824951171875,0
4,"[38, 13, 57, 62]",7,0.11126708984375,1
4,"[38, 13, 57, 62]",8,0.420166015625,0
4,"[38, 13, 57, 62]",9,0.07537841796875,1
4,"[38, 13, 57, 62]",10,0.1766357421875,0
4,"[38, 13, 57, 62]",11,0.321533203125,0
4,"[38, 13, 57, 62]",12,0.30078125,0
4,"[38, 13, 57, 62]",14,0.06304931640625,1
4,"[38, 13, 57, 62]",15,0.44287109375,0
4,"[38, 13, 57, 62]",13,0.1500244140625,0
4,"[38, 13, 57, 62]",16,0.0535888671875,1
4,"[38, 13, 57, 62]",17,0.2100830078125,0
4,"[38, 13, 57, 62]",18,0.481201171875,0
4,"[38, 13, 57, 62]",19,0.51220703125,0
4,"[38, 13, 57, 62]",20,0.16015625,0
4,"[38, 13, 57, 62]",21,0.056060791015625,1
4,"[38, 13, 57, 62]",23,0.1407470703125,0
4,"[38, 13, 57, 62]",24,0.1741943359375,1
4,"[38, 13, 57, 62]",25,0.0228424072265625,1
4,"[38, 13, 57, 62]",26,0.4306640625,0
4,"[38, 13, 57, 62]",27,0.290283203125,0
4,"[38, 13, 57, 62]",28,0.30224609375,0
4,"[38, 13, 57, 62]",29,0.0880126953125,1
4,"[38, 13, 57, 62]",30,0.2203369140625,0
4,"[38, 13, 57, 62]",31,0.109130859375,1
4,"[38, 13, 57, 62]",32,0.309326171875,0
4,"[38, 13, 57, 62]",33,0.1143798828125,0
4,"[38, 13, 57, 62]",34,0.071044921875,1
4,"[38, 13, 57, 62]",35,0.187255859375,0
4,"[38, 13, 57, 62]",36,0.373779296875,0
4,"[38, 13, 57, 62]",37,0.098876953125,1
4,"[38, 13, 57, 62]",38,0.324462890625,0
4,"[38, 13, 57, 62]",39,0.409912109375,0
5,"[27, 36, 32, 10]",0,0.03814697265625,1
5,"[27, 36, 32, 10]",1,0.153564453125,1
5,"[27, 36, 32, 10]",2,0.0654296875,1
5,"[27, 36, 32, 10]",3,0.2132568359375,0
5,"[27, 36, 32, 10]",4,0.1759033203125,1
5,"[27, 36, 32, 10]",5,0.35107421875,0
5,"[27, 36, 32, 10]",6,0.1783447265625,0
5,"[27, 36, 32, 10]",7,0.106201171875,1
5,"[27, 36, 32, 10]",8,0.380859375,0
5,"[27, 36, 32, 10]",9,0.07574462890625,1
5,"[27, 36, 32, 10]",11,0.29345703125,0
5,"[27, 36, 32, 10]",12,0.27294921875,0
5,"[27, 36, 32, 10]",13,0.1435546875,0
5,"[27, 36, 32, 10]",14,0.20166015625,0
5,"[27, 36, 32, 10]",15,0.53369140625,0
5,"[27, 36, 32, 10]",10,0.1798095703125,0
5,"[27, 36, 32, 10]",17,0.1436767578125,1
5,"[27, 36, 32, 10]",18,0.461669921875,0
5,"[27, 36, 32, 10]",19,0.376953125,0
5,"[27, 36, 32, 10]",21,0.05206298828125,1
5,"[27, 36, 32, 10]",22,0.285888671875,0
5,"[27, 36, 32, 10]",23,0.2685546875,0
5,"[27, 36, 32, 10]",24,0.177734375,0
5,"[27, 36, 32, 10]",25,0.016876220703125,1
5,"[27, 36, 32, 10]",26,0.2288818359375,0
5,"[27, 36, 32, 10]",27,0.2235107421875,0
5,"[27, 36, 32, 10]",28,0.207275390625,0
5,"[27, 36, 32, 10]",29,0.10601806640625,1
5,"[27, 36, 32, 10]",30,0.170654296875,0
5,"[27, 36, 32, 10]",31,0.1287841796875,0
5,"[27, 36, 32, 10]",32,0.273193359375,0
5,"[27, 36, 32, 10]",33,0.08880615234375,0
5,"[27, 36, 32, 10]",34,0.074951171875,1
5,"[27, 36, 32, 10]",35,0.2291259765625,0
5,"[27, 36, 32, 10]",36,0.306396484375,0
5,"[27, 36, 32, 10]",37,0.117431640625,1
5,"[27, 36, 32, 10]",38,0.42724609375,0
5,"[27, 36, 32, 10]",39,0.266357421875,0
6,"[18, 16, 98, 10]",0,0.027130126953125,1
6,"[18, 16, 98, 10]",1,0.12158203125,1
6,"[18, 16, 98, 10]",2,0.047607421875,1
6,"[18, 16, 98, 10]",3,0.43603515625,0
6,"[18, 16, 98, 10]",4,0.17724609375,0
6,"[18, 16, 98, 10]",5,0.353271484375,0
6,"[18, 16, 98, 10]",6,0.189697265625,1
6,"[18, 16, 98, 10]",7,0.139892578125,1
6,"[18, 16, 98, 10]",8,0.397216796875,0
6,"[18, 16, 98, 10]",9,0.0772705078125,0
6,"[18, 16, 98, 10]",11,0.33056640625,0
6,"[18, 16, 98, 10]",12,0.32080078125,0
6,"[18, 16, 98, 10]",13,0.1326904296875,0
6,"[18, 16, 98, 10]",14,0.055389404296875,1
6,"[18, 16, 98, 10]",15,0.5751953125,0
6,"[18, 16, 98, 10]",10,0.1444091796875,0
6,"[18, 16, 98, 10]",16,0.1300048828125,1
6,"[18, 16, 98, 10]",17,0.2388916015625,0
6,"[18, 16, 98, 10]",18,0.39013671875,0
6,"[18, 16, 98, 10]",19,0.2042236328125,0
6,"[18, 16, 98, 10]",20,0.13232421875,1
6,"[18, 16, 98, 10]",21,0.0494384765625,1
6,"[18, 16, 98, 10]",22,0.255615234375,0
6,"[18, 16, 98, 10]",23,0.1260986328125,1
6,"[18, 16, 98, 10]",24,0.1494140625,1
6,"[18, 16, 98, 10]",25,0.01299285888671875,1
