Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[28, 91, 24, 36]",0,0.28187206387519836,1
0,"[28, 91, 24, 36]",1,0.016458384692668915,1
0,"[28, 91, 24, 36]",2,0.10398006439208984,1
0,"[28, 91, 24, 36]",3,0.22063657641410828,1
0,"[28, 91, 24, 36]",4,0.05522284284234047,1
0,"[28, 91, 24, 36]",5,0.11686743050813675,1
0,"[28, 91, 24, 36]",6,0.27415093779563904,1
0,"[28, 91, 24, 36]",7,0.06150205805897713,1
0,"[28, 91, 24, 36]",8,0.13625873625278473,1
0,"[28, 91, 24, 36]",9,0.07287230342626572,1
0,"[28, 91, 24, 36]",10,0.1462816298007965,1
0,"[28, 91, 24, 36]",11,0.11101938784122467,1
0,"[28, 91, 24, 36]",12,0.06930604577064514,1
0,"[28, 91, 24, 36]",13,0.06076818332076073,1
0,"[28, 91, 24, 36]",14,0.1579301804304123,0
0,"[28, 91, 24, 36]",15,0.019515853375196457,1
0,"[28, 91, 24, 36]",16,0.12196860462427139,0
0,"[28, 91, 24, 36]",17,0.0943971574306488,1
0,"[28, 91, 24, 36]",18,0.031018955633044243,1
0,"[28, 91, 24, 36]",19,0.28098246455192566,0
0,"[28, 91, 24, 36]",21,0.042178697884082794,1
0,"[28, 91, 24, 36]",22,0.005403644405305386,1
0,"[28, 91, 24, 36]",23,0.2036695033311844,0
0,"[28, 91, 24, 36]",24,0.2910759747028351,0
0,"[28, 91, 24, 36]",25,0.009592657908797264,1
0,"[28, 91, 24, 36]",26,0.13761255145072937,0
0,"[28, 91, 24, 36]",27,0.02514953725039959,1
0,"[28, 91, 24, 36]",28,0.07834897935390472,1
0,"[28, 91, 24, 36]",29,0.006885942071676254,1
0,"[28, 91, 24, 36]",30,0.07804198563098907,1
0,"[28, 91, 24, 36]",31,0.16120322048664093,0
0,"[28, 91, 24, 36]",32,0.0037250511813908815,1
0,"[28, 91, 24, 36]",33,0.12094777822494507,0
0,"[28, 91, 24, 36]",34,0.15453773736953735,0
0,"[28, 91, 24, 36]",35,0.02577444352209568,1
0,"[28, 91, 24, 36]",36,0.26017171144485474,0
0,"[28, 91, 24, 36]",37,0.07659684866666794,1
0,"[28, 91, 24, 36]",38,0.003656167769804597,1
0,"[28, 91, 24, 36]",39,0.018977494910359383,1
1,"[36, 0, 68, 70]",1,0.025419039651751518,1
1,"[36, 0, 68, 70]",2,0.13222576677799225,1
1,"[36, 0, 68, 70]",3,0.15721458196640015,1
1,"[36, 0, 68, 70]",4,0.08529341965913773,1
1,"[36, 0, 68, 70]",5,0.1054563969373703,1
1,"[36, 0, 68, 70]",6,0.13442914187908173,1
1,"[36, 0, 68, 70]",7,0.08022533357143402,0
1,"[36, 0, 68, 70]",8,0.08922366797924042,1
1,"[36, 0, 68, 70]",9,0.08508536219596863,1
