Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[1831, 114, 1418, 665]",663,6.8359375,0
0,"[1831, 114, 1418, 665]",1588,6.8359375,0
0,"[1831, 114, 1418, 665]",2000,6.8359375,0
0,"[1831, 114, 1418, 665]",485,6.8359375,0
0,"[1831, 114, 1418, 665]",145,6.8359375,0
0,"[1831, 114, 1418, 665]",2995,6.8359375,0
0,"[1831, 114, 1418, 665]",391,6.8359375,0
0,"[1831, 114, 1418, 665]",832,6.8359375,0
0,"[1831, 114, 1418, 665]",1124,6.8359375,0
0,"[1831, 114, 1418, 665]",611,6.8359375,0
0,"[1831, 114, 1418, 665]",2599,6.8359375,0
0,"[1831, 114, 1418, 665]",3016,6.8359375,0
0,"[1831, 114, 1418, 665]",3030,6.8359375,0
0,"[1831, 114, 1418, 665]",3199,6.8359375,0
0,"[1831, 114, 1418, 665]",2356,6.8359375,0
0,"[1831, 114, 1418, 665]",3012,6.8359375,0
0,"[1831, 114, 1418, 665]",2585,6.8359375,0
0,"[1831, 114, 1418, 665]",723,6.8359375,0
0,"[1831, 114, 1418, 665]",488,6.8359375,0
0,"[1831, 114, 1418, 665]",1027,6.8359375,0
0,"[1831, 114, 1418, 665]",1744,6.8359375,0
0,"[1831, 114, 1418, 665]",824,6.8359375,0
0,"[1831, 114, 1418, 665]",1114,6.8359375,0
0,"[1831, 114, 1418, 665]",544,6.8359375,0
0,"[1831, 114, 1418, 665]",31,6.8359375,0
0,"[1831, 114, 1418, 665]",1837,6.8359375,0
0,"[1831, 114, 1418, 665]",747,6.8359375,0
0,"[1831, 114, 1418, 665]",2692,6.8359375,0
0,"[1831, 114, 1418, 665]",2576,6.8359375,0
0,"[1831, 114, 1418, 665]",2796,6.8359375,0
0,"[1831, 114, 1418, 665]",1327,6.8359375,0
0,"[1831, 114, 1418, 665]",2475,6.8359375,0
0,"[1831, 114, 1418, 665]",2205,6.8359375,0
0,"[1831, 114, 1418, 665]",152,6.8359375,0
0,"[1831, 114, 1418, 665]",1980,6.8359375,0
0,"[1831, 114, 1418, 665]",1247,6.8359375,0
0,"[1831, 114, 1418, 665]",2463,6.8359375,0
0,"[1831, 114, 1418, 665]",1853,6.8359375,0
0,"[1831, 114, 1418, 665]",1691,6.8359375,0
0,"[1831, 114, 1418, 665]",980,6.8359375,0
0,"[1831, 114, 1418, 665]",1406,6.8359375,0
0,"[1831, 114, 1418, 665]",1808,6.8359375,0
0,"[1831, 114, 1418, 665]",102,6.8359375,0
0,"[1831, 114, 1418, 665]",248,6.8359375,0
0,"[1831, 114, 1418, 665]",919,6.8359375,0
0,"[1831, 114, 1418, 665]",790,6.8359375,0
0,"[1831, 114, 1418, 665]",1700,6.8359375,0
0,"[1831, 114, 1418, 665]",1290,6.8359375,0
0,"[1831, 114, 1418, 665]",235,6.8359375,0
0,"[1831, 114, 1418, 665]",892,6.8359375,0
0,"[1831, 114, 1418, 665]",1234,6.8359375,0
0,"[1831, 114, 1418, 665]",100,6.8359375,0
0,"[1831, 114, 1418, 665]",1961,6.8359375,0
0,"[1831, 114, 1418, 665]",2971,6.8359375,0
0,"[1831, 114, 1418, 665]",2845,6.8359375,0
0,"[1831, 114, 1418, 665]",861,6.8359375,0
0,"[1831, 114, 1418, 665]",2341,6.8359375,0
0,"[1831, 114, 1418, 665]",180,6.8359375,0
0,"[1831, 114, 1418, 665]",1953,6.8359375,0
0,"[1831, 114, 1418, 665]",176,6.8359375,0
0,"[1831, 114, 1418, 665]",823,6.8359375,0
0,"[1831, 114, 1418, 665]",3145,6.8359375,0
0,"[1831, 114, 1418, 665]",212,6.8359375,0
0,"[1831, 114, 1418, 665]",1379,6.8359375,0
0,"[1831, 114, 1418, 665]",759,6.8359375,0
0,"[1831, 114, 1418, 665]",2643,6.8359375,0
0,"[1831, 114, 1418, 665]",1299,6.8359375,0
0,"[1831, 114, 1418, 665]",1962,6.8359375,0
0,"[1831, 114, 1418, 665]",378,6.8359375,0
0,"[1831, 114, 1418, 665]",1550,6.8359375,0
0,"[1831, 114, 1418, 665]",3000,6.8359375,0
0,"[1831, 114, 1418, 665]",297,6.8359375,0
0,"[1831, 114, 1418, 665]",617,6.8359375,0
0,"[1831, 114, 1418, 665]",990,6.8359375,0
0,"[1831, 114, 1418, 665]",1569,6.8359375,0
0,"[1831, 114, 1418, 665]",3166,6.8359375,0
0,"[1831, 114, 1418, 665]",1092,6.8359375,0
0,"[1831, 114, 1418, 665]",516,6.8359375,0
0,"[1831, 114, 1418, 665]",1736,6.8359375,0
0,"[1831, 114, 1418, 665]",3090,6.8359375,0
0,"[1831, 114, 1418, 665]",1599,6.8359375,0
0,"[1831, 114, 1418, 665]",58,6.8359375,0
0,"[1831, 114, 1418, 665]",2444,6.8359375,0
0,"[1831, 114, 1418, 665]",2330,6.8359375,0
0,"[1831, 114, 1418, 665]",2156,6.8359375,0
0,"[1831, 114, 1418, 665]",181,6.8359375,0
0,"[1831, 114, 1418, 665]",91,6.8359375,0
0,"[1831, 114, 1418, 665]",3048,6.8359375,0
0,"[1831, 114, 1418, 665]",1013,6.8359375,0
0,"[1831, 114, 1418, 665]",2266,6.8359375,0
0,"[1831, 114, 1418, 665]",1439,6.8359375,0
0,"[1831, 114, 1418, 665]",2231,6.8359375,0
0,"[1831, 114, 1418, 665]",1441,6.8359375,0
0,"[1831, 114, 1418, 665]",794,6.8359375,0
0,"[1831, 114, 1418, 665]",597,6.8359375,0
0,"[1831, 114, 1418, 665]",51,6.8359375,0
0,"[1831, 114, 1418, 665]",2075,6.8359375,0
0,"[1831, 114, 1418, 665]",2270,6.8359375,0
0,"[1831, 114, 1418, 665]",2042,6.8359375,0
