Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[52, 384, 550, 327]",53,1.903152346611023,0
0,"[52, 384, 550, 327]",61,2.0446743965148926,1
0,"[52, 384, 550, 327]",163,1.6278049945831299,0
0,"[52, 384, 550, 327]",40,2.235261917114258,0
0,"[52, 384, 550, 327]",86,1.3266106843948364,1
0,"[52, 384, 550, 327]",162,1.763382077217102,0
0,"[52, 384, 550, 327]",189,1.763382077217102,0
0,"[52, 384, 550, 327]",103,1.413293719291687,0
0,"[52, 384, 550, 327]",52,1.903152346611023,0
0,"[52, 384, 550, 327]",111,1.413293719291687,1
0,"[52, 384, 550, 327]",55,2.235261917114258,0
0,"[52, 384, 550, 327]",183,1.413293719291687,0
0,"[52, 384, 550, 327]",15,2.8100132942199707,0
0,"[52, 384, 550, 327]",26,2.0446743965148926,0
0,"[52, 384, 550, 327]",21,2.235261917114258,0
0,"[52, 384, 550, 327]",43,2.235261917114258,0
0,"[52, 384, 550, 327]",14,1.6278049945831299,0
0,"[52, 384, 550, 327]",121,1.6278049945831299,0
0,"[52, 384, 550, 327]",45,2.0446743965148926,1
0,"[52, 384, 550, 327]",75,1.5123807191848755,1
0,"[52, 384, 550, 327]",78,1.413293719291687,0
0,"[52, 384, 550, 327]",39,2.0446743965148926,1
0,"[52, 384, 550, 327]",100,1.6278049945831299,0
0,"[52, 384, 550, 327]",184,1.3266106843948364,1
0,"[52, 384, 550, 327]",74,1.6278049945831299,0
0,"[52, 384, 550, 327]",64,2.0446743965148926,0
0,"[52, 384, 550, 327]",58,2.235261917114258,0
0,"[52, 384, 550, 327]",24,2.235261917114258,0
0,"[52, 384, 550, 327]",169,1.2131061553955078,0
0,"[52, 384, 550, 327]",136,1.3266106843948364,0
0,"[52, 384, 550, 327]",117,1.6278049945831299,0
0,"[52, 384, 550, 327]",84,1.763382077217102,0
0,"[52, 384, 550, 327]",8,1.903152346611023,0
0,"[52, 384, 550, 327]",113,1.6278049945831299,0
0,"[52, 384, 550, 327]",152,1.413293719291687,0
0,"[52, 384, 550, 327]",180,1.763382077217102,0
0,"[52, 384, 550, 327]",82,1.6278049945831299,0
0,"[52, 384, 550, 327]",90,1.763382077217102,0
0,"[52, 384, 550, 327]",99,1.2131061553955078,0
0,"[52, 384, 550, 327]",149,1.5123807191848755,0
0,"[52, 384, 550, 327]",145,1.413293719291687,0
0,"[52, 384, 550, 327]",191,1.1037557125091553,1
0,"[52, 384, 550, 327]",130,1.413293719291687,0
0,"[52, 384, 550, 327]",94,1.5123807191848755,0
0,"[52, 384, 550, 327]",69,1.1980712413787842,1
0,"[52, 384, 550, 327]",1,2.235261917114258,0
0,"[52, 384, 550, 327]",81,1.5123807191848755,0
0,"[52, 384, 550, 327]",118,1.5123807191848755,0
0,"[52, 384, 550, 327]",153,1.413293719291687,0
0,"[52, 384, 550, 327]",35,2.235261917114258,0
0,"[52, 384, 550, 327]",89,1.763382077217102,0
0,"[52, 384, 550, 327]",146,1.763382077217102,0
0,"[52, 384, 550, 327]",44,2.235261917114258,0
0,"[52, 384, 550, 327]",159,1.3266106843948364,0
0,"[52, 384, 550, 327]",185,1.6278049945831299,0
0,"[52, 384, 550, 327]",116,1.763382077217102,0
0,"[52, 384, 550, 327]",57,2.235261917114258,0
0,"[52, 384, 550, 327]",101,1.5123807191848755,0
0,"[52, 384, 550, 327]",133,1.413293719291687,0
0,"[52, 384, 550, 327]",5,1.6278049945831299,0
0,"[52, 384, 550, 327]",127,1.6278049945831299,0
0,"[52, 384, 550, 327]",66,1.5123807191848755,0
0,"[52, 384, 550, 327]",134,1.6278049945831299,0
0,"[52, 384, 550, 327]",33,2.235261917114258,0
0,"[52, 384, 550, 327]",148,1.249284267425537,0
0,"[52, 384, 550, 327]",167,1.413293719291687,0
0,"[52, 384, 550, 327]",125,1.413293719291687,1
0,"[52, 384, 550, 327]",91,1.413293719291687,0
0,"[52, 384, 550, 327]",54,2.4958410263061523,0
0,"[52, 384, 550, 327]",141,1.413293719291687,0
0,"[52, 384, 550, 327]",150,1.1980712413787842,0
0,"[52, 384, 550, 327]",107,1.1456286907196045,0
0,"[52, 384, 550, 327]",142,1.413293719291687,0
0,"[52, 384, 550, 327]",38,2.8100132942199707,0
0,"[52, 384, 550, 327]",131,1.1980712413787842,0
0,"[52, 384, 550, 327]",144,1.413293719291687,1
0,"[52, 384, 550, 327]",71,1.413293719291687,0
0,"[52, 384, 550, 327]",190,2.0446743965148926,0
0,"[52, 384, 550, 327]",132,1.6278049945831299,0
0,"[52, 384, 550, 327]",0,2.235261917114258,0
0,"[52, 384, 550, 327]",128,1.5123807191848755,0
0,"[52, 384, 550, 327]",194,1.5123807191848755,0
0,"[52, 384, 550, 327]",88,1.5123807191848755,0
0,"[52, 384, 550, 327]",63,1.903152346611023,0
0,"[52, 384, 550, 327]",60,1.763382077217102,0
0,"[52, 384, 550, 327]",47,1.763382077217102,0
0,"[52, 384, 550, 327]",197,1.1456286907196045,0
0,"[52, 384, 550, 327]",186,1.5123807191848755,0
0,"[52, 384, 550, 327]",42,2.235261917114258,0
0,"[52, 384, 550, 327]",175,1.6278049945831299,0
0,"[52, 384, 550, 327]",25,1.6278049945831299,0
0,"[52, 384, 550, 327]",174,1.5123807191848755,0
0,"[52, 384, 550, 327]",102,1.249284267425537,1
0,"[52, 384, 550, 327]",37,2.4958410263061523,0
0,"[52, 384, 550, 327]",51,2.235261917114258,0
0,"[52, 384, 550, 327]",12,2.235261917114258,0
0,"[52, 384, 550, 327]",170,1.5123807191848755,0
0,"[52, 384, 550, 327]",192,1.3266106843948364,1
0,"[52, 384, 550, 327]",98,1.5123807191848755,0
0,"[52, 384, 550, 327]",196,1.763382077217102,0
0,"[52, 384, 550, 327]",95,1.6278049945831299,0
0,"[52, 384, 550, 327]",114,1.249284267425537,0
0,"[52, 384, 550, 327]",109,1.413293719291687,1
0,"[52, 384, 550, 327]",9,2.4958410263061523,0
0,"[52, 384, 550, 327]",29,2.235261917114258,0
0,"[52, 384, 550, 327]",13,2.4958410263061523,0
0,"[52, 384, 550, 327]",193,1.3266106843948364,1
0,"[52, 384, 550, 327]",160,1.413293719291687,0
0,"[52, 384, 550, 327]",65,1.6278049945831299,0
0,"[52, 384, 550, 327]",115,1.413293719291687,0
0,"[52, 384, 550, 327]",177,1.413293719291687,0
0,"[52, 384, 550, 327]",182,1.5123807191848755,0
0,"[52, 384, 550, 327]",72,1.763382077217102,0
0,"[52, 384, 550, 327]",147,1.5123807191848755,0
0,"[52, 384, 550, 327]",17,2.235261917114258,0
0,"[52, 384, 550, 327]",120,1.5123807191848755,0
0,"[52, 384, 550, 327]",157,1.2000764608383179,0
