Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[2485, 342]",15,0.2462521344423294,1
0,"[2485, 342]",2431,0.18319949507713318,1
0,"[2485, 342]",1713,0.6341412663459778,0
0,"[2485, 342]",2671,0.23465725779533386,1
0,"[2485, 342]",825,0.308432936668396,1
0,"[2485, 342]",1327,0.18764588236808777,1
0,"[2485, 342]",230,0.24487696588039398,1
0,"[2485, 342]",1920,0.26504722237586975,1
0,"[2485, 342]",2202,0.273237943649292,1
0,"[2485, 342]",1618,0.1710297167301178,1
0,"[2485, 342]",2087,0.24924789369106293,1
0,"[2485, 342]",1184,0.18053323030471802,1
0,"[2485, 342]",1475,0.38896334171295166,0
0,"[2485, 342]",688,0.1954500824213028,1
0,"[2485, 342]",2752,0.21492722630500793,1
0,"[2485, 342]",1246,0.2728653848171234,1
0,"[2485, 342]",343,0.7293995022773743,0
0,"[2485, 342]",100,0.536742627620697,0
0,"[2485, 342]",2776,0.20715011656284332,1
0,"[2485, 342]",1131,0.23072467744350433,1
0,"[2485, 342]",1217,0.24279792606830597,1
0,"[2485, 342]",1333,0.23278240859508514,1
0,"[2485, 342]",1717,0.6602622270584106,0
0,"[2485, 342]",2824,0.20626036822795868,1
0,"[2485, 342]",92,0.19926448166370392,1
0,"[2485, 342]",191,0.5404674410820007,0
0,"[2485, 342]",1256,0.22951728105545044,1
0,"[2485, 342]",1539,0.22835320234298706,1
0,"[2485, 342]",2376,0.1871657371520996,1
0,"[2485, 342]",1795,0.198758065700531,1
0,"[2485, 342]",943,0.603939414024353,0
0,"[2485, 342]",2692,0.15010544657707214,1
0,"[2485, 342]",221,0.6734554767608643,0
0,"[2485, 342]",155,0.45286819338798523,0
0,"[2485, 342]",2426,0.22902122139930725,1
0,"[2485, 342]",1106,0.21683146059513092,1
0,"[2485, 342]",1150,0.34950876235961914,1
0,"[2485, 342]",2660,0.5336294770240784,0
0,"[2485, 342]",1536,0.19583019614219666,1
0,"[2485, 342]",1401,0.5896058678627014,0
0,"[2485, 342]",70,0.1641416698694229,1
0,"[2485, 342]",1341,0.2962908148765564,1
0,"[2485, 342]",2600,0.18376348912715912,1
0,"[2485, 342]",756,0.5520673990249634,0
0,"[2485, 342]",2433,0.20121636986732483,1
0,"[2485, 342]",2020,0.4798422157764435,0
0,"[2485, 342]",1048,0.614544153213501,0
0,"[2485, 342]",1909,0.23687130212783813,1
0,"[2485, 342]",709,0.21990330517292023,1
0,"[2485, 342]",2286,0.16694913804531097,1
0,"[2485, 342]",2594,0.11422044783830643,1
0,"[2485, 342]",476,0.6162854433059692,0
0,"[2485, 342]",1467,0.22909855842590332,1
0,"[2485, 342]",2841,0.6840774416923523,0
0,"[2485, 342]",1868,0.5989595055580139,0
0,"[2485, 342]",907,0.7009637355804443,0
0,"[2485, 342]",1392,0.2373412549495697,1
0,"[2485, 342]",2729,0.14314424991607666,1
0,"[2485, 342]",2143,0.49714943766593933,0
0,"[2485, 342]",2436,0.2099890559911728,1
0,"[2485, 342]",495,0.24524790048599243,1
0,"[2485, 342]",2238,0.6282622218132019,0
0,"[2485, 342]",2605,0.7994397282600403,0
0,"[2485, 342]",2327,0.6420438885688782,0
0,"[2485, 342]",1756,0.23637908697128296,1
0,"[2485, 342]",823,0.23680880665779114,1
0,"[2485, 342]",95,0.5419620871543884,0
0,"[2485, 342]",1018,0.4318575859069824,0
0,"[2485, 342]",2254,0.5614783763885498,0
0,"[2485, 342]",2288,0.12488575279712677,1
0,"[2485, 342]",2308,0.16391558945178986,1
0,"[2485, 342]",701,0.26876401901245117,1
0,"[2485, 342]",1076,0.18740145862102509,1
0,"[2485, 342]",1928,0.2490886002779007,1
0,"[2485, 342]",1708,0.17097418010234833,1
0,"[2485, 342]",1871,0.5430667400360107,0
0,"[2485, 342]",797,0.20798102021217346,1
0,"[2485, 342]",815,0.5180374979972839,0
0,"[2485, 342]",169,0.15361711382865906,1
0,"[2485, 342]",2298,0.5442730188369751,0
0,"[2485, 342]",1501,0.6293624639511108,0
0,"[2485, 342]",1806,0.2440834641456604,1
0,"[2485, 342]",2417,0.6161249279975891,0
0,"[2485, 342]",285,0.22750133275985718,1
0,"[2485, 342]",992,0.5730166435241699,0
0,"[2485, 342]",2317,0.6726375818252563,0
0,"[2485, 342]",780,0.49967271089553833,0
0,"[2485, 342]",208,0.16991327702999115,1
0,"[2485, 342]",2162,0.19185768067836761,1
0,"[2485, 342]",1135,0.5447764992713928,0
0,"[2485, 342]",708,0.24675396084785461,1
0,"[2485, 342]",2383,0.2616930305957794,1
0,"[2485, 342]",1262,0.1916208565235138,1
0,"[2485, 342]",714,0.5068622827529907,0
0,"[2485, 342]",2381,0.4857446849346161,0
0,"[2485, 342]",631,0.4968078136444092,0
0,"[2485, 342]",61,0.251976877450943,1
0,"[2485, 342]",678,0.20234651863574982,1
0,"[2485, 342]",389,0.5258077383041382,0
0,"[2485, 342]",1025,0.46254849433898926,0
0,"[2485, 342]",1680,0.573456346988678,0
0,"[2485, 342]",1194,0.19712166488170624,1
0,"[2485, 342]",2749,0.6453573703765869,0
0,"[2485, 342]",1997,0.5270227193832397,0
0,"[2485, 342]",1187,0.5148792266845703,0
0,"[2485, 342]",1261,0.26224541664123535,1
0,"[2485, 342]",2209,0.2788968086242676,1
0,"[2485, 342]",2638,0.6392742991447449,0
0,"[2485, 342]",1008,0.5605326890945435,0
0,"[2485, 342]",2289,0.1736343801021576,1
0,"[2485, 342]",1678,0.5669156908988953,0
0,"[2485, 342]",1692,0.5789543390274048,0
0,"[2485, 342]",2536,0.1592741161584854,1
0,"[2485, 342]",46,0.19282716512680054,1
0,"[2485, 342]",685,0.5407954454421997,0
0,"[2485, 342]",574,0.20275776088237762,1
0,"[2485, 342]",2581,0.20290018618106842,1
0,"[2485, 342]",187,0.17918629944324493,1
0,"[2485, 342]",1785,0.2365669310092926,1
0,"[2485, 342]",1532,0.17782096564769745,1
0,"[2485, 342]",1425,0.28713127970695496,1
0,"[2485, 342]",1934,0.25450608134269714,1
0,"[2485, 342]",446,0.46206313371658325,0
0,"[2485, 342]",1390,0.23819848895072937,1
0,"[2485, 342]",2854,0.15702557563781738,1
0,"[2485, 342]",1982,0.23342670500278473,1
0,"[2485, 342]",1505,0.6317958235740662,0
0,"[2485, 342]",2214,0.21991483867168427,1
0,"[2485, 342]",2805,0.4815693795681,0
0,"[2485, 342]",987,0.2275029718875885,1
0,"[2485, 342]",1111,0.17811813950538635,1
0,"[2485, 342]",571,0.19063161313533783,1
0,"[2485, 342]",2364,0.15107157826423645,1
0,"[2485, 342]",802,0.1917399913072586,1
0,"[2485, 342]",915,0.6337170600891113,0
0,"[2485, 342]",801,0.22532637417316437,1
0,"[2485, 342]",600,0.4640008509159088,0
0,"[2485, 342]",1500,0.4907779097557068,0
0,"[2485, 342]",2237,0.5106624364852905,0
0,"[2485, 342]",1671,0.6407252550125122,0
0,"[2485, 342]",1380,0.19653752446174622,1
0,"[2485, 342]",2525,0.8143401741981506,0
0,"[2485, 342]",834,0.27741068601608276,1
0,"[2485, 342]",334,0.5852124094963074,0
0,"[2485, 342]",779,0.5616363286972046,0
0,"[2485, 342]",1023,0.528830349445343,0
0,"[2485, 342]",2093,0.49413782358169556,0
0,"[2485, 342]",413,0.6246368885040283,0
0,"[2485, 342]",1810,0.6200987696647644,0
0,"[2485, 342]",212,0.50898677110672,0
0,"[2485, 342]",1129,0.22271503508090973,1
0,"[2485, 342]",74,0.452767938375473,0
0,"[2485, 342]",2018,0.23879404366016388,1
0,"[2485, 342]",2095,0.4777182936668396,0
0,"[2485, 342]",1842,0.18607881665229797,1
0,"[2485, 342]",1297,0.5733169317245483,0
0,"[2485, 342]",2089,0.22645176947116852,1
0,"[2485, 342]",216,0.2037937492132187,1
0,"[2485, 342]",1599,0.6657010316848755,0
0,"[2485, 342]",40,0.6038684844970703,0
0,"[2485, 342]",1507,0.2247713804244995,1
0,"[2485, 342]",2556,0.20497803390026093,1
0,"[2485, 342]",1167,0.2015151083469391,1
0,"[2485, 342]",2405,0.1918010115623474,1
0,"[2485, 342]",401,0.8248922824859619,0
0,"[2485, 342]",1051,0.2383652925491333,1
0,"[2485, 342]",1712,0.5911692976951599,0
0,"[2485, 342]",2094,0.5224302411079407,0
0,"[2485, 342]",833,0.21061237156391144,1
0,"[2485, 342]",2170,0.19331404566764832,1
0,"[2485, 342]",1642,0.557059645652771,0
0,"[2485, 342]",612,0.8217412829399109,0
0,"[2485, 342]",2150,0.24861837923526764,1
0,"[2485, 342]",2829,0.614569365978241,0
0,"[2485, 342]",1128,0.5631941556930542,0
0,"[2485, 342]",1494,0.46775805950164795,0
0,"[2485, 342]",2584,0.7345391511917114,0
0,"[2485, 342]",2543,0.16633030772209167,1
0,"[2485, 342]",2772,0.7051771283149719,0
0,"[2485, 342]",1801,0.627925455570221,0
0,"[2485, 342]",2483,0.15594978630542755,1
0,"[2485, 342]",542,0.6462686061859131,0
0,"[2485, 342]",1324,0.5143974423408508,0
0,"[2485, 342]",546,0.23798415064811707,1
0,"[2485, 342]",172,0.23418091237545013,1
0,"[2485, 342]",1699,0.19252923130989075,1
0,"[2485, 342]",2304,0.1668737679719925,1
0,"[2485, 342]",2014,0.4576609134674072,0
0,"[2485, 342]",614,0.2027818113565445,1
0,"[2485, 342]",2179,0.20141655206680298,1
0,"[2485, 342]",1820,0.5492742657661438,0
0,"[2485, 342]",648,0.7140046954154968,0
0,"[2485, 342]",224,0.732776403427124,0
0,"[2485, 342]",2658,0.16529013216495514,1
0,"[2485, 342]",2555,0.23296593129634857,1
0,"[2485, 342]",1428,0.45081833004951477,0
0,"[2485, 342]",425,0.554786205291748,0
0,"[2485, 342]",2136,0.3984943628311157,0
0,"[2485, 342]",111,0.18605196475982666,1
0,"[2485, 342]",579,0.6008402109146118,0
1,"[2795, 2258]",15,0.03755484148859978,1
1,"[2795, 2258]",2431,0.02629121206700802,1
1,"[2795, 2258]",1713,1.3721888065338135,0
1,"[2795, 2258]",2671,0.033505093306303024,1
1,"[2795, 2258]",825,0.05024614930152893,1
1,"[2795, 2258]",1327,0.023865878582000732,1
1,"[2795, 2258]",230,0.03148278594017029,1
1,"[2795, 2258]",1920,0.04434077814221382,1
1,"[2795, 2258]",2202,0.04497341066598892,1
1,"[2795, 2258]",1618,0.042494408786296844,1
1,"[2795, 2258]",2087,0.036868203431367874,1
1,"[2795, 2258]",1184,0.036104753613471985,1
1,"[2795, 2258]",1475,1.2596158981323242,0
1,"[2795, 2258]",688,0.03454528748989105,1
1,"[2795, 2258]",2752,0.03152023255825043,1
1,"[2795, 2258]",1246,0.05126441642642021,1
1,"[2795, 2258]",343,1.3548303842544556,0
1,"[2795, 2258]",100,1.3761329650878906,0
1,"[2795, 2258]",2776,0.027831045910716057,1
1,"[2795, 2258]",1131,0.04565872624516487,1
1,"[2795, 2258]",1217,0.051015857607126236,1
1,"[2795, 2258]",1333,0.04010521247982979,1
1,"[2795, 2258]",1717,1.364903450012207,0
1,"[2795, 2258]",2824,0.03723681718111038,1
1,"[2795, 2258]",92,0.0311227198690176,1
1,"[2795, 2258]",191,1.4712340831756592,0
1,"[2795, 2258]",1256,0.048705458641052246,1
1,"[2795, 2258]",1539,0.04222957789897919,1
1,"[2795, 2258]",2376,0.03794281929731369,1
1,"[2795, 2258]",1795,0.04107755050063133,1
1,"[2795, 2258]",943,1.1995712518692017,0
1,"[2795, 2258]",2692,0.03890440985560417,1
1,"[2795, 2258]",221,1.596553921699524,0
1,"[2795, 2258]",155,1.3018229007720947,0
1,"[2795, 2258]",2426,0.03310055285692215,1
1,"[2795, 2258]",1106,0.04240502417087555,1
1,"[2795, 2258]",1150,0.050519801676273346,1
1,"[2795, 2258]",2660,1.450169563293457,0
1,"[2795, 2258]",1536,0.038506876677274704,1
1,"[2795, 2258]",1401,1.4117486476898193,0
1,"[2795, 2258]",70,0.04014189541339874,1
1,"[2795, 2258]",1341,0.06339118629693985,1
1,"[2795, 2258]",2600,0.04556607827544212,1
1,"[2795, 2258]",756,1.5370824337005615,0
1,"[2795, 2258]",2433,0.03103526681661606,1
1,"[2795, 2258]",2020,1.29604971408844,0
1,"[2795, 2258]",1048,1.3120183944702148,0
1,"[2795, 2258]",1909,0.038472674787044525,1
1,"[2795, 2258]",709,0.04913143813610077,1
1,"[2795, 2258]",2286,0.021342206746339798,1
1,"[2795, 2258]",2594,0.024079730734229088,1
1,"[2795, 2258]",476,1.3681834936141968,0
1,"[2795, 2258]",1467,0.04170782119035721,1
