Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[12358, 4149]",45892,2.697265625,0
0,"[12358, 4149]",29932,2.580078125,0
0,"[12358, 4149]",19112,2.89453125,0
0,"[12358, 4149]",48607,3.4140625,0
0,"[12358, 4149]",54227,3.177734375,0
0,"[12358, 4149]",32669,0.1951904296875,1
0,"[12358, 4149]",22999,2.8828125,0
0,"[12358, 4149]",19873,3.28515625,0
0,"[12358, 4149]",29487,3.263671875,0
0,"[12358, 4149]",48954,3.095703125,0
0,"[12358, 4149]",18640,0.2489013671875,1
0,"[12358, 4149]",39086,3.380859375,0
0,"[12358, 4149]",10783,2.576171875,0
0,"[12358, 4149]",4016,2.62890625,0
0,"[12358, 4149]",53663,3.15234375,0
0,"[12358, 4149]",4663,2.23828125,0
0,"[12358, 4149]",13522,2.814453125,0
0,"[12358, 4149]",37158,3.0390625,0
0,"[12358, 4149]",41865,3.185546875,0
0,"[12358, 4149]",9861,3.076171875,0
0,"[12358, 4149]",28472,2.44921875,0
0,"[12358, 4149]",8224,0.1324462890625,1
0,"[12358, 4149]",33766,0.2490234375,1
0,"[12358, 4149]",11533,2.509765625,0
0,"[12358, 4149]",6107,2.130859375,0
0,"[12358, 4149]",22186,2.5859375,0
0,"[12358, 4149]",20851,2.998046875,0
0,"[12358, 4149]",50440,2.724609375,0
0,"[12358, 4149]",28379,3.484375,0
0,"[12358, 4149]",32254,2.705078125,0
0,"[12358, 4149]",18952,0.20458984375,1
0,"[12358, 4149]",22119,2.298828125,0
0,"[12358, 4149]",30946,0.164306640625,1
0,"[12358, 4149]",16705,3.3984375,0
0,"[12358, 4149]",12796,2.599609375,0
0,"[12358, 4149]",46168,3.404296875,0
0,"[12358, 4149]",20480,3.3359375,0
0,"[12358, 4149]",7532,3.341796875,0
0,"[12358, 4149]",44474,3.625,0
0,"[12358, 4149]",48153,3.44921875,0
0,"[12358, 4149]",50254,2.2421875,0
0,"[12358, 4149]",7104,0.228759765625,1
0,"[12358, 4149]",31078,3.126953125,0
0,"[12358, 4149]",27682,2.1796875,0
0,"[12358, 4149]",25684,3.1328125,0
0,"[12358, 4149]",4911,2.892578125,0
0,"[12358, 4149]",42446,2.666015625,0
0,"[12358, 4149]",16485,2.943359375,0
0,"[12358, 4149]",25634,3.353515625,0
0,"[12358, 4149]",925,3.0546875,0
0,"[12358, 4149]",11993,0.1490478515625,1
0,"[12358, 4149]",50112,2.7734375,0
0,"[12358, 4149]",42670,2.923828125,0
0,"[12358, 4149]",20066,0.3330078125,1
0,"[12358, 4149]",46577,3.126953125,0
0,"[12358, 4149]",52049,3.12890625,0
0,"[12358, 4149]",51825,3.556640625,0
0,"[12358, 4149]",53972,2.35546875,0
0,"[12358, 4149]",18279,3.14453125,0
0,"[12358, 4149]",20418,0.2044677734375,1
0,"[12358, 4149]",52238,2.953125,0
0,"[12358, 4149]",52786,3.80859375,0
0,"[12358, 4149]",45160,3.26171875,0
0,"[12358, 4149]",20789,3.265625,0
0,"[12358, 4149]",18713,0.204345703125,1
0,"[12358, 4149]",26514,3.31640625,0
0,"[12358, 4149]",39069,2.392578125,0
0,"[12358, 4149]",47186,2.365234375,0
0,"[12358, 4149]",9247,0.2489013671875,1
0,"[12358, 4149]",10749,0.313232421875,1
0,"[12358, 4149]",13503,2.962890625,0
0,"[12358, 4149]",23296,0.239990234375,1
0,"[12358, 4149]",12387,2.60546875,0
0,"[12358, 4149]",25515,3.142578125,0
0,"[12358, 4149]",12207,0.27685546875,1
0,"[12358, 4149]",23746,2.9453125,0
0,"[12358, 4149]",36580,3.37109375,0
0,"[12358, 4149]",14963,2.583984375,0
0,"[12358, 4149]",37417,3.150390625,0
0,"[12358, 4149]",24847,2.380859375,0
0,"[12358, 4149]",5823,3.06640625,0
0,"[12358, 4149]",4562,0.35009765625,1
0,"[12358, 4149]",51815,2.501953125,0
0,"[12358, 4149]",8405,0.306640625,1
0,"[12358, 4149]",39506,3.748046875,0
0,"[12358, 4149]",29278,3.244140625,0
0,"[12358, 4149]",34862,3.21875,0
0,"[12358, 4149]",18770,2.576171875,0
0,"[12358, 4149]",11417,0.29345703125,1
0,"[12358, 4149]",19997,3.20703125,0
0,"[12358, 4149]",29038,3.056640625,0
0,"[12358, 4149]",46851,3.04296875,0
0,"[12358, 4149]",48487,3.419921875,0
