Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[6590],513,1.216796875,0
0,[6590],514,2.390625,0
0,[6590],354,0.36865234375,1
0,[6590],516,1.5341796875,0
0,[6590],1,1.3095703125,0
0,[6590],518,0.93310546875,0
0,[6590],353,0.85791015625,0
0,[6590],10,2.958984375,0
0,[6590],13,1.3671875,0
0,[6590],14,0.74560546875,0
0,[6590],526,0.27294921875,0
0,[6590],527,0.369384765625,0
0,[6590],369,0.1866455078125,1
0,[6590],530,0.48095703125,0
0,[6590],531,1.23828125,0
0,[6590],371,0.0799560546875,1
0,[6590],534,0.93603515625,0
0,[6590],374,0.33837890625,0
0,[6590],539,0.70361328125,0
0,[6590],379,0.12127685546875,1
0,[6590],35,0.341552734375,1
0,[6590],36,0.6669921875,0
0,[6590],39,0.67138671875,0
0,[6590],556,0.285888671875,1
0,[6590],46,0.421630859375,0
0,[6590],238,0.98681640625,0
0,[6590],245,3.486328125,0
0,[6590],407,0.1124267578125,1
0,[6590],56,1.0126953125,0
0,[6590],570,0.52197265625,1
0,[6590],58,0.3232421875,1
0,[6590],60,0.7451171875,0
0,[6590],571,0.58984375,0
0,[6590],418,0.509765625,0
0,[6590],422,0.29833984375,0
0,[6590],266,0.71826171875,0
0,[6590],75,1.2109375,0
0,[6590],596,0.1822509765625,1
0,[6590],279,0.60302734375,0
0,[6590],88,0.380615234375,1
0,[6590],440,1.1357421875,1
0,[6590],96,2.59375,0
0,[6590],97,2.298828125,0
0,[6590],99,0.413330078125,0
0,[6590],613,0.96875,0
0,[6590],454,0.1697998046875,1
0,[6590],103,0.2802734375,1
0,[6590],620,2.638671875,0
0,[6590],623,0.1939697265625,1
0,[6590],624,0.173828125,1
0,[6590],113,0.41796875,0
0,[6590],470,0.28271484375,0
0,[6590],475,0.0762939453125,1
0,[6590],123,0.350341796875,1
0,[6590],317,2.90625,0
0,[6590],481,0.07305908203125,1
0,[6590],322,0.7060546875,0
0,[6590],131,1.060546875,0
0,[6590],482,0.306884765625,0
0,[6590],484,0.251953125,0
0,[6590],486,0.33935546875,0
0,[6590],136,0.7451171875,0
0,[6590],138,2.23828125,0
0,[6590],140,2.310546875,0
0,[6590],336,0.5537109375,0
0,[6590],657,1.4248046875,0
0,[6590],338,3.779296875,0
0,[6590],499,0.2073974609375,1
0,[6590],660,0.7216796875,0
0,[6590],659,2.701171875,0
0,[6590],152,0.9814453125,0
0,[6590],156,0.1297607421875,1
0,[6590],5,0.923828125,0
0,[6590],519,0.392333984375,0
0,[6590],169,2.638671875,0
0,[6590],171,0.59326171875,0
0,[6590],15,0.7470703125,0
0,[6590],532,0.5634765625,0
0,[6590],373,0.921875,0
