Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[25679, 16965, 52159, 52588]",45892,0.45263671875,0
0,"[25679, 16965, 52159, 52588]",29932,0.59619140625,1
0,"[25679, 16965, 52159, 52588]",19112,0.97265625,0
0,"[25679, 16965, 52159, 52588]",48607,0.00431060791015625,0
0,"[25679, 16965, 52159, 52588]",54227,1.263671875,0
0,"[25679, 16965, 52159, 52588]",32669,3.556640625,0
0,"[25679, 16965, 52159, 52588]",22999,1.61328125,0
0,"[25679, 16965, 52159, 52588]",19873,0.837890625,0
0,"[25679, 16965, 52159, 52588]",29487,0.0007796287536621094,0
0,"[25679, 16965, 52159, 52588]",48954,0.7939453125,0
0,"[25679, 16965, 52159, 52588]",18640,3.587890625,0
0,"[25679, 16965, 52159, 52588]",39086,0.841796875,0
0,"[25679, 16965, 52159, 52588]",10783,0.46044921875,1
0,"[25679, 16965, 52159, 52588]",4016,1.0234375,0
0,"[25679, 16965, 52159, 52588]",53663,0.00017774105072021484,0
0,"[25679, 16965, 52159, 52588]",4663,0.0027179718017578125,0
0,"[25679, 16965, 52159, 52588]",13522,0.003536224365234375,0
0,"[25679, 16965, 52159, 52588]",37158,0.00023615360260009766,0
0,"[25679, 16965, 52159, 52588]",41865,0.45556640625,1
0,"[25679, 16965, 52159, 52588]",9861,0.05511474609375,0
0,"[25679, 16965, 52159, 52588]",28472,0.422607421875,1
0,"[25679, 16965, 52159, 52588]",8224,0.05035400390625,0
0,"[25679, 16965, 52159, 52588]",33766,4.1796875,0
0,"[25679, 16965, 52159, 52588]",11533,0.119384765625,0
0,"[25679, 16965, 52159, 52588]",6107,0.004764556884765625,0
0,"[25679, 16965, 52159, 52588]",22186,0.47802734375,1
0,"[25679, 16965, 52159, 52588]",20851,0.94287109375,0
0,"[25679, 16965, 52159, 52588]",50440,0.006931304931640625,0
0,"[25679, 16965, 52159, 52588]",28379,0.0023403167724609375,0
0,"[25679, 16965, 52159, 52588]",32254,0.43408203125,0
0,"[25679, 16965, 52159, 52588]",18952,3.005859375,0
0,"[25679, 16965, 52159, 52588]",22119,0.66357421875,1
0,"[25679, 16965, 52159, 52588]",30946,0.58251953125,0
0,"[25679, 16965, 52159, 52588]",16705,0.026519775390625,0
0,"[25679, 16965, 52159, 52588]",12796,0.39453125,1
