Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
144,"[2090, 2427, 1542, 2786]",15,0.0232696533203125,1
144,"[2090, 2427, 1542, 2786]",2431,0.01221466064453125,1
144,"[2090, 2427, 1542, 2786]",1713,2.44921875,0
144,"[2090, 2427, 1542, 2786]",2671,0.0228271484375,1
144,"[2090, 2427, 1542, 2786]",825,0.0182952880859375,1
144,"[2090, 2427, 1542, 2786]",1327,0.0211181640625,1
144,"[2090, 2427, 1542, 2786]",230,0.0186920166015625,1
144,"[2090, 2427, 1542, 2786]",1920,0.0215911865234375,1
144,"[2090, 2427, 1542, 2786]",2202,0.0270843505859375,1
144,"[2090, 2427, 1542, 2786]",1618,0.02978515625,1
144,"[2090, 2427, 1542, 2786]",2087,0.1304931640625,1
144,"[2090, 2427, 1542, 2786]",1184,0.02587890625,1
144,"[2090, 2427, 1542, 2786]",1475,2.90625,0
144,"[2090, 2427, 1542, 2786]",688,0.021484375,1
144,"[2090, 2427, 1542, 2786]",2752,0.0257110595703125,1
144,"[2090, 2427, 1542, 2786]",1246,0.0193328857421875,1
144,"[2090, 2427, 1542, 2786]",343,2.966796875,0
144,"[2090, 2427, 1542, 2786]",100,3.146484375,0
144,"[2090, 2427, 1542, 2786]",2776,0.02606201171875,1
144,"[2090, 2427, 1542, 2786]",1131,0.0188140869140625,1
144,"[2090, 2427, 1542, 2786]",1217,0.0538330078125,1
144,"[2090, 2427, 1542, 2786]",1333,0.02569580078125,1
144,"[2090, 2427, 1542, 2786]",1717,2.322265625,0
144,"[2090, 2427, 1542, 2786]",2824,0.0200653076171875,1
144,"[2090, 2427, 1542, 2786]",92,0.0252227783203125,1
144,"[2090, 2427, 1542, 2786]",191,2.66015625,0
144,"[2090, 2427, 1542, 2786]",1256,0.0213623046875,1
144,"[2090, 2427, 1542, 2786]",1539,0.087646484375,1
144,"[2090, 2427, 1542, 2786]",2376,0.01702880859375,1
144,"[2090, 2427, 1542, 2786]",1795,0.0272979736328125,1
144,"[2090, 2427, 1542, 2786]",943,3.041015625,0
144,"[2090, 2427, 1542, 2786]",2692,0.02679443359375,1
144,"[2090, 2427, 1542, 2786]",221,2.921875,0
144,"[2090, 2427, 1542, 2786]",155,2.818359375,0
144,"[2090, 2427, 1542, 2786]",2426,0.0679931640625,1
144,"[2090, 2427, 1542, 2786]",1106,0.02520751953125,1
144,"[2090, 2427, 1542, 2786]",1150,0.0294647216796875,1
144,"[2090, 2427, 1542, 2786]",2660,2.01953125,0
144,"[2090, 2427, 1542, 2786]",1536,0.06719970703125,1
144,"[2090, 2427, 1542, 2786]",1401,3.16015625,0
144,"[2090, 2427, 1542, 2786]",70,0.0232391357421875,1
144,"[2090, 2427, 1542, 2786]",1341,0.0309295654296875,1
144,"[2090, 2427, 1542, 2786]",2600,0.0196075439453125,1
144,"[2090, 2427, 1542, 2786]",756,2.630859375,0
144,"[2090, 2427, 1542, 2786]",2433,0.0194854736328125,1
144,"[2090, 2427, 1542, 2786]",2020,2.64453125,0
144,"[2090, 2427, 1542, 2786]",1048,2.40234375,0
144,"[2090, 2427, 1542, 2786]",1909,0.01276397705078125,1
144,"[2090, 2427, 1542, 2786]",709,0.0250701904296875,1
144,"[2090, 2427, 1542, 2786]",2286,0.0206451416015625,1
144,"[2090, 2427, 1542, 2786]",2594,0.0243377685546875,1
144,"[2090, 2427, 1542, 2786]",476,2.9375,0
144,"[2090, 2427, 1542, 2786]",1467,0.0213775634765625,1
144,"[2090, 2427, 1542, 2786]",2841,2.99609375,0
144,"[2090, 2427, 1542, 2786]",1868,2.544921875,0
144,"[2090, 2427, 1542, 2786]",907,2.880859375,0
144,"[2090, 2427, 1542, 2786]",1392,0.0222930908203125,1
144,"[2090, 2427, 1542, 2786]",2729,0.0218505859375,1
144,"[2090, 2427, 1542, 2786]",2143,3.263671875,0
144,"[2090, 2427, 1542, 2786]",2436,0.0200042724609375,1
144,"[2090, 2427, 1542, 2786]",495,0.024658203125,1
144,"[2090, 2427, 1542, 2786]",2238,2.892578125,0
144,"[2090, 2427, 1542, 2786]",2605,2.865234375,0
144,"[2090, 2427, 1542, 2786]",2327,3.14453125,0
144,"[2090, 2427, 1542, 2786]",1756,0.060699462890625,1
144,"[2090, 2427, 1542, 2786]",823,0.0227203369140625,1
144,"[2090, 2427, 1542, 2786]",95,3.205078125,0
144,"[2090, 2427, 1542, 2786]",1018,2.99609375,0
144,"[2090, 2427, 1542, 2786]",2254,3.0546875,0
144,"[2090, 2427, 1542, 2786]",2288,0.0150146484375,1
144,"[2090, 2427, 1542, 2786]",2308,0.01425933837890625,1
144,"[2090, 2427, 1542, 2786]",701,0.0229644775390625,1
144,"[2090, 2427, 1542, 2786]",1076,0.03472900390625,1
144,"[2090, 2427, 1542, 2786]",1928,0.020050048828125,1
144,"[2090, 2427, 1542, 2786]",1708,0.02532958984375,1
144,"[2090, 2427, 1542, 2786]",1871,2.4453125,0
144,"[2090, 2427, 1542, 2786]",797,0.0296783447265625,1
144,"[2090, 2427, 1542, 2786]",815,2.701171875,0
144,"[2090, 2427, 1542, 2786]",169,0.03009033203125,1
144,"[2090, 2427, 1542, 2786]",2298,3.50390625,0
144,"[2090, 2427, 1542, 2786]",1501,2.45703125,0
144,"[2090, 2427, 1542, 2786]",1806,0.038360595703125,1
144,"[2090, 2427, 1542, 2786]",2417,2.072265625,0
144,"[2090, 2427, 1542, 2786]",285,0.01364898681640625,1
144,"[2090, 2427, 1542, 2786]",992,2.86328125,0
144,"[2090, 2427, 1542, 2786]",2317,2.9375,0
144,"[2090, 2427, 1542, 2786]",780,2.703125,0
144,"[2090, 2427, 1542, 2786]",208,0.0197296142578125,1
144,"[2090, 2427, 1542, 2786]",2162,0.0226287841796875,1
144,"[2090, 2427, 1542, 2786]",1135,2.982421875,0
144,"[2090, 2427, 1542, 2786]",708,0.0200653076171875,1
144,"[2090, 2427, 1542, 2786]",2383,0.0265960693359375,1
144,"[2090, 2427, 1542, 2786]",1262,0.037261962890625,1
144,"[2090, 2427, 1542, 2786]",714,2.345703125,0
144,"[2090, 2427, 1542, 2786]",2381,2.876953125,0
144,"[2090, 2427, 1542, 2786]",631,2.1796875,0
144,"[2090, 2427, 1542, 2786]",61,0.0227203369140625,1
144,"[2090, 2427, 1542, 2786]",678,0.014007568359375,1
144,"[2090, 2427, 1542, 2786]",389,2.8203125,0
144,"[2090, 2427, 1542, 2786]",1025,2.615234375,0
144,"[2090, 2427, 1542, 2786]",1680,2.41796875,0
144,"[2090, 2427, 1542, 2786]",1194,0.0203399658203125,1
144,"[2090, 2427, 1542, 2786]",2749,2.791015625,0
144,"[2090, 2427, 1542, 2786]",1997,2.71875,0
144,"[2090, 2427, 1542, 2786]",1187,2.892578125,0
144,"[2090, 2427, 1542, 2786]",1261,0.02117919921875,1
144,"[2090, 2427, 1542, 2786]",2209,0.0173492431640625,1
144,"[2090, 2427, 1542, 2786]",2638,3.083984375,0
144,"[2090, 2427, 1542, 2786]",1008,2.732421875,0
144,"[2090, 2427, 1542, 2786]",2289,0.0156402587890625,1
144,"[2090, 2427, 1542, 2786]",1678,2.775390625,0
144,"[2090, 2427, 1542, 2786]",1692,2.732421875,0
144,"[2090, 2427, 1542, 2786]",2536,0.014892578125,1
144,"[2090, 2427, 1542, 2786]",46,0.0162506103515625,1
144,"[2090, 2427, 1542, 2786]",685,3.53515625,0
144,"[2090, 2427, 1542, 2786]",574,0.035614013671875,1
144,"[2090, 2427, 1542, 2786]",2581,0.018798828125,1
144,"[2090, 2427, 1542, 2786]",187,0.0261077880859375,1
144,"[2090, 2427, 1542, 2786]",1785,0.0227203369140625,1
144,"[2090, 2427, 1542, 2786]",1532,0.045013427734375,1
144,"[2090, 2427, 1542, 2786]",1425,0.061279296875,1
144,"[2090, 2427, 1542, 2786]",1934,0.017120361328125,1
144,"[2090, 2427, 1542, 2786]",446,2.62890625,0
144,"[2090, 2427, 1542, 2786]",1390,0.0225067138671875,1
144,"[2090, 2427, 1542, 2786]",2854,0.0221405029296875,1
144,"[2090, 2427, 1542, 2786]",1982,0.0178070068359375,1
144,"[2090, 2427, 1542, 2786]",1505,2.263671875,0
144,"[2090, 2427, 1542, 2786]",2214,0.0213165283203125,1
144,"[2090, 2427, 1542, 2786]",2805,3.041015625,0
144,"[2090, 2427, 1542, 2786]",987,0.0201263427734375,1
144,"[2090, 2427, 1542, 2786]",1111,0.0180206298828125,1
144,"[2090, 2427, 1542, 2786]",571,0.0252532958984375,1
144,"[2090, 2427, 1542, 2786]",2364,0.0298309326171875,1
