Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[1],0,1.0927734375,1
0,[1],2,2.0234375,0
0,[1],3,1.2841796875,1
0,[1],4,1.931640625,0
0,[1],5,1.291015625,0
0,[1],6,1.873046875,0
0,[1],7,1.724609375,0
0,[1],8,2.021484375,0
0,[1],9,1.1748046875,1
0,[1],10,2.63671875,0
0,[1],11,0.9921875,1
0,[1],12,1.5556640625,0
0,[1],13,1.759765625,0
0,[1],14,1.330078125,1
0,[1],15,1.16796875,1
0,[1],16,2.24609375,0
0,[1],17,1.7294921875,1
0,[1],18,1.7685546875,0
0,[1],19,2.33203125,0
0,[1],20,1.0048828125,1
0,[1],21,1.2314453125,1
0,[1],22,1.5556640625,0
0,[1],23,1.5771484375,0
0,[1],24,2.294921875,0
0,[1],25,1.0576171875,1
0,[1],26,1.671875,1
0,[1],27,1.4013671875,0
0,[1],28,1.0361328125,0
0,[1],29,2.263671875,0
0,[1],30,1.0947265625,1
0,[1],31,1.5595703125,0
1,[8],0,0.87255859375,1
1,[8],1,1.740234375,0
1,[8],2,1.818359375,0
1,[8],3,0.8271484375,1
1,[8],4,0.9697265625,1
1,[8],5,1.4462890625,0
1,[8],6,1.341796875,0
1,[8],7,0.92578125,1
1,[8],9,1.0283203125,1
1,[8],10,1.408203125,0
1,[8],11,1.1279296875,0
1,[8],12,1.8759765625,0
1,[8],13,1.8515625,0
1,[8],14,0.755859375,1
1,[8],15,1.10546875,1
1,[8],16,2.544921875,0
1,[8],17,1.876953125,1
1,[8],18,1.611328125,0
1,[8],19,2.58203125,0
1,[8],20,1.0087890625,1
1,[8],21,1.1650390625,1
1,[8],22,1.2861328125,0
1,[8],23,0.9248046875,1
1,[8],24,2.328125,0
1,[8],25,1.1689453125,1
1,[8],26,1.0556640625,1
1,[8],27,1.2490234375,0
1,[8],28,1.06640625,0
1,[8],29,1.81640625,0
1,[8],30,1.1650390625,1
1,[8],31,1.5869140625,0
2,[10],0,1.0048828125,1
2,[10],1,1.7763671875,0
2,[10],2,2.001953125,0
2,[10],3,0.9990234375,1
2,[10],4,0.99609375,1
2,[10],5,1.5283203125,0
2,[10],6,1.58984375,0
2,[10],7,1.107421875,0
2,[10],8,1.4306640625,0
2,[10],9,1.16796875,1
2,[10],11,1.2080078125,0
2,[10],12,1.91015625,0
2,[10],13,1.8662109375,0
2,[10],14,1.220703125,1
2,[10],15,1.07421875,1
2,[10],16,2.58984375,0
2,[10],17,2.0703125,0
2,[10],18,1.619140625,0
2,[10],19,2.759765625,0
2,[10],20,1.1748046875,0
2,[10],21,1.142578125,1
2,[10],22,1.5078125,0
2,[10],23,0.7998046875,1
2,[10],24,2.39453125,0
2,[10],25,1.2880859375,1
2,[10],26,0.89990234375,1
2,[10],27,1.390625,0
2,[10],28,1.0849609375,0
2,[10],29,1.9912109375,0
2,[10],30,1.4365234375,1
2,[10],31,1.5517578125,0
3,[30],0,1.0947265625,1
3,[30],1,1.236328125,1
3,[30],2,1.7294921875,0
3,[30],3,1.314453125,1
3,[30],4,1.7998046875,0
3,[30],5,1.3447265625,0
3,[30],6,1.798828125,0
3,[30],7,1.642578125,0
3,[30],8,1.9033203125,0
3,[30],9,1.2548828125,1
3,[30],10,2.572265625,0
3,[30],11,0.974609375,1
3,[30],12,1.6826171875,0
3,[30],13,1.724609375,0
3,[30],14,1.0732421875,1
3,[30],15,1.12890625,1
3,[30],16,2.232421875,0
3,[30],17,1.7861328125,1
3,[30],18,1.6015625,0
3,[30],19,2.263671875,0
3,[30],20,0.99658203125,1
3,[30],21,1.208984375,1
3,[30],22,1.4189453125,0
3,[30],23,1.259765625,1
3,[30],24,2.353515625,0
3,[30],25,0.93359375,1
3,[30],26,1.5029296875,1
3,[30],27,1.3623046875,0
3,[30],28,1.029296875,0
3,[30],29,2.13671875,0
3,[30],31,1.5244140625,0
4,[6],0,0.89501953125,1
4,[6],1,1.765625,0
4,[6],2,1.7685546875,0
4,[6],3,0.7763671875,1
4,[6],4,0.8740234375,1
4,[6],5,1.4560546875,0
4,[6],7,1.193359375,0
4,[6],8,1.2802734375,0
4,[6],9,0.96923828125,1
4,[6],10,1.423828125,0
4,[6],11,1.130859375,0
4,[6],12,1.578125,0
4,[6],13,1.8642578125,0
