Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[14321],513,0.06537336856126785,1
0,[14321],514,0.7755616307258606,0
0,[14321],354,0.2717891335487366,0
0,[14321],516,0.30006739497184753,0
0,[14321],1,0.44556885957717896,0
0,[14321],518,0.08518779277801514,1
0,[14321],353,0.43575620651245117,0
0,[14321],10,1.0469739437103271,0
0,[14321],13,0.37278175354003906,0
0,[14321],14,0.1283928006887436,1
0,[14321],526,0.07108409702777863,1
0,[14321],527,0.08051350712776184,1
0,[14321],369,0.20530901849269867,0
0,[14321],530,0.09129303693771362,1
0,[14321],531,0.23193861544132233,1
0,[14321],371,0.11544210463762283,1
0,[14321],534,0.21235598623752594,1
0,[14321],374,0.08659988641738892,1
0,[14321],539,0.20089145004749298,1
0,[14321],379,0.12190021574497223,1
0,[14321],35,0.2665318250656128,1
0,[14321],36,0.08957325667142868,1
0,[14321],39,0.1091965064406395,1
0,[14321],556,0.07759310305118561,1
0,[14321],46,0.10713493824005127,1
0,[14321],238,0.1774345487356186,1
0,[14321],245,0.6493080258369446,0
0,[14321],407,0.1743924468755722,0
0,[14321],56,0.40243425965309143,0
0,[14321],570,0.06405069679021835,1
0,[14321],58,0.0839441642165184,1
0,[14321],60,0.18204347789287567,0
0,[14321],571,0.06298498064279556,1
0,[14321],418,0.09337368607521057,1
0,[14321],422,0.14905612170696259,0
0,[14321],266,0.1324644386768341,1
0,[14321],75,0.40604934096336365,0
0,[14321],596,0.15562163293361664,1
0,[14321],279,0.06145757809281349,1
0,[14321],88,0.32030031085014343,0
0,[14321],440,0.060287658125162125,1
0,[14321],96,0.71976238489151,0
0,[14321],97,0.6011514067649841,0
0,[14321],99,0.07883569598197937,1
0,[14321],613,0.2711746394634247,0
0,[14321],454,0.11852775514125824,1
0,[14321],103,0.2262095957994461,1
0,[14321],620,0.48094508051872253,0
0,[14321],623,0.12155024707317352,1
0,[14321],624,0.08482589572668076,1
0,[14321],113,0.07950717955827713,1
0,[14321],470,0.12275414913892746,1
0,[14321],475,0.13107529282569885,1
0,[14321],123,0.18939337134361267,1
0,[14321],317,0.5983803272247314,1
0,[14321],481,0.16563726961612701,1
0,[14321],322,0.11676132678985596,1
0,[14321],131,0.31031519174575806,0
0,[14321],482,0.14881163835525513,0
0,[14321],484,0.1555306315422058,0
0,[14321],486,0.23021316528320312,0
0,[14321],136,0.1459522396326065,1
0,[14321],138,0.6514661908149719,0
0,[14321],140,0.6058548092842102,0
0,[14321],336,0.07356778532266617,1
0,[14321],657,0.22816216945648193,0
0,[14321],338,0.6651629209518433,0
0,[14321],499,0.1938369870185852,0
0,[14321],660,0.15601317584514618,1
0,[14321],659,0.6144900918006897,0
0,[14321],152,0.08472897857427597,1
0,[14321],156,0.20961570739746094,1
0,[14321],5,0.28264808654785156,0
0,[14321],519,0.17784591019153595,1
0,[14321],169,0.5400189757347107,0
0,[14321],171,0.1350923478603363,1
0,[14321],15,0.1860954910516739,1
0,[14321],532,0.2745274305343628,0
0,[14321],373,0.13394081592559814,1
0,[14321],21,0.42069754004478455,0
0,[14321],24,0.3383011817932129,0
0,[14321],191,0.08061271160840988,1
0,[14321],544,0.5004152059555054,0
0,[14321],34,0.38648685812950134,0
0,[14321],42,0.152278333902359,1
0,[14321],554,0.6644424796104431,0
0,[14321],202,0.10656176507472992,1
0,[14321],205,0.0941295176744461,1
0,[14321],212,0.1086551696062088,1
0,[14321],217,0.15718281269073486,1
0,[14321],218,0.10537081956863403,1
0,[14321],222,0.09105242043733597,1
0,[14321],66,0.14572660624980927,1
0,[14321],227,0.07635805755853653,1
0,[14321],230,0.1479387879371643,1
0,[14321],235,0.10148879885673523,1
0,[14321],588,0.12728284299373627,1
0,[14321],444,0.16886788606643677,1
0,[14321],610,0.22898812592029572,0
0,[14321],451,0.7935832142829895,0
0,[14321],263,0.5735207796096802,0
0,[14321],272,0.1046941950917244,1
0,[14321],273,0.1008971557021141,1
0,[14321],114,0.23003064095973969,0
0,[14321],626,0.1651606559753418,1
0,[14321],628,0.1822928786277771,1
0,[14321],117,0.32543694972991943,0
0,[14321],115,0.15540537238121033,1
0,[14321],124,0.2430252581834793,0
0,[14321],285,0.3254631459712982,0
0,[14321],287,0.13910019397735596,1
0,[14321],290,0.08143531531095505,1
0,[14321],646,0.1505330353975296,1
0,[14321],299,0.13265185058116913,1
0,[14321],493,0.45273131132125854,0
0,[14321],654,0.21335214376449585,1
0,[14321],304,0.5593554377555847,0
0,[14321],305,0.5191083550453186,0
0,[14321],310,0.13472521305084229,1
0,[14321],154,0.22840987145900726,0
0,[14321],315,0.1505262702703476,1
0,[14321],158,0.3000127971172333,0
0,[14321],671,0.14606721699237823,1
0,[14321],517,0.9755375385284424,0
0,[14321],6,0.09561484307050705,1
0,[14321],325,0.13707271218299866,1
0,[14321],329,0.08144038170576096,1
0,[14321],337,0.2557083070278168,0
0,[14321],180,0.1670878529548645,0
0,[14321],341,0.12173795700073242,1
0,[14321],538,0.14486046135425568,1
0,[14321],541,0.07662971317768097,1
0,[14321],350,0.09494005888700485,1
0,[14321],196,0.15535122156143188,1
0,[14321],363,0.1570035219192505,1
0,[14321],211,0.11826255172491074,1
0,[14321],52,0.06795473396778107,1
0,[14321],53,0.08822724223136902,1
0,[14321],214,0.1298190802335739,1
0,[14321],383,0.13638000190258026,1
0,[14321],73,0.46705162525177,0
0,[14321],234,0.12823615968227386,1
0,[14321],9,0.17709524929523468,1
0,[14321],394,0.1288720816373825,1
0,[14321],237,0.16782313585281372,1
0,[14321],400,0.13129475712776184,1
0,[14321],241,0.18320222198963165,0
0,[14321],243,0.2732813358306885,0
