Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[18],0,1.859375,1
0,[18],1,2.5234375,0
0,[18],2,1.533203125,1
0,[18],3,1.140625,1
0,[18],4,0.884765625,1
0,[18],5,1.6953125,1
0,[18],6,3.240234375,0
0,[18],7,2.482421875,0
0,[18],8,2.154296875,0
0,[18],9,2.08203125,1
0,[18],10,3.287109375,0
0,[18],11,1.63671875,1
0,[18],12,1.974609375,0
0,[18],13,3.142578125,0
0,[18],14,1.5869140625,1
0,[18],15,1.33984375,1
0,[18],16,2.673828125,0
0,[18],17,3.0703125,0
0,[18],19,3.791015625,0
0,[18],20,1.6279296875,1
0,[18],21,1.9794921875,1
0,[18],22,2.73828125,0
0,[18],23,1.20703125,0
0,[18],24,2.625,0
0,[18],25,2.18359375,1
0,[18],26,1.720703125,1
0,[18],27,1.5693359375,0
0,[18],28,2.0859375,0
0,[18],29,3.220703125,0
0,[18],30,1.7021484375,1
0,[18],31,2.365234375,0
1,[29],0,1.8720703125,1
1,[29],1,2.560546875,0
1,[29],2,1.5615234375,1
1,[29],3,0.71337890625,1
1,[29],4,0.37109375,1
1,[29],5,1.892578125,1
1,[29],6,2.58984375,0
1,[29],7,1.8466796875,0
1,[29],8,1.57421875,0
1,[29],9,2.076171875,1
1,[29],10,1.865234375,0
1,[29],11,1.953125,0
1,[29],12,1.93359375,0
1,[29],13,3.400390625,0
1,[29],14,0.455810546875,1
1,[29],15,1.4375,1
1,[29],16,2.205078125,1
1,[29],17,2.90625,0
1,[29],18,2.087890625,1
1,[29],19,4.23828125,0
1,[29],20,1.3662109375,1
1,[29],21,1.705078125,0
1,[29],22,2.28515625,0
1,[29],23,0.4453125,1
1,[29],24,2.5078125,0
1,[29],25,2.109375,1
1,[29],26,1.0654296875,1
1,[29],27,2.115234375,0
1,[29],28,1.7646484375,0
1,[29],30,1.7158203125,1
1,[29],31,1.8515625,0
2,[1],0,1.5654296875,1
2,[1],2,1.2451171875,1
2,[1],3,0.76123046875,1
2,[1],4,0.88623046875,1
2,[1],5,1.8837890625,1
2,[1],6,2.91796875,0
2,[1],7,2.4140625,0
2,[1],8,1.921875,0
2,[1],9,1.720703125,1
2,[1],10,3.09765625,0
2,[1],11,1.77734375,0
2,[1],12,1.8076171875,0
2,[1],13,3.263671875,0
2,[1],14,0.8955078125,1
2,[1],15,1.294921875,1
2,[1],16,1.794921875,0
2,[1],17,2.544921875,0
