Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[27, 52]",0,0.61669921875,0
0,"[27, 52]",1,0.76708984375,0
0,"[27, 52]",2,0.4091796875,0
0,"[27, 52]",3,0.232421875,0
0,"[27, 52]",4,0.257080078125,1
0,"[27, 52]",5,0.2208251953125,1
0,"[27, 52]",6,0.76708984375,0
0,"[27, 52]",7,0.35205078125,0
0,"[27, 52]",8,0.273193359375,1
0,"[27, 52]",9,0.39697265625,0
0,"[27, 52]",10,0.287353515625,1
0,"[27, 52]",11,0.271484375,1
0,"[27, 52]",12,0.1964111328125,1
0,"[27, 52]",13,0.9599609375,0
0,"[27, 52]",14,0.17431640625,1
0,"[27, 52]",15,0.3046875,1
0,"[27, 52]",16,0.29736328125,1
0,"[27, 52]",17,0.306396484375,1
0,"[27, 52]",18,0.35546875,1
0,"[27, 52]",19,0.27490234375,1
0,"[27, 52]",20,0.2296142578125,1
0,"[27, 52]",21,0.50146484375,0
0,"[27, 52]",22,0.7822265625,0
0,"[27, 52]",23,0.5400390625,1
0,"[27, 52]",24,0.296142578125,1
0,"[27, 52]",25,0.256103515625,1
0,"[27, 52]",26,0.33837890625,1
0,"[27, 52]",28,0.5712890625,0
0,"[27, 52]",29,0.149169921875,1
0,"[27, 52]",30,0.34765625,1
0,"[27, 52]",31,0.58642578125,0
0,"[27, 52]",32,0.69189453125,0
0,"[27, 52]",33,0.546875,0
0,"[27, 52]",34,0.5654296875,0
0,"[27, 52]",35,0.264404296875,0
0,"[27, 52]",36,0.451904296875,0
0,"[27, 52]",37,0.289794921875,0
0,"[27, 52]",38,0.42578125,0
0,"[27, 52]",39,0.51513671875,0
0,"[27, 52]",40,0.398193359375,1
0,"[27, 52]",41,0.304443359375,1
0,"[27, 52]",42,0.291748046875,1
0,"[27, 52]",43,0.16162109375,1
0,"[27, 52]",44,0.3076171875,1
0,"[27, 52]",45,0.406982421875,0
0,"[27, 52]",46,0.75048828125,0
0,"[27, 52]",47,0.189208984375,1
0,"[27, 52]",48,0.1844482421875,1
0,"[27, 52]",49,0.147705078125,1
0,"[27, 52]",50,0.3037109375,1
0,"[27, 52]",51,0.322998046875,1
0,"[27, 52]",53,0.065673828125,1
0,"[27, 52]",54,0.326904296875,1
0,"[27, 52]",55,0.34912109375,0
0,"[27, 52]",56,0.59716796875,0
0,"[27, 52]",57,0.1522216796875,1
0,"[27, 52]",58,0.2474365234375,0
0,"[27, 52]",59,1.5859375,0
1,"[14, 36]",0,0.482421875,0
1,"[14, 36]",1,0.76513671875,0
1,"[14, 36]",2,0.3916015625,0
1,"[14, 36]",3,0.224853515625,1
1,"[14, 36]",4,0.2294921875,1
