Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[1, 811]",1175,0.57666015625,1
0,"[1, 811]",39,1.2568359375,0
0,"[1, 811]",1291,0.5302734375,1
0,"[1, 811]",1345,0.475830078125,1
0,"[1, 811]",1559,0.353271484375,1
0,"[1, 811]",1292,1.46484375,0
0,"[1, 811]",109,1.69921875,0
0,"[1, 811]",342,1.30859375,0
0,"[1, 811]",164,1.396484375,0
0,"[1, 811]",1652,0.51806640625,1
0,"[1, 811]",1168,1.4892578125,0
0,"[1, 811]",2141,1.3642578125,0
0,"[1, 811]",193,1.267578125,0
0,"[1, 811]",919,0.3740234375,1
0,"[1, 811]",1026,0.98681640625,0
0,"[1, 811]",1229,1.2607421875,0
0,"[1, 811]",1704,0.61181640625,1
0,"[1, 811]",929,0.453369140625,1
0,"[1, 811]",1765,0.448974609375,1
0,"[1, 811]",1220,0.6259765625,1
0,"[1, 811]",399,1.189453125,1
0,"[1, 811]",2229,1.5986328125,0
0,"[1, 811]",1569,1.2607421875,0
0,"[1, 811]",1617,0.515625,1
0,"[1, 811]",1025,0.5615234375,1
0,"[1, 811]",538,0.4833984375,1
0,"[1, 811]",1008,0.479248046875,1
0,"[1, 811]",292,0.425537109375,1
0,"[1, 811]",1963,0.64306640625,1
0,"[1, 811]",472,0.453857421875,1
0,"[1, 811]",1772,0.44287109375,1
0,"[1, 811]",1763,1.5341796875,0
0,"[1, 811]",1773,0.642578125,1
0,"[1, 811]",2121,1.1396484375,0
0,"[1, 811]",1774,1.2236328125,0
0,"[1, 811]",268,1.4013671875,0
0,"[1, 811]",353,1.0205078125,0
0,"[1, 811]",2097,1.0302734375,0
0,"[1, 811]",469,0.7119140625,1
0,"[1, 811]",2223,1.310546875,0
0,"[1, 811]",910,0.5048828125,1
0,"[1, 811]",1522,0.5556640625,1
0,"[1, 811]",1899,0.41748046875,1
0,"[1, 811]",1348,1.2021484375,0
0,"[1, 811]",1147,0.342529296875,1
0,"[1, 811]",136,1.5556640625,0
0,"[1, 811]",2010,1.099609375,0
0,"[1, 811]",823,1.0859375,0
0,"[1, 811]",1951,1.5185546875,0
0,"[1, 811]",2091,1.1435546875,0
0,"[1, 811]",604,1.3828125,0
0,"[1, 811]",628,1.5400390625,0
0,"[1, 811]",1487,1.5322265625,0
0,"[1, 811]",694,1.103515625,0
0,"[1, 811]",1048,1.4609375,0
0,"[1, 811]",2173,1.177734375,0
