Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
32,"[12, 1, 0, 45]",2,0.79345703125,0
32,"[12, 1, 0, 45]",3,0.1673583984375,1
32,"[12, 1, 0, 45]",4,0.8681640625,0
32,"[12, 1, 0, 45]",5,0.1376953125,1
32,"[12, 1, 0, 45]",6,2.5703125,0
32,"[12, 1, 0, 45]",7,0.058685302734375,1
32,"[12, 1, 0, 45]",8,3.091796875,0
32,"[12, 1, 0, 45]",9,0.054779052734375,1
32,"[12, 1, 0, 45]",10,1.22265625,0
32,"[12, 1, 0, 45]",11,0.005279541015625,1
32,"[12, 1, 0, 45]",13,0.24853515625,1
32,"[12, 1, 0, 45]",14,1.1572265625,0
32,"[12, 1, 0, 45]",15,0.1722412109375,1
32,"[12, 1, 0, 45]",16,2.806640625,0
32,"[12, 1, 0, 45]",17,0.026397705078125,1
32,"[12, 1, 0, 45]",18,0.67236328125,0
32,"[12, 1, 0, 45]",19,0.00366973876953125,1
32,"[12, 1, 0, 45]",20,1.0078125,0
32,"[12, 1, 0, 45]",21,0.37646484375,1
32,"[12, 1, 0, 45]",22,2.771484375,0
32,"[12, 1, 0, 45]",23,1.884765625,0
32,"[12, 1, 0, 45]",24,2.064453125,0
32,"[12, 1, 0, 45]",25,0.031524658203125,1
32,"[12, 1, 0, 45]",26,1.892578125,0
32,"[12, 1, 0, 45]",27,0.09039306640625,1
32,"[12, 1, 0, 45]",28,3.220703125,0
32,"[12, 1, 0, 45]",29,0.705078125,1
32,"[12, 1, 0, 45]",30,3.193359375,0
32,"[12, 1, 0, 45]",31,0.04473876953125,1
32,"[12, 1, 0, 45]",32,1.400390625,0
32,"[12, 1, 0, 45]",33,0.0677490234375,1
32,"[12, 1, 0, 45]",34,1.9296875,0
32,"[12, 1, 0, 45]",35,0.0184478759765625,1
32,"[12, 1, 0, 45]",36,1.1640625,0
32,"[12, 1, 0, 45]",37,0.0491943359375,1
32,"[12, 1, 0, 45]",38,2.162109375,0
32,"[12, 1, 0, 45]",39,0.12286376953125,1
32,"[12, 1, 0, 45]",40,2.0703125,0
32,"[12, 1, 0, 45]",41,0.056793212890625,1
32,"[12, 1, 0, 45]",42,1.875,0
32,"[12, 1, 0, 45]",43,0.352783203125,1
32,"[12, 1, 0, 45]",44,1.638671875,0
31,"[13, 2, 37, 3]",0,0.736328125,0
31,"[13, 2, 37, 3]",1,0.0034694671630859375,1
31,"[13, 2, 37, 3]",4,2.166015625,0
31,"[13, 2, 37, 3]",5,0.06890869140625,1
31,"[13, 2, 37, 3]",6,3.615234375,0
31,"[13, 2, 37, 3]",7,0.0513916015625,1
31,"[13, 2, 37, 3]",8,4.58984375,0
31,"[13, 2, 37, 3]",9,0.024688720703125,1
31,"[13, 2, 37, 3]",10,1.923828125,0
31,"[13, 2, 37, 3]",11,0.003780364990234375,1
31,"[13, 2, 37, 3]",12,4.02734375,0
31,"[13, 2, 37, 3]",14,1.47265625,0
31,"[13, 2, 37, 3]",15,0.04888916015625,1
31,"[13, 2, 37, 3]",16,4.15234375,0
31,"[13, 2, 37, 3]",17,0.06915283203125,1
31,"[13, 2, 37, 3]",18,1.69921875,0
31,"[13, 2, 37, 3]",19,0.0035037994384765625,1
31,"[13, 2, 37, 3]",20,2.068359375,0
31,"[13, 2, 37, 3]",21,0.1767578125,1
31,"[13, 2, 37, 3]",22,3.76953125,0
31,"[13, 2, 37, 3]",23,1.439453125,0
31,"[13, 2, 37, 3]",24,3.107421875,0
31,"[13, 2, 37, 3]",25,0.0902099609375,1
31,"[13, 2, 37, 3]",26,2.984375,0
31,"[13, 2, 37, 3]",27,0.15966796875,1
31,"[13, 2, 37, 3]",28,4.3203125,0
31,"[13, 2, 37, 3]",29,1.9482421875,1
31,"[13, 2, 37, 3]",30,3.630859375,0
31,"[13, 2, 37, 3]",31,0.0276031494140625,1
31,"[13, 2, 37, 3]",32,3.431640625,0
31,"[13, 2, 37, 3]",33,0.417724609375,1
31,"[13, 2, 37, 3]",34,2.587890625,0
31,"[13, 2, 37, 3]",35,0.147216796875,1
31,"[13, 2, 37, 3]",36,1.3173828125,0
31,"[13, 2, 37, 3]",38,3.666015625,0
31,"[13, 2, 37, 3]",39,0.1695556640625,1
31,"[13, 2, 37, 3]",40,3.380859375,0
31,"[13, 2, 37, 3]",41,0.06976318359375,1
31,"[13, 2, 37, 3]",42,3.373046875,0
31,"[13, 2, 37, 3]",43,0.1856689453125,1
31,"[13, 2, 37, 3]",44,3.037109375,0
31,"[13, 2, 37, 3]",45,0.059967041015625,1
30,"[9, 33, 21, 11]",0,3.962890625,0
30,"[9, 33, 21, 11]",1,0.00113677978515625,1
30,"[9, 33, 21, 11]",2,4.171875,0
30,"[9, 33, 21, 11]",3,0.01020050048828125,1
30,"[9, 33, 21, 11]",4,5.1875,0
30,"[9, 33, 21, 11]",5,0.011199951171875,1
30,"[9, 33, 21, 11]",6,5.9140625,0
30,"[9, 33, 21, 11]",7,0.04351806640625,1
30,"[9, 33, 21, 11]",8,7.59765625,0
30,"[9, 33, 21, 11]",10,4.453125,0
30,"[9, 33, 21, 11]",12,7.73828125,0
30,"[9, 33, 21, 11]",13,0.036041259765625,1
30,"[9, 33, 21, 11]",14,3.5625,0
30,"[9, 33, 21, 11]",15,0.0202178955078125,1
30,"[9, 33, 21, 11]",16,6.203125,0
30,"[9, 33, 21, 11]",17,0.0048675537109375,1
30,"[9, 33, 21, 11]",18,3.923828125,0
30,"[9, 33, 21, 11]",19,0.0009126663208007812,1
30,"[9, 33, 21, 11]",20,5.2890625,0
30,"[9, 33, 21, 11]",22,6.90234375,0
30,"[9, 33, 21, 11]",23,1.6171875,0
30,"[9, 33, 21, 11]",24,6.07421875,0
30,"[9, 33, 21, 11]",25,0.0155029296875,1
30,"[9, 33, 21, 11]",26,5.72265625,0
30,"[9, 33, 21, 11]",27,0.0135498046875,1
30,"[9, 33, 21, 11]",28,6.51953125,0
30,"[9, 33, 21, 11]",29,0.0511474609375,1
30,"[9, 33, 21, 11]",30,7.12890625,0
30,"[9, 33, 21, 11]",31,0.047454833984375,1
30,"[9, 33, 21, 11]",32,5.3515625,0
30,"[9, 33, 21, 11]",34,5.6484375,0
30,"[9, 33, 21, 11]",35,0.0111541748046875,1
30,"[9, 33, 21, 11]",36,3.634765625,0
30,"[9, 33, 21, 11]",37,0.0055694580078125,1
30,"[9, 33, 21, 11]",38,5.828125,0
30,"[9, 33, 21, 11]",39,0.00331878662109375,1
30,"[9, 33, 21, 11]",40,5.6171875,0
30,"[9, 33, 21, 11]",41,0.01302337646484375,1
30,"[9, 33, 21, 11]",42,5.62109375,0
30,"[9, 33, 21, 11]",43,0.00439453125,1
30,"[9, 33, 21, 11]",44,6.30078125,0
30,"[9, 33, 21, 11]",45,0.0189971923828125,1
0,"[20, 33, 23, 31]",0,1.9912109375,0
0,"[20, 33, 23, 31]",1,0.0018291473388671875,1
0,"[20, 33, 23, 31]",2,1.9873046875,0
0,"[20, 33, 23, 31]",3,0.0288848876953125,1
0,"[20, 33, 23, 31]",4,1.5107421875,0
0,"[20, 33, 23, 31]",5,0.09222412109375,1
0,"[20, 33, 23, 31]",6,3.142578125,0
0,"[20, 33, 23, 31]",7,0.05169677734375,1
0,"[20, 33, 23, 31]",8,4.93359375,0
0,"[20, 33, 23, 31]",9,0.00763702392578125,1
0,"[20, 33, 23, 31]",10,3.146484375,0
0,"[20, 33, 23, 31]",11,0.0018014907836914062,1
0,"[20, 33, 23, 31]",12,6.08203125,0
0,"[20, 33, 23, 31]",13,0.0762939453125,1
0,"[20, 33, 23, 31]",14,2.009765625,0
0,"[20, 33, 23, 31]",15,0.04083251953125,1
0,"[20, 33, 23, 31]",16,3.84765625,0
0,"[20, 33, 23, 31]",17,0.00768280029296875,1
0,"[20, 33, 23, 31]",18,1.99609375,0
0,"[20, 33, 23, 31]",19,0.0012350082397460938,1
0,"[20, 33, 23, 31]",21,0.186767578125,1
0,"[20, 33, 23, 31]",22,3.986328125,0
0,"[20, 33, 23, 31]",24,3.05859375,0
0,"[20, 33, 23, 31]",25,0.0134429931640625,1
0,"[20, 33, 23, 31]",26,2.787109375,0
0,"[20, 33, 23, 31]",27,0.035186767578125,1
0,"[20, 33, 23, 31]",28,3.607421875,0
0,"[20, 33, 23, 31]",29,0.4169921875,1
0,"[20, 33, 23, 31]",30,3.763671875,0
0,"[20, 33, 23, 31]",32,2.58203125,0
0,"[20, 33, 23, 31]",34,3.345703125,0
0,"[20, 33, 23, 31]",35,0.017425537109375,1
0,"[20, 33, 23, 31]",36,2.537109375,0
0,"[20, 33, 23, 31]",37,0.00782012939453125,1
0,"[20, 33, 23, 31]",38,3.671875,0
0,"[20, 33, 23, 31]",39,0.057952880859375,1
0,"[20, 33, 23, 31]",40,2.796875,0
0,"[20, 33, 23, 31]",41,0.0175018310546875,1
0,"[20, 33, 23, 31]",42,3.40234375,0
0,"[20, 33, 23, 31]",43,0.05517578125,1
0,"[20, 33, 23, 31]",44,2.36328125,0
0,"[20, 33, 23, 31]",45,0.0239410400390625,1
1,"[15, 3, 26, 11]",0,0.93603515625,0
1,"[15, 3, 26, 11]",1,0.0024318695068359375,1
1,"[15, 3, 26, 11]",2,1.9453125,0
1,"[15, 3, 26, 11]",4,1.0751953125,0
1,"[15, 3, 26, 11]",5,0.1912841796875,1
1,"[15, 3, 26, 11]",6,3.361328125,0
1,"[15, 3, 26, 11]",7,0.028533935546875,1
1,"[15, 3, 26, 11]",8,3.74609375,0
1,"[15, 3, 26, 11]",9,0.019439697265625,1
1,"[15, 3, 26, 11]",10,1.982421875,0
1,"[15, 3, 26, 11]",12,3.62109375,0
1,"[15, 3, 26, 11]",13,0.2232666015625,1
1,"[15, 3, 26, 11]",14,1.9638671875,0
1,"[15, 3, 26, 11]",16,3.509765625,0
1,"[15, 3, 26, 11]",17,0.0262451171875,1
1,"[15, 3, 26, 11]",18,1.1904296875,0
1,"[15, 3, 26, 11]",19,0.007396697998046875,1
1,"[15, 3, 26, 11]",20,1.283203125,0
1,"[15, 3, 26, 11]",21,0.31005859375,1
1,"[15, 3, 26, 11]",22,2.62109375,0
1,"[15, 3, 26, 11]",23,1.669921875,0
1,"[15, 3, 26, 11]",24,2.623046875,0
1,"[15, 3, 26, 11]",25,0.0926513671875,1
1,"[15, 3, 26, 11]",27,0.09295654296875,1
1,"[15, 3, 26, 11]",28,4.125,0
1,"[15, 3, 26, 11]",29,1.2626953125,1
1,"[15, 3, 26, 11]",30,5.41796875,0
1,"[15, 3, 26, 11]",31,0.034576416015625,1
1,"[15, 3, 26, 11]",32,2.79296875,0
1,"[15, 3, 26, 11]",33,0.0731201171875,1
1,"[15, 3, 26, 11]",34,1.89453125,0
1,"[15, 3, 26, 11]",35,0.053070068359375,1
1,"[15, 3, 26, 11]",36,1.259765625,0
1,"[15, 3, 26, 11]",37,0.060150146484375,1
1,"[15, 3, 26, 11]",38,3.25,0
1,"[15, 3, 26, 11]",39,0.1865234375,1
1,"[15, 3, 26, 11]",40,3.22265625,0
1,"[15, 3, 26, 11]",41,0.1339111328125,1
1,"[15, 3, 26, 11]",42,2.83984375,0
1,"[15, 3, 26, 11]",43,0.1982421875,1
1,"[15, 3, 26, 11]",44,1.81640625,0
1,"[15, 3, 26, 11]",45,0.10638427734375,1
2,"[17, 42, 25, 13]",0,1.0859375,0
2,"[17, 42, 25, 13]",1,0.00789642333984375,1
2,"[17, 42, 25, 13]",2,2.70703125,0
2,"[17, 42, 25, 13]",3,0.033782958984375,1
2,"[17, 42, 25, 13]",4,2.990234375,0
2,"[17, 42, 25, 13]",5,0.06298828125,1
2,"[17, 42, 25, 13]",6,3.5703125,0
2,"[17, 42, 25, 13]",7,0.016754150390625,1
2,"[17, 42, 25, 13]",8,4.85546875,0
2,"[17, 42, 25, 13]",9,0.01226043701171875,1
2,"[17, 42, 25, 13]",10,3.337890625,0
2,"[17, 42, 25, 13]",11,0.00505828857421875,1
2,"[17, 42, 25, 13]",12,4.671875,0
2,"[17, 42, 25, 13]",14,2.140625,0
2,"[17, 42, 25, 13]",15,0.0181732177734375,1
2,"[17, 42, 25, 13]",16,3.982421875,0
2,"[17, 42, 25, 13]",18,1.8896484375,0
2,"[17, 42, 25, 13]",19,0.0029773712158203125,1
2,"[17, 42, 25, 13]",20,2.1796875,0
2,"[17, 42, 25, 13]",21,0.11962890625,1
2,"[17, 42, 25, 13]",22,5.4921875,0
2,"[17, 42, 25, 13]",23,1.0419921875,0
2,"[17, 42, 25, 13]",24,4.546875,0
2,"[17, 42, 25, 13]",26,2.126953125,0
2,"[17, 42, 25, 13]",27,0.0120391845703125,1
2,"[17, 42, 25, 13]",28,4.109375,0
2,"[17, 42, 25, 13]",29,0.4501953125,1
2,"[17, 42, 25, 13]",30,4.31640625,0
2,"[17, 42, 25, 13]",31,0.0902099609375,1
2,"[17, 42, 25, 13]",32,3.416015625,0
2,"[17, 42, 25, 13]",33,0.009185791015625,1
2,"[17, 42, 25, 13]",34,4.53515625,0
2,"[17, 42, 25, 13]",35,0.01514434814453125,1
2,"[17, 42, 25, 13]",36,2.498046875,0
2,"[17, 42, 25, 13]",37,0.01380157470703125,1
2,"[17, 42, 25, 13]",38,3.796875,0
2,"[17, 42, 25, 13]",39,0.049346923828125,1
2,"[17, 42, 25, 13]",40,3.50390625,0
2,"[17, 42, 25, 13]",41,0.023834228515625,1
2,"[17, 42, 25, 13]",43,0.206787109375,1
2,"[17, 42, 25, 13]",44,3.5,0
2,"[17, 42, 25, 13]",45,0.059600830078125,1
3,"[14, 11, 26, 19]",0,0.80224609375,0
3,"[14, 11, 26, 19]",1,0.0101165771484375,1
3,"[14, 11, 26, 19]",2,0.8984375,0
3,"[14, 11, 26, 19]",3,0.2049560546875,1
3,"[14, 11, 26, 19]",4,0.80859375,0
3,"[14, 11, 26, 19]",5,0.296630859375,1
3,"[14, 11, 26, 19]",6,2.50390625,0
3,"[14, 11, 26, 19]",7,0.0731201171875,1
3,"[14, 11, 26, 19]",8,2.767578125,0
3,"[14, 11, 26, 19]",9,0.0655517578125,1
3,"[14, 11, 26, 19]",10,1.1005859375,0
3,"[14, 11, 26, 19]",12,2.59375,0
3,"[14, 11, 26, 19]",13,0.312255859375,1
3,"[14, 11, 26, 19]",15,0.1729736328125,1
3,"[14, 11, 26, 19]",16,2.689453125,0
3,"[14, 11, 26, 19]",17,0.09222412109375,1
3,"[14, 11, 26, 19]",18,0.58544921875,0
3,"[14, 11, 26, 19]",20,1.00390625,0
3,"[14, 11, 26, 19]",21,0.31494140625,1
3,"[14, 11, 26, 19]",22,1.9365234375,0
3,"[14, 11, 26, 19]",23,1.7373046875,0
3,"[14, 11, 26, 19]",24,2.359375,0
3,"[14, 11, 26, 19]",25,0.1549072265625,1
3,"[14, 11, 26, 19]",27,0.30615234375,1
3,"[14, 11, 26, 19]",28,3.0234375,0
3,"[14, 11, 26, 19]",29,1.2880859375,1
3,"[14, 11, 26, 19]",30,2.2578125,0
3,"[14, 11, 26, 19]",31,0.045074462890625,1
3,"[14, 11, 26, 19]",32,1.76171875,0
3,"[14, 11, 26, 19]",33,0.1904296875,1
3,"[14, 11, 26, 19]",34,1.2890625,0
3,"[14, 11, 26, 19]",35,0.04156494140625,1
3,"[14, 11, 26, 19]",36,0.62109375,0
3,"[14, 11, 26, 19]",37,0.112060546875,1
3,"[14, 11, 26, 19]",38,2.455078125,0
3,"[14, 11, 26, 19]",39,0.322998046875,1
3,"[14, 11, 26, 19]",40,2.322265625,0
3,"[14, 11, 26, 19]",41,0.07147216796875,1
3,"[14, 11, 26, 19]",42,2.01953125,0
3,"[14, 11, 26, 19]",43,0.1944580078125,1
3,"[14, 11, 26, 19]",44,1.416015625,0
3,"[14, 11, 26, 19]",45,0.1746826171875,1
4,"[35, 15, 40, 8]",0,0.52880859375,0
4,"[35, 15, 40, 8]",1,0.024993896484375,1
4,"[35, 15, 40, 8]",2,0.402587890625,0
4,"[35, 15, 40, 8]",3,0.349853515625,1
4,"[35, 15, 40, 8]",4,0.57958984375,0
4,"[35, 15, 40, 8]",5,0.3154296875,1
4,"[35, 15, 40, 8]",6,1.6728515625,0
4,"[35, 15, 40, 8]",7,0.25390625,1
4,"[35, 15, 40, 8]",9,0.13427734375,1
4,"[35, 15, 40, 8]",10,1.302734375,0
4,"[35, 15, 40, 8]",11,0.03326416015625,1
