Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[27, 71]",0,0.05520670488476753,1
0,"[27, 71]",1,0.0381995290517807,1
0,"[27, 71]",2,0.11434686928987503,1
0,"[27, 71]",3,0.29311326146125793,1
0,"[27, 71]",4,0.06653522700071335,1
0,"[27, 71]",5,0.053625669330358505,0
0,"[27, 71]",6,0.3444439172744751,1
0,"[27, 71]",7,0.07139521092176437,1
0,"[27, 71]",8,0.1531466394662857,0
0,"[27, 71]",9,0.06276684999465942,1
0,"[27, 71]",10,0.16347438097000122,0
0,"[27, 71]",11,0.15773318707942963,1
0,"[27, 71]",12,0.05993414670228958,0
0,"[27, 71]",13,0.06633374094963074,1
0,"[27, 71]",14,0.07288872450590134,1
0,"[27, 71]",15,0.04735761880874634,1
0,"[27, 71]",16,0.1585020273923874,0
0,"[27, 71]",17,0.2728484570980072,0
0,"[27, 71]",18,0.040791843086481094,1
0,"[27, 71]",19,0.18235896527767181,0
0,"[27, 71]",20,0.017561890184879303,1
0,"[27, 71]",21,0.03219742700457573,1
0,"[27, 71]",22,0.01486879214644432,1
0,"[27, 71]",23,0.21701590716838837,0
0,"[27, 71]",24,0.32647669315338135,0
0,"[27, 71]",25,0.0423944890499115,1
0,"[27, 71]",26,0.17926417291164398,0
0,"[27, 71]",27,0.03763270378112793,1
0,"[27, 71]",28,0.14400546252727509,0
0,"[27, 71]",29,0.031404826790094376,1
0,"[27, 71]",30,0.12263168394565582,0
0,"[27, 71]",31,0.10434812307357788,0
0,"[27, 71]",32,0.007119777612388134,1
0,"[27, 71]",33,0.13912853598594666,0
0,"[27, 71]",34,0.13324971497058868,0
0,"[27, 71]",35,0.09735165536403656,1
0,"[27, 71]",36,0.25712263584136963,0
0,"[27, 71]",37,0.04452553763985634,1
0,"[27, 71]",38,0.007559559307992458,1
0,"[27, 71]",39,0.04665469750761986,1
1,"[6, 61]",0,0.03913814201951027,1
1,"[6, 61]",1,0.045204076915979385,1
1,"[6, 61]",2,0.1652737706899643,0
1,"[6, 61]",3,0.3238777816295624,1
1,"[6, 61]",4,0.05068215727806091,0
1,"[6, 61]",5,0.07811229676008224,1
1,"[6, 61]",7,0.06312524527311325,1
1,"[6, 61]",8,0.09591738134622574,0
1,"[6, 61]",9,0.04192810878157616,1
1,"[6, 61]",10,0.13884106278419495,1
1,"[6, 61]",11,0.17993444204330444,1
1,"[6, 61]",12,0.047820720821619034,0
1,"[6, 61]",13,0.06328122317790985,0
1,"[6, 61]",14,0.09322463721036911,0
1,"[6, 61]",15,0.051746297627687454,1
1,"[6, 61]",6,0.19660842418670654,1
1,"[6, 61]",16,0.14624544978141785,0
1,"[6, 61]",17,0.320324182510376,0
1,"[6, 61]",18,0.10558371245861053,0
1,"[6, 61]",19,0.20310626924037933,0
1,"[6, 61]",20,0.03426658362150192,1
1,"[6, 61]",21,0.06480816006660461,1
1,"[6, 61]",22,0.021387705579400063,1
1,"[6, 61]",23,0.4285259544849396,0
1,"[6, 61]",24,0.2906796634197235,0
1,"[6, 61]",25,0.0705428421497345,0
1,"[6, 61]",26,0.103362537920475,1
1,"[6, 61]",27,0.0634271427989006,1
1,"[6, 61]",28,0.13081443309783936,0
1,"[6, 61]",29,0.013212567195296288,1
1,"[6, 61]",30,0.08883588761091232,0
1,"[6, 61]",31,0.1328585296869278,0
1,"[6, 61]",32,0.008575021289288998,1
1,"[6, 61]",33,0.15185432136058807,0
1,"[6, 61]",34,0.23132012784481049,0
1,"[6, 61]",35,0.11160437017679214,0
1,"[6, 61]",36,0.2580350637435913,0
1,"[6, 61]",37,0.06688068062067032,1
1,"[6, 61]",38,0.010611501522362232,1
1,"[6, 61]",39,0.020838940516114235,1
2,"[79, 89]",0,0.04416808858513832,0
2,"[79, 89]",1,0.06393339484930038,0
2,"[79, 89]",2,0.11161056160926819,0
2,"[79, 89]",3,0.2976323068141937,1
2,"[79, 89]",4,0.05997626110911369,0
2,"[79, 89]",5,0.05214712768793106,0
2,"[79, 89]",6,0.1911316066980362,0
2,"[79, 89]",7,0.06355711817741394,0
2,"[79, 89]",8,0.12813669443130493,0
2,"[79, 89]",9,0.053232934325933456,1
2,"[79, 89]",10,0.10076093673706055,1
2,"[79, 89]",11,0.16794894635677338,1
2,"[79, 89]",12,0.3546331226825714,0
2,"[79, 89]",13,0.04903296381235123,0
2,"[79, 89]",14,0.062100764364004135,1
2,"[79, 89]",15,0.03321238234639168,1
2,"[79, 89]",16,0.12559927999973297,0
2,"[79, 89]",17,0.38717877864837646,0
2,"[79, 89]",18,0.08474840968847275,1
2,"[79, 89]",19,0.09361739456653595,0
2,"[79, 89]",20,0.05224141851067543,1
2,"[79, 89]",21,0.11693503707647324,0
2,"[79, 89]",22,0.028372280299663544,1
2,"[79, 89]",23,0.4186359941959381,0
2,"[79, 89]",24,0.17821143567562103,0
2,"[79, 89]",25,0.07703040540218353,0
2,"[79, 89]",26,0.19810302555561066,0
2,"[79, 89]",27,0.08507785201072693,1
2,"[79, 89]",28,0.20083177089691162,0
2,"[79, 89]",29,0.022708624601364136,1
2,"[79, 89]",30,0.0803958922624588,0
2,"[79, 89]",31,0.12563835084438324,0
2,"[79, 89]",32,0.012402479536831379,1
2,"[79, 89]",33,0.19035041332244873,0
2,"[79, 89]",34,0.18795345723628998,0
2,"[79, 89]",35,0.08530128002166748,1
2,"[79, 89]",36,0.23967628180980682,0
2,"[79, 89]",37,0.04339265078306198,1
2,"[79, 89]",38,0.07709833234548569,1
2,"[79, 89]",39,0.03771046921610832,1
3,"[23, 93]",0,0.012498066760599613,0
3,"[23, 93]",1,0.0813857689499855,0
3,"[23, 93]",2,0.18708202242851257,1
3,"[23, 93]",3,0.2632676064968109,1
3,"[23, 93]",4,0.0782986506819725,0
3,"[23, 93]",5,0.08207689225673676,1
3,"[23, 93]",6,0.2897273600101471,0
3,"[23, 93]",7,0.06222037971019745,1
3,"[23, 93]",8,0.19782403111457825,0
3,"[23, 93]",9,0.05416296795010567,1
3,"[23, 93]",10,0.10333903133869171,0
3,"[23, 93]",11,0.22024808824062347,0
3,"[23, 93]",12,0.06005144864320755,0
3,"[23, 93]",13,0.06291717290878296,0
3,"[23, 93]",14,0.016922475770115852,1
3,"[23, 93]",15,0.12080464512109756,1
3,"[23, 93]",16,0.14801296591758728,0
3,"[23, 93]",17,0.31710755825042725,0
3,"[23, 93]",18,0.014942890964448452,1
3,"[23, 93]",19,0.19750072062015533,0
3,"[23, 93]",20,0.032656408846378326,1
3,"[23, 93]",21,0.019602108746767044,1
3,"[23, 93]",22,0.0038668718189001083,1
3,"[23, 93]",23,0.16750353574752808,0
3,"[23, 93]",24,0.49504101276397705,0
3,"[23, 93]",25,0.025839414447546005,1
3,"[23, 93]",26,0.22845757007598877,0
3,"[23, 93]",27,0.02573416382074356,1
3,"[23, 93]",28,0.21361473202705383,0
3,"[23, 93]",29,0.039447885006666183,1
3,"[23, 93]",30,0.11539618670940399,0
3,"[23, 93]",31,0.04821984842419624,1
3,"[23, 93]",32,0.02173476107418537,1
3,"[23, 93]",33,0.08528045564889908,0
3,"[23, 93]",34,0.032899923622608185,1
3,"[23, 93]",35,0.0754282996058464,1
3,"[23, 93]",36,0.3666570782661438,0
3,"[23, 93]",37,0.014958411455154419,1
3,"[23, 93]",38,0.007632582914084196,1
3,"[23, 93]",39,0.038873009383678436,1
4,"[51, 29]",0,0.04387170076370239,1
4,"[51, 29]",1,0.04751504212617874,1
4,"[51, 29]",2,0.20362496376037598,1
4,"[51, 29]",3,0.33444586396217346,1
4,"[51, 29]",4,0.057388752698898315,0
4,"[51, 29]",5,0.0701250359416008,1
4,"[51, 29]",6,0.25181180238723755,0
4,"[51, 29]",7,0.055455282330513,1
4,"[51, 29]",8,0.1505659818649292,1
4,"[51, 29]",9,0.024530908092856407,1
4,"[51, 29]",10,0.13677626848220825,0
4,"[51, 29]",11,0.1974092274904251,1
4,"[51, 29]",12,0.04911956563591957,0
4,"[51, 29]",13,0.07354568690061569,0
4,"[51, 29]",14,0.08958953619003296,0
4,"[51, 29]",15,0.052545156329870224,1
4,"[51, 29]",16,0.12749849259853363,0
4,"[51, 29]",17,0.3081098198890686,0
4,"[51, 29]",18,0.07066331803798676,1
4,"[51, 29]",19,0.20361094176769257,0
4,"[51, 29]",20,0.00862269289791584,1
4,"[51, 29]",21,0.08060314506292343,1
4,"[51, 29]",22,0.004088600166141987,1
4,"[51, 29]",23,0.310851126909256,0
4,"[51, 29]",24,0.31755372881889343,0
4,"[51, 29]",25,0.06820963323116302,0
