Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[2087, 4798, 6400, 9057]",4568,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",3209,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",2718,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",7517,5.5189104080200195,0
0,"[2087, 4798, 6400, 9057]",3823,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",485,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",8545,5.43311071395874,0
0,"[2087, 4798, 6400, 9057]",1938,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",3866,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",4743,5.7536749839782715,0
0,"[2087, 4798, 6400, 9057]",3785,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",3449,5.622373580932617,0
0,"[2087, 4798, 6400, 9057]",318,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",8330,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",2529,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",4147,6.024665355682373,0
0,"[2087, 4798, 6400, 9057]",6588,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",3718,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",800,6.024665355682373,0
0,"[2087, 4798, 6400, 9057]",4667,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",8059,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",8988,6.024665355682373,0
0,"[2087, 4798, 6400, 9057]",4868,5.5189104080200195,0
0,"[2087, 4798, 6400, 9057]",5662,5.43311071395874,0
0,"[2087, 4798, 6400, 9057]",446,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",3931,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",7668,6.024665355682373,0
0,"[2087, 4798, 6400, 9057]",3701,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",5875,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",665,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",419,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",3708,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",243,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",2687,5.43311071395874,0
0,"[2087, 4798, 6400, 9057]",4688,5.5189104080200195,0
0,"[2087, 4798, 6400, 9057]",9425,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",1238,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",456,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",9204,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",7312,5.43311071395874,0
0,"[2087, 4798, 6400, 9057]",3514,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",3818,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",3770,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",9013,5.5189104080200195,0
0,"[2087, 4798, 6400, 9057]",3854,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",5706,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",5931,4.870070934295654,0
0,"[2087, 4798, 6400, 9057]",5709,5.2571516036987305,0
0,"[2087, 4798, 6400, 9057]",5579,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",7317,5.7536749839782715,0
0,"[2087, 4798, 6400, 9057]",3500,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",1470,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",9208,5.039471626281738,0
0,"[2087, 4798, 6400, 9057]",4418,5.5189104080200195,0
0,"[2087, 4798, 6400, 9057]",3998,4.8498711585998535,0
0,"[2087, 4798, 6400, 9057]",5352,5.43311071395874,0
