Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[178],637,0.52099609375,1
0,[178],440,0.8466796875,0
0,[178],144,1.3291015625,1
0,[178],697,0.666015625,0
0,[178],161,2.404296875,0
0,[178],360,0.6650390625,0
0,[178],376,0.4970703125,0
0,[178],36,0.33837890625,0
0,[178],371,0.54833984375,0
0,[178],247,0.8134765625,0
0,[178],263,0.541015625,1
0,[178],173,1.529296875,0
0,[178],86,0.64208984375,0
0,[178],271,0.418701171875,0
0,[178],85,0.29248046875,1
0,[178],159,1.404296875,0
0,[178],369,0.76513671875,0
0,[178],95,0.97216796875,1
0,[178],266,1.0693359375,0
0,[178],565,0.384521484375,0
0,[178],401,1.37890625,0
0,[178],250,1.0693359375,0
0,[178],572,0.5400390625,0
0,[178],166,0.455078125,0
0,[178],164,0.65478515625,0
0,[178],480,0.71337890625,0
0,[178],219,1.298828125,0
0,[178],180,0.484375,0
0,[178],278,1.73828125,0
0,[178],1,0.59423828125,0
0,[178],460,0.673828125,0
0,[178],167,1.4931640625,0
0,[178],491,0.291015625,1
0,[178],257,0.330078125,1
0,[178],281,0.5859375,1
0,[178],400,1.1650390625,0
0,[178],61,0.30615234375,1
0,[178],214,1.5693359375,0
0,[178],98,1.2216796875,0
0,[178],695,0.6181640625,0
0,[178],543,0.53857421875,0
0,[178],276,1.021484375,0
0,[178],211,1.10546875,0
0,[178],499,0.6884765625,0
0,[178],40,0.419921875,0
0,[178],254,2.13671875,0
0,[178],64,1.4462890625,1
0,[178],45,0.55517578125,0
0,[178],56,1.162109375,0
0,[178],229,0.8564453125,1
0,[178],244,0.57080078125,1
0,[178],549,0.60498046875,1
0,[178],209,1.48046875,0
0,[178],665,0.4794921875,1
0,[178],259,0.79736328125,0
0,[178],366,0.52783203125,0
0,[178],232,0.66357421875,0
0,[178],199,0.6083984375,0
0,[178],3,0.7060546875,0
0,[178],417,1.990234375,0
0,[178],320,0.6533203125,0
0,[178],653,0.68603515625,0
0,[178],343,0.35205078125,1
0,[178],57,0.497314453125,0
0,[178],222,1.064453125,0
0,[178],510,0.64501953125,1
0,[178],205,0.59521484375,0
0,[178],673,0.50048828125,0
0,[178],206,1.1435546875,0
0,[178],87,0.7021484375,0
0,[178],115,0.53662109375,0
0,[178],60,1.017578125,0
0,[178],624,0.53662109375,0
0,[178],675,0.95654296875,0
0,[178],69,0.453857421875,0
0,[178],177,0.51025390625,0
0,[178],72,0.5791015625,0
0,[178],223,1.041015625,1
0,[178],178,0.65478515625,0
0,[178],338,1.134765625,0
0,[178],357,0.81884765625,0
0,[178],592,0.77197265625,0
0,[178],699,0.6982421875,0
0,[178],19,0.61474609375,0
0,[178],403,1.47265625,1
0,[178],200,1.5537109375,0
0,[178],84,1.294921875,1
0,[178],62,1.447265625,0
0,[178],228,1.6025390625,0
