Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[1434, 614]",637,0.203125,1
0,"[1434, 614]",440,2.330078125,0
0,"[1434, 614]",144,1.8125,0
0,"[1434, 614]",697,0.5654296875,1
0,"[1434, 614]",161,2.2734375,0
0,"[1434, 614]",360,0.7255859375,0
0,"[1434, 614]",376,1.044921875,0
0,"[1434, 614]",36,1.443359375,0
0,"[1434, 614]",371,1.421875,0
0,"[1434, 614]",247,0.98291015625,1
0,"[1434, 614]",263,0.291259765625,1
0,"[1434, 614]",173,2.326171875,0
0,"[1434, 614]",86,0.478515625,1
0,"[1434, 614]",271,0.432861328125,0
0,"[1434, 614]",85,1.076171875,1
0,"[1434, 614]",159,2.79296875,0
0,"[1434, 614]",369,1.1279296875,0
0,"[1434, 614]",95,0.916015625,1
0,"[1434, 614]",266,1.236328125,1
0,"[1434, 614]",565,0.5869140625,1
0,"[1434, 614]",401,1.90234375,0
0,"[1434, 614]",250,1.8203125,0
0,"[1434, 614]",572,0.73583984375,0
0,"[1434, 614]",166,0.432373046875,1
0,"[1434, 614]",164,1.259765625,0
0,"[1434, 614]",480,2.2265625,0
0,"[1434, 614]",219,0.25048828125,1
0,"[1434, 614]",180,1.0,0
0,"[1434, 614]",278,2.189453125,0
0,"[1434, 614]",1,0.86328125,0
0,"[1434, 614]",460,0.8984375,0
0,"[1434, 614]",167,1.6171875,1
0,"[1434, 614]",491,0.43701171875,1
0,"[1434, 614]",257,0.83154296875,0
0,"[1434, 614]",281,0.43359375,1
0,"[1434, 614]",400,0.7470703125,0
0,"[1434, 614]",61,1.484375,0
0,"[1434, 614]",214,3.91796875,0
0,"[1434, 614]",98,1.1767578125,0
0,"[1434, 614]",695,1.30859375,0
0,"[1434, 614]",543,1.0166015625,0
0,"[1434, 614]",276,1.884765625,0
0,"[1434, 614]",211,1.6767578125,0
0,"[1434, 614]",499,0.5302734375,0
0,"[1434, 614]",40,0.9697265625,0
0,"[1434, 614]",254,1.421875,0
0,"[1434, 614]",64,0.7744140625,1
0,"[1434, 614]",45,1.0400390625,1
0,"[1434, 614]",56,0.37255859375,1
0,"[1434, 614]",229,1.34765625,0
0,"[1434, 614]",244,0.53076171875,0
0,"[1434, 614]",549,0.919921875,0
0,"[1434, 614]",209,1.06640625,0
0,"[1434, 614]",665,0.203125,1
0,"[1434, 614]",259,1.2724609375,0
0,"[1434, 614]",366,0.78564453125,0
0,"[1434, 614]",232,0.70654296875,0
0,"[1434, 614]",199,1.263671875,0
0,"[1434, 614]",3,0.42724609375,0
0,"[1434, 614]",417,1.9462890625,0
0,"[1434, 614]",320,0.76953125,0
0,"[1434, 614]",653,1.01171875,0
0,"[1434, 614]",343,1.966796875,0
0,"[1434, 614]",57,0.47802734375,0
0,"[1434, 614]",222,0.450927734375,0
0,"[1434, 614]",510,0.60791015625,1
0,"[1434, 614]",205,1.0791015625,0
0,"[1434, 614]",673,0.60498046875,0
0,"[1434, 614]",206,1.529296875,0
0,"[1434, 614]",87,0.32958984375,1
0,"[1434, 614]",115,1.1591796875,0
0,"[1434, 614]",60,1.2890625,0
0,"[1434, 614]",624,0.841796875,0
0,"[1434, 614]",675,1.69921875,0
0,"[1434, 614]",69,1.7001953125,0
0,"[1434, 614]",177,1.21875,1
0,"[1434, 614]",72,0.4140625,0
0,"[1434, 614]",223,0.67724609375,1
0,"[1434, 614]",178,0.4296875,0
0,"[1434, 614]",338,1.1328125,1
0,"[1434, 614]",357,0.8681640625,0
0,"[1434, 614]",592,1.47265625,0
0,"[1434, 614]",699,0.81982421875,0
0,"[1434, 614]",19,0.5546875,0
0,"[1434, 614]",403,1.59765625,1
0,"[1434, 614]",200,1.83203125,0
0,"[1434, 614]",84,1.306640625,1
0,"[1434, 614]",62,0.98974609375,0
0,"[1434, 614]",228,2.09765625,0
0,"[1434, 614]",432,2.53125,1
0,"[1434, 614]",645,1.0283203125,0
0,"[1434, 614]",365,0.456298828125,0
0,"[1434, 614]",153,2.9453125,0
0,"[1434, 614]",619,1.0615234375,0
0,"[1434, 614]",92,0.5966796875,0
0,"[1434, 614]",270,0.224365234375,1
0,"[1434, 614]",458,1.181640625,0
0,"[1434, 614]",402,2.6484375,0
0,"[1434, 614]",142,0.475830078125,1
0,"[1434, 614]",462,1.0595703125,0
