Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[7],0,0.2099609375,0
0,[7],1,0.09710693359375,0
0,[7],2,0.1036376953125,0
0,[7],3,0.37548828125,0
0,[7],4,0.1944580078125,0
0,[7],5,0.1522216796875,0
0,[7],6,0.1981201171875,1
0,[7],8,0.1942138671875,0
0,[7],9,0.215576171875,0
0,[7],10,0.1258544921875,0
0,[7],11,0.3291015625,0
0,[7],12,0.273193359375,0
0,[7],13,0.159423828125,0
0,[7],14,0.1434326171875,1
0,[7],15,0.267822265625,0
0,[7],7,0.1712646484375,1
0,[7],16,0.1888427734375,0
0,[7],17,0.221923828125,0
0,[7],18,0.218017578125,0
0,[7],19,0.10467529296875,1
0,[7],20,0.24462890625,0
0,[7],21,0.1082763671875,1
0,[7],22,0.08221435546875,1
0,[7],23,0.0301361083984375,1
0,[7],24,0.332275390625,0
0,[7],25,0.037750244140625,1
0,[7],26,0.43408203125,0
0,[7],27,0.158447265625,1
0,[7],28,0.19482421875,0
0,[7],29,0.1904296875,0
0,[7],30,0.33935546875,0
0,[7],31,0.160400390625,1
0,[7],32,0.31982421875,0
0,[7],33,0.10272216796875,0
0,[7],34,0.11859130859375,1
0,[7],35,0.1761474609375,0
0,[7],36,0.46435546875,0
0,[7],37,0.0931396484375,1
0,[7],38,0.29833984375,0
0,[7],39,0.2271728515625,0
1,[72],0,0.197509765625,0
1,[72],1,0.059173583984375,0
1,[72],2,0.371337890625,1
1,[72],3,0.177734375,0
1,[72],4,0.21533203125,1
1,[72],5,0.3388671875,0
1,[72],6,0.037353515625,1
1,[72],7,0.2010498046875,0
1,[72],8,0.124755859375,1
1,[72],9,0.2247314453125,0
1,[72],10,0.21875,1
1,[72],11,0.15771484375,0
1,[72],12,0.316650390625,0
1,[72],13,0.1573486328125,0
1,[72],14,0.50244140625,0
1,[72],15,0.2117919921875,0
1,[72],16,0.0433349609375,1
1,[72],17,0.056884765625,1
1,[72],18,0.5673828125,0
1,[72],19,0.2239990234375,0
1,[72],20,0.1744384765625,0
1,[72],21,0.38134765625,0
1,[72],22,0.4189453125,0
1,[72],23,0.232177734375,0
1,[72],24,0.1201171875,1
1,[72],25,0.1151123046875,1
1,[72],26,0.33642578125,0
1,[72],27,0.43603515625,0
1,[72],28,0.1146240234375,1
1,[72],29,0.137939453125,0
1,[72],30,0.148193359375,0
1,[72],31,0.332763671875,0
1,[72],32,0.2174072265625,0
1,[72],33,0.218994140625,0
1,[72],34,0.55810546875,0
1,[72],35,0.310302734375,0
1,[72],36,0.2401123046875,0
1,[72],37,0.26806640625,0
1,[72],38,0.5576171875,0
1,[72],39,0.2308349609375,0
2,[0],1,0.0882568359375,1
2,[0],2,0.203125,0
2,[0],3,0.181640625,1
2,[0],4,0.21630859375,1
2,[0],5,0.355224609375,0
2,[0],6,0.094970703125,1
2,[0],7,0.2039794921875,0
2,[0],8,0.1370849609375,1
2,[0],9,0.255615234375,0
2,[0],10,0.1060791015625,1
2,[0],11,0.2310791015625,0
2,[0],12,0.268798828125,0
2,[0],13,0.138671875,0
2,[0],14,0.3515625,0
2,[0],15,0.150146484375,0
2,[0],0,0.307373046875,0
2,[0],16,0.11669921875,1
2,[0],17,0.11944580078125,1
2,[0],18,0.3388671875,0
2,[0],19,0.135009765625,1
2,[0],20,0.197021484375,0
2,[0],21,0.37451171875,0
2,[0],22,0.3642578125,0
2,[0],23,0.1041259765625,1
2,[0],24,0.2349853515625,0
2,[0],25,0.07275390625,1
2,[0],26,0.2462158203125,1
2,[0],27,0.2149658203125,0
2,[0],28,0.125732421875,0
2,[0],29,0.10516357421875,1
2,[0],30,0.2105712890625,0
2,[0],31,0.2509765625,0
2,[0],32,0.267578125,0
2,[0],33,0.1292724609375,0
2,[0],34,0.28564453125,0
2,[0],35,0.297607421875,0
2,[0],36,0.191162109375,0
2,[0],37,0.264404296875,0
2,[0],38,0.5009765625,0
2,[0],39,0.2188720703125,1
3,[56],0,0.11981201171875,0
3,[56],1,0.096923828125,0
3,[56],2,0.0908203125,1
3,[56],3,0.353759765625,0
3,[56],4,0.2178955078125,0
3,[56],5,0.1973876953125,0
3,[56],6,0.219970703125,1
3,[56],7,0.170654296875,1
3,[56],8,0.1976318359375,0
3,[56],9,0.329345703125,0
3,[56],10,0.07049560546875,1
3,[56],11,0.306396484375,0
3,[56],12,0.2705078125,0
3,[56],13,0.1588134765625,0
3,[56],14,0.08636474609375,1
3,[56],15,0.302734375,0
3,[56],16,0.245361328125,0
3,[56],17,0.52685546875,0
3,[56],18,0.1568603515625,0
3,[56],19,0.060302734375,1
3,[56],20,0.278076171875,0
3,[56],21,0.09735107421875,1
3,[56],22,0.1287841796875,1
3,[56],23,0.00746917724609375,1
3,[56],24,0.345703125,0
3,[56],25,0.019500732421875,1
3,[56],26,0.435302734375,0
3,[56],27,0.10137939453125,1
3,[56],28,0.2303466796875,0
3,[56],29,0.212646484375,0
3,[56],30,0.333984375,0
3,[56],31,0.0732421875,1
3,[56],32,0.5068359375,0
3,[56],33,0.0726318359375,1
3,[56],34,0.2005615234375,0
3,[56],35,0.1263427734375,1
3,[56],36,0.455322265625,0
3,[56],37,0.1014404296875,1
3,[56],38,0.39404296875,0
3,[56],39,0.29345703125,0
4,[63],0,0.11553955078125,0
4,[63],1,0.09893798828125,0
4,[63],2,0.1268310546875,0
4,[63],3,0.404296875,0
4,[63],4,0.2012939453125,0
4,[63],5,0.25146484375,0
4,[63],6,0.271728515625,1
4,[63],7,0.16064453125,1
4,[63],8,0.2034912109375,0
4,[63],9,0.261474609375,0
4,[63],10,0.087158203125,0
4,[63],11,0.267333984375,0
4,[63],12,0.29248046875,0
4,[63],13,0.12249755859375,0
4,[63],14,0.2196044921875,0
4,[63],15,0.352783203125,0
4,[63],16,0.25390625,0
4,[63],17,0.289794921875,0
4,[63],18,0.187255859375,0
4,[63],19,0.0677490234375,1
4,[63],20,0.222412109375,0
4,[63],21,0.08514404296875,1
4,[63],22,0.10150146484375,1
4,[63],23,0.01212310791015625,1
4,[63],24,0.42724609375,0
4,[63],25,0.01393890380859375,1
4,[63],26,0.35205078125,0
4,[63],27,0.121337890625,1
4,[63],28,0.1922607421875,0
4,[63],29,0.197265625,0
4,[63],30,0.3759765625,0
4,[63],31,0.12152099609375,1
4,[63],32,0.347900390625,0
4,[63],33,0.07305908203125,1
4,[63],34,0.1414794921875,1
4,[63],35,0.07012939453125,1
4,[63],36,0.474609375,0
4,[63],37,0.12274169921875,0
4,[63],38,0.220703125,1
4,[63],39,0.392333984375,0
5,[57],0,0.31201171875,0
5,[57],1,0.08306884765625,1
5,[57],2,0.1878662109375,0
5,[57],3,0.255615234375,0
5,[57],4,0.182373046875,1
5,[57],5,0.261962890625,0
5,[57],6,0.093994140625,1
5,[57],7,0.158447265625,0
5,[57],8,0.1591796875,0
5,[57],9,0.1864013671875,0
5,[57],10,0.1732177734375,1
5,[57],11,0.2626953125,0
5,[57],12,0.30859375,0
5,[57],13,0.18212890625,0
5,[57],14,0.39453125,0
5,[57],15,0.1397705078125,0
5,[57],16,0.2119140625,0
5,[57],17,0.1458740234375,1
5,[57],18,0.440673828125,0
5,[57],19,0.267822265625,0
5,[57],20,0.106689453125,1
5,[57],21,0.201416015625,0
5,[57],22,0.308349609375,0
5,[57],23,0.039093017578125,1
5,[57],24,0.2379150390625,0
5,[57],25,0.08221435546875,1
5,[57],26,0.1787109375,1
5,[57],27,0.267822265625,0
5,[57],28,0.1055908203125,0
5,[57],29,0.153076171875,1
5,[57],30,0.272216796875,0
5,[57],31,0.2374267578125,0
5,[57],32,0.28076171875,0
5,[57],33,0.1929931640625,0
5,[57],34,0.2705078125,0
5,[57],35,0.3056640625,0
5,[57],36,0.395263671875,0
5,[57],37,0.282470703125,0
5,[57],38,0.44677734375,0
5,[57],39,0.1607666015625,1
6,[82],0,0.1082763671875,0
6,[82],1,0.0970458984375,0
6,[82],2,0.111083984375,0
6,[82],3,0.386474609375,0
6,[82],4,0.1910400390625,0
6,[82],5,0.10272216796875,1
6,[82],6,0.141845703125,1
6,[82],7,0.1317138671875,1
6,[82],8,0.2132568359375,0
6,[82],9,0.1549072265625,0
6,[82],10,0.069091796875,1
6,[82],11,0.30908203125,0
6,[82],12,0.2152099609375,0
6,[82],13,0.12213134765625,0
6,[82],14,0.1534423828125,1
6,[82],15,0.3642578125,0
6,[82],16,0.14794921875,0
6,[82],17,0.311279296875,0
6,[82],18,0.298828125,0
6,[82],19,0.10443115234375,1
6,[82],20,0.2042236328125,0
6,[82],21,0.1461181640625,0
6,[82],22,0.131591796875,1
6,[82],23,0.020965576171875,1
6,[82],24,0.33642578125,0
6,[82],25,0.0180511474609375,1
6,[82],26,0.43603515625,0
6,[82],27,0.1441650390625,1
6,[82],28,0.132080078125,0
6,[82],29,0.1820068359375,0
6,[82],30,0.28369140625,0
6,[82],31,0.1533203125,1
6,[82],32,0.37548828125,0
6,[82],33,0.0975341796875,0
6,[82],34,0.205078125,0
6,[82],35,0.203125,0
6,[82],36,0.40576171875,0
6,[82],37,0.1221923828125,0
6,[82],38,0.243896484375,0
6,[82],39,0.20654296875,0
7,[40],0,0.300537109375,0
7,[40],1,0.0672607421875,0
7,[40],2,0.29931640625,0
7,[40],3,0.1451416015625,1
7,[40],4,0.2203369140625,1
7,[40],5,0.283447265625,1
7,[40],6,0.0543212890625,1
7,[40],7,0.2091064453125,0
7,[40],8,0.1461181640625,0
7,[40],9,0.208984375,0
7,[40],10,0.1424560546875,1
7,[40],11,0.2218017578125,0
7,[40],12,0.26611328125,0
7,[40],13,0.1710205078125,0
7,[40],14,0.450927734375,0
7,[40],15,0.1220703125,0
7,[40],16,0.0665283203125,1
7,[40],17,0.065185546875,1
7,[40],18,0.48046875,0
7,[40],19,0.27490234375,0
7,[40],20,0.1265869140625,0
7,[40],21,0.44091796875,0
7,[40],22,0.37109375,0
7,[40],23,0.1575927734375,0
7,[40],25,0.07623291015625,1
7,[40],26,0.327392578125,0
7,[40],27,0.2462158203125,0
7,[40],28,0.096923828125,0
7,[40],29,0.1173095703125,0
7,[40],30,0.2125244140625,0
7,[40],31,0.2454833984375,0
7,[40],32,0.2386474609375,0
7,[40],33,0.1845703125,0
7,[40],34,0.406982421875,0
7,[40],35,0.2548828125,0
7,[40],36,0.32373046875,0
7,[40],37,0.2191162109375,0
7,[40],38,0.5244140625,0
7,[40],39,0.12646484375,1
8,[50],0,0.134521484375,0
8,[50],1,0.1077880859375,0
8,[50],2,0.06689453125,1
8,[50],3,0.409912109375,0
8,[50],4,0.22509765625,0
8,[50],5,0.1534423828125,0
8,[50],6,0.17724609375,1
8,[50],7,0.1571044921875,1
8,[50],8,0.2191162109375,0
8,[50],9,0.175537109375,0
8,[50],10,0.09271240234375,1
8,[50],11,0.320556640625,0
8,[50],12,0.314453125,0
8,[50],13,0.1492919921875,0
8,[50],14,0.203125,0
8,[50],15,0.269287109375,0
8,[50],16,0.12200927734375,0
8,[50],17,0.257568359375,0
8,[50],18,0.1492919921875,1
8,[50],19,0.10565185546875,1
8,[50],20,0.270751953125,0
8,[50],21,0.08721923828125,1
8,[50],22,0.11181640625,1
8,[50],23,0.024810791015625,1
8,[50],24,0.306396484375,0
8,[50],25,0.0244598388671875,1
8,[50],26,0.49462890625,0
8,[50],27,0.101318359375,1
8,[50],28,0.1680908203125,0
8,[50],29,0.1971435546875,0
8,[50],30,0.31005859375,0
8,[50],31,0.1180419921875,1
8,[50],32,0.332275390625,0
8,[50],33,0.11297607421875,0
8,[50],35,0.1468505859375,0
8,[50],36,0.380859375,0
8,[50],37,0.10430908203125,1
8,[50],38,0.29150390625,0
8,[50],39,0.293701171875,0
9,[53],0,0.130126953125,0
9,[53],1,0.08966064453125,0
9,[53],2,0.11456298828125,0
9,[53],3,0.367431640625,0
9,[53],4,0.25439453125,0
9,[53],5,0.2327880859375,0
9,[53],6,0.1502685546875,1
9,[53],7,0.1983642578125,1
9,[53],8,0.21484375,0
9,[53],9,0.2232666015625,0
