Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[45, 24, 17, 2]",0,0.1298077404499054,0
0,"[45, 24, 17, 2]",1,0.13885635137557983,1
0,"[45, 24, 17, 2]",3,0.482119083404541,0
0,"[45, 24, 17, 2]",4,1.1281241178512573,1
0,"[45, 24, 17, 2]",5,1.80841064453125,0
0,"[45, 24, 17, 2]",6,0.38017040491104126,0
0,"[45, 24, 17, 2]",7,1.5679856538772583,0
0,"[45, 24, 17, 2]",8,0.7579881548881531,0
0,"[45, 24, 17, 2]",9,1.9418452978134155,0
0,"[45, 24, 17, 2]",10,0.9191327691078186,0
0,"[45, 24, 17, 2]",11,0.8186550140380859,0
0,"[45, 24, 17, 2]",12,0.7428781390190125,0
0,"[45, 24, 17, 2]",13,0.25072336196899414,1
0,"[45, 24, 17, 2]",14,0.2088775783777237,1
0,"[45, 24, 17, 2]",15,0.1359703093767166,1
0,"[45, 24, 17, 2]",16,0.05884614214301109,1
0,"[45, 24, 17, 2]",18,0.030449848622083664,1
0,"[45, 24, 17, 2]",19,0.12646585702896118,1
0,"[45, 24, 17, 2]",20,1.4432435035705566,0
0,"[45, 24, 17, 2]",21,0.08011450618505478,1
0,"[45, 24, 17, 2]",22,0.3967905640602112,0
0,"[45, 24, 17, 2]",23,0.34982749819755554,0
0,"[45, 24, 17, 2]",25,0.04351873695850372,0
0,"[45, 24, 17, 2]",26,1.2057771682739258,0
0,"[45, 24, 17, 2]",27,1.3392373323440552,1
0,"[45, 24, 17, 2]",28,1.3756365776062012,0
0,"[45, 24, 17, 2]",29,0.07678987085819244,1
0,"[45, 24, 17, 2]",30,1.2858978509902954,0
0,"[45, 24, 17, 2]",31,0.8736889362335205,0
0,"[45, 24, 17, 2]",32,0.9664862751960754,0
0,"[45, 24, 17, 2]",33,0.9637801051139832,0
0,"[45, 24, 17, 2]",34,1.9353231191635132,0
0,"[45, 24, 17, 2]",35,0.14192849397659302,0
0,"[45, 24, 17, 2]",36,0.560566782951355,0
0,"[45, 24, 17, 2]",37,0.4153229296207428,1
0,"[45, 24, 17, 2]",38,0.5673807263374329,1
0,"[45, 24, 17, 2]",39,0.15150600671768188,0
0,"[45, 24, 17, 2]",40,0.28709647059440613,0
0,"[45, 24, 17, 2]",41,0.546780526638031,0
0,"[45, 24, 17, 2]",42,0.18690280616283417,0
0,"[45, 24, 17, 2]",43,0.6382067799568176,0
0,"[45, 24, 17, 2]",44,0.28281205892562866,1
0,"[45, 24, 17, 2]",46,0.25017234683036804,0
0,"[45, 24, 17, 2]",47,0.895187258720398,0
0,"[45, 24, 17, 2]",48,0.5186018943786621,1
0,"[45, 24, 17, 2]",49,0.7776424884796143,0
0,"[45, 24, 17, 2]",50,0.4283081293106079,0
0,"[45, 24, 17, 2]",51,0.4394136965274811,0
0,"[45, 24, 17, 2]",52,2.129399299621582,0
0,"[45, 24, 17, 2]",53,2.439420223236084,0
0,"[45, 24, 17, 2]",54,2.2652230262756348,0
0,"[45, 24, 17, 2]",55,1.8716007471084595,0
0,"[45, 24, 17, 2]",56,0.7244811058044434,1
0,"[45, 24, 17, 2]",57,1.1896429061889648,0
0,"[45, 24, 17, 2]",58,1.0553700923919678,0
0,"[45, 24, 17, 2]",59,2.255128860473633,0
1,"[45, 11, 59, 49]",0,1.233711838722229,0
1,"[45, 11, 59, 49]",1,1.3001295328140259,0
1,"[45, 11, 59, 49]",2,1.0292131900787354,1
1,"[45, 11, 59, 49]",3,0.9327601790428162,0
1,"[45, 11, 59, 49]",4,0.796784520149231,1
1,"[45, 11, 59, 49]",5,0.9277886152267456,1
1,"[45, 11, 59, 49]",6,1.3046764135360718,0
1,"[45, 11, 59, 49]",7,1.1216362714767456,0
1,"[45, 11, 59, 49]",8,0.9305774569511414,1
1,"[45, 11, 59, 49]",9,1.2337117195129395,0
1,"[45, 11, 59, 49]",10,1.0619518756866455,0
1,"[45, 11, 59, 49]",12,0.8791604042053223,1
1,"[45, 11, 59, 49]",13,1.116913080215454,0
1,"[45, 11, 59, 49]",14,1.3046766519546509,0
1,"[45, 11, 59, 49]",15,1.0292131900787354,1
1,"[45, 11, 59, 49]",16,1.1216362714767456,1
1,"[45, 11, 59, 49]",17,1.1216362714767456,1
1,"[45, 11, 59, 49]",18,1.1216362714767456,1
1,"[45, 11, 59, 49]",19,1.3001295328140259,0
1,"[45, 11, 59, 49]",20,1.0619518756866455,0
1,"[45, 11, 59, 49]",21,1.3046766519546509,0
1,"[45, 11, 59, 49]",22,1.233711838722229,1
1,"[45, 11, 59, 49]",23,1.3046766519546509,0
1,"[45, 11, 59, 49]",24,0.8352153897285461,1
1,"[45, 11, 59, 49]",25,0.8352154493331909,1
1,"[45, 11, 59, 49]",26,1.2337117195129395,1
1,"[45, 11, 59, 49]",27,0.9305774569511414,1
1,"[45, 11, 59, 49]",28,1.288501501083374,0
1,"[45, 11, 59, 49]",29,1.121636152267456,1
1,"[45, 11, 59, 49]",30,0.7015926241874695,1
1,"[45, 11, 59, 49]",31,0.927788496017456,1
1,"[45, 11, 59, 49]",32,0.927788496017456,1
1,"[45, 11, 59, 49]",33,0.927788496017456,1
1,"[45, 11, 59, 49]",34,0.796784520149231,1
1,"[45, 11, 59, 49]",35,1.1216362714767456,0
1,"[45, 11, 59, 49]",36,1.2337117195129395,0
1,"[45, 11, 59, 49]",37,0.8352154493331909,1
1,"[45, 11, 59, 49]",38,1.3001294136047363,0
1,"[45, 11, 59, 49]",39,1.3001294136047363,0
1,"[45, 11, 59, 49]",40,1.325756311416626,0
1,"[45, 11, 59, 49]",41,1.1216362714767456,0
1,"[45, 11, 59, 49]",42,1.0292131900787354,0
