Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
42,"[18, 3]",0,2.306640625,0
42,"[18, 3]",1,0.01132965087890625,1
42,"[18, 3]",2,1.8818359375,0
42,"[18, 3]",4,2.388671875,0
42,"[18, 3]",5,0.037322998046875,1
42,"[18, 3]",6,1.888671875,0
42,"[18, 3]",7,0.102783203125,1
42,"[18, 3]",8,3.611328125,0
42,"[18, 3]",9,0.011260986328125,1
42,"[18, 3]",10,2.6171875,0
42,"[18, 3]",11,0.01520538330078125,1
42,"[18, 3]",12,3.244140625,0
42,"[18, 3]",13,0.0577392578125,1
42,"[18, 3]",14,2.513671875,0
42,"[18, 3]",15,0.0284576416015625,1
42,"[18, 3]",16,2.333984375,0
42,"[18, 3]",17,0.05181884765625,1
42,"[18, 3]",19,0.046234130859375,1
42,"[18, 3]",20,2.2109375,0
42,"[18, 3]",21,0.01296234130859375,1
42,"[18, 3]",22,2.814453125,0
42,"[18, 3]",23,0.8759765625,1
42,"[18, 3]",24,2.515625,0
42,"[18, 3]",25,0.126220703125,1
42,"[18, 3]",26,1.865234375,0
42,"[18, 3]",27,0.036407470703125,1
42,"[18, 3]",28,1.560546875,0
42,"[18, 3]",29,0.458251953125,1
42,"[18, 3]",30,3.150390625,0
42,"[18, 3]",31,0.0869140625,1
42,"[18, 3]",32,4.66796875,0
42,"[18, 3]",33,0.1240234375,1
42,"[18, 3]",34,2.298828125,0
42,"[18, 3]",35,0.515625,1
42,"[18, 3]",36,3.04296875,0
42,"[18, 3]",37,0.039031982421875,1
42,"[18, 3]",38,2.70703125,0
42,"[18, 3]",39,0.0269927978515625,1
42,"[18, 3]",40,2.47265625,0
42,"[18, 3]",41,0.04656982421875,1
42,"[18, 3]",42,1.4287109375,0
42,"[18, 3]",43,0.1943359375,1
42,"[18, 3]",44,3.224609375,0
42,"[18, 3]",45,0.01232147216796875,1
41,"[7, 10]",0,0.54931640625,0
41,"[7, 10]",1,0.044097900390625,1
41,"[7, 10]",2,0.2181396484375,1
41,"[7, 10]",3,0.27197265625,0
41,"[7, 10]",4,0.77880859375,0
41,"[7, 10]",5,0.2139892578125,1
41,"[7, 10]",6,0.5205078125,0
41,"[7, 10]",8,0.4609375,0
41,"[7, 10]",9,0.16259765625,1
41,"[7, 10]",11,0.06671142578125,1
41,"[7, 10]",12,0.7626953125,0
41,"[7, 10]",13,0.5732421875,0
41,"[7, 10]",14,0.4521484375,0
41,"[7, 10]",15,0.1590576171875,1
41,"[7, 10]",16,0.29150390625,1
41,"[7, 10]",17,0.2156982421875,1
41,"[7, 10]",18,0.486083984375,0
41,"[7, 10]",19,0.275146484375,1
41,"[7, 10]",20,0.52294921875,0
41,"[7, 10]",21,0.06256103515625,1
41,"[7, 10]",22,0.329833984375,1
41,"[7, 10]",23,1.2060546875,0
41,"[7, 10]",24,0.287841796875,1
41,"[7, 10]",25,0.8994140625,0
41,"[7, 10]",26,0.6015625,0
41,"[7, 10]",27,0.217041015625,1
41,"[7, 10]",28,0.17578125,1
41,"[7, 10]",29,0.67724609375,0
41,"[7, 10]",30,1.3056640625,0
41,"[7, 10]",31,0.489013671875,0
41,"[7, 10]",32,1.4150390625,0
41,"[7, 10]",33,0.318115234375,1
41,"[7, 10]",34,0.6474609375,0
41,"[7, 10]",35,1.67578125,0
41,"[7, 10]",36,0.31396484375,1
41,"[7, 10]",37,0.54150390625,0
41,"[7, 10]",38,0.60791015625,0
41,"[7, 10]",39,0.10565185546875,1
41,"[7, 10]",40,0.53759765625,0
41,"[7, 10]",41,0.49365234375,1
41,"[7, 10]",42,0.30078125,1
41,"[7, 10]",43,0.265869140625,1
41,"[7, 10]",44,0.923828125,0
41,"[7, 10]",45,0.1025390625,1
40,"[18, 12]",0,0.763671875,0
40,"[18, 12]",1,0.028778076171875,1
40,"[18, 12]",2,0.284423828125,0
40,"[18, 12]",3,0.278564453125,0
40,"[18, 12]",4,0.419189453125,0
40,"[18, 12]",5,0.345947265625,1
40,"[18, 12]",6,0.75830078125,0
40,"[18, 12]",7,0.568359375,0
40,"[18, 12]",8,0.931640625,0
40,"[18, 12]",9,0.22216796875,1
40,"[18, 12]",10,1.296875,0
40,"[18, 12]",11,0.08709716796875,1
40,"[18, 12]",13,0.363525390625,1
40,"[18, 12]",14,0.336669921875,1
40,"[18, 12]",15,0.1683349609375,1
40,"[18, 12]",16,1.001953125,0
40,"[18, 12]",17,0.2454833984375,1
40,"[18, 12]",19,0.431640625,1
40,"[18, 12]",20,0.23828125,1
40,"[18, 12]",21,0.1312255859375,1
40,"[18, 12]",22,1.0751953125,1
40,"[18, 12]",23,2.3828125,0
40,"[18, 12]",24,0.59375,1
40,"[18, 12]",25,0.59765625,1
40,"[18, 12]",26,0.494873046875,1
40,"[18, 12]",27,0.2208251953125,1
40,"[18, 12]",28,0.69091796875,0
40,"[18, 12]",29,1.0107421875,0
40,"[18, 12]",30,1.4326171875,0
40,"[18, 12]",31,0.42822265625,0
40,"[18, 12]",32,1.880859375,0
40,"[18, 12]",33,0.378662109375,1
40,"[18, 12]",34,0.37646484375,1
40,"[18, 12]",35,0.94921875,1
40,"[18, 12]",36,0.744140625,0
40,"[18, 12]",37,0.396484375,1
40,"[18, 12]",38,0.1710205078125,1
40,"[18, 12]",39,0.433349609375,1
40,"[18, 12]",40,0.52978515625,0
40,"[18, 12]",41,0.45166015625,1
40,"[18, 12]",42,0.638671875,0
40,"[18, 12]",43,0.46875,1
40,"[18, 12]",44,0.2369384765625,1
40,"[18, 12]",45,0.11029052734375,1
39,"[39, 37]",0,4.09765625,0
39,"[39, 37]",1,0.0174407958984375,1
39,"[39, 37]",2,3.65234375,0
39,"[39, 37]",3,0.00888824462890625,1
39,"[39, 37]",4,4.875,0
39,"[39, 37]",5,0.006328582763671875,1
39,"[39, 37]",6,3.587890625,0
39,"[39, 37]",7,0.1658935546875,1
39,"[39, 37]",8,4.9140625,0
39,"[39, 37]",9,0.00852203369140625,1
39,"[39, 37]",10,5.06640625,0
39,"[39, 37]",11,0.0190582275390625,1
39,"[39, 37]",12,3.865234375,0
39,"[39, 37]",13,0.0323486328125,1
39,"[39, 37]",14,3.162109375,0
39,"[39, 37]",15,0.02813720703125,1
39,"[39, 37]",16,4.03125,0
39,"[39, 37]",17,0.08648681640625,1
39,"[39, 37]",18,3.330078125,0
39,"[39, 37]",19,0.006732940673828125,1
39,"[39, 37]",20,4.06640625,0
39,"[39, 37]",21,0.01837158203125,1
39,"[39, 37]",22,5.15234375,0
39,"[39, 37]",23,0.8046875,1
39,"[39, 37]",24,3.19921875,0
39,"[39, 37]",25,0.302978515625,1
39,"[39, 37]",26,3.939453125,0
39,"[39, 37]",27,0.030242919921875,1
39,"[39, 37]",28,3.8359375,0
39,"[39, 37]",29,0.1904296875,1
39,"[39, 37]",30,3.703125,0
39,"[39, 37]",31,0.09661865234375,1
39,"[39, 37]",32,6.55859375,0
39,"[39, 37]",33,0.28466796875,1
39,"[39, 37]",34,3.8984375,0
39,"[39, 37]",35,0.360107421875,1
39,"[39, 37]",36,4.171875,0
39,"[39, 37]",38,4.5078125,0
39,"[39, 37]",40,3.072265625,0
39,"[39, 37]",41,0.038299560546875,1
39,"[39, 37]",42,2.0625,0
39,"[39, 37]",43,0.06646728515625,1
39,"[39, 37]",44,6.26171875,0
39,"[39, 37]",45,0.0076751708984375,1
0,"[13, 28]",0,0.372314453125,1
0,"[13, 28]",1,0.05938720703125,1
0,"[13, 28]",2,0.482421875,0
0,"[13, 28]",3,0.143310546875,1
0,"[13, 28]",4,0.955078125,0
0,"[13, 28]",5,0.12451171875,1
0,"[13, 28]",6,0.29296875,1
0,"[13, 28]",7,0.6015625,0
0,"[13, 28]",8,0.55224609375,0
0,"[13, 28]",9,0.12457275390625,1
0,"[13, 28]",10,0.58740234375,1
0,"[13, 28]",11,0.08587646484375,1
0,"[13, 28]",12,1.3046875,0
0,"[13, 28]",14,0.39990234375,0
0,"[13, 28]",15,0.158935546875,1
0,"[13, 28]",16,0.362548828125,1
0,"[13, 28]",17,0.27978515625,1
