Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[2687, 268]",15,1.3193359375,0
0,"[2687, 268]",2431,1.140625,0
0,"[2687, 268]",1713,0.064208984375,1
0,"[2687, 268]",2671,1.3505859375,0
0,"[2687, 268]",825,1.3798828125,0
0,"[2687, 268]",1327,1.34375,0
0,"[2687, 268]",230,1.328125,0
0,"[2687, 268]",1920,1.41015625,0
0,"[2687, 268]",2202,1.3642578125,0
0,"[2687, 268]",1618,1.0908203125,0
0,"[2687, 268]",2087,1.3017578125,0
0,"[2687, 268]",1184,1.2685546875,0
0,"[2687, 268]",1475,0.026458740234375,1
0,"[2687, 268]",688,1.3447265625,0
0,"[2687, 268]",2752,1.32421875,0
0,"[2687, 268]",1246,1.42578125,0
0,"[2687, 268]",343,0.019195556640625,1
0,"[2687, 268]",100,0.033172607421875,1
0,"[2687, 268]",2776,1.177734375,0
0,"[2687, 268]",1131,1.2802734375,0
0,"[2687, 268]",1217,1.1845703125,0
0,"[2687, 268]",1333,1.302734375,0
0,"[2687, 268]",1717,0.05889892578125,1
0,"[2687, 268]",2824,1.2890625,0
0,"[2687, 268]",92,1.28515625,0
0,"[2687, 268]",191,0.0233001708984375,1
0,"[2687, 268]",1256,1.3349609375,0
0,"[2687, 268]",1539,1.3701171875,0
0,"[2687, 268]",2376,1.3935546875,0
0,"[2687, 268]",1795,1.162109375,0
0,"[2687, 268]",943,0.047698974609375,1
0,"[2687, 268]",2692,1.03515625,0
0,"[2687, 268]",221,0.02764892578125,1
0,"[2687, 268]",155,0.03179931640625,1
0,"[2687, 268]",2426,1.3173828125,0
0,"[2687, 268]",1106,1.4365234375,0
0,"[2687, 268]",1150,1.2568359375,0
0,"[2687, 268]",2660,0.0672607421875,1
0,"[2687, 268]",1536,1.3642578125,0
0,"[2687, 268]",1401,0.0289154052734375,1
0,"[2687, 268]",70,1.173828125,0
0,"[2687, 268]",1341,1.375,0
0,"[2687, 268]",2600,1.2587890625,0
0,"[2687, 268]",756,0.039031982421875,1
0,"[2687, 268]",2433,1.3173828125,0
0,"[2687, 268]",2020,0.02685546875,1
0,"[2687, 268]",1048,0.033050537109375,1
0,"[2687, 268]",1909,1.3974609375,0
0,"[2687, 268]",709,1.23828125,0
0,"[2687, 268]",2286,1.2861328125,0
0,"[2687, 268]",2594,1.4453125,0
0,"[2687, 268]",476,0.036651611328125,1
0,"[2687, 268]",1467,1.29296875,0
0,"[2687, 268]",2841,0.0288848876953125,1
0,"[2687, 268]",1868,0.0306549072265625,1
0,"[2687, 268]",907,0.136474609375,1
0,"[2687, 268]",1392,1.2880859375,0
0,"[2687, 268]",2729,1.1982421875,0
0,"[2687, 268]",2143,0.028350830078125,1
0,"[2687, 268]",2436,1.3583984375,0
0,"[2687, 268]",495,1.2880859375,0
0,"[2687, 268]",2238,0.02667236328125,1
0,"[2687, 268]",2605,0.042083740234375,1
0,"[2687, 268]",2327,0.016937255859375,1
0,"[2687, 268]",1756,1.2177734375,0
0,"[2687, 268]",823,1.3759765625,0
0,"[2687, 268]",95,0.0287933349609375,1
0,"[2687, 268]",1018,0.025909423828125,1
0,"[2687, 268]",2254,0.020660400390625,1
0,"[2687, 268]",2288,1.2001953125,0
0,"[2687, 268]",2308,1.1494140625,0
0,"[2687, 268]",701,1.375,0
0,"[2687, 268]",1076,1.2353515625,0
0,"[2687, 268]",1928,1.375,0
0,"[2687, 268]",1708,1.1728515625,0
0,"[2687, 268]",1871,0.02288818359375,1
0,"[2687, 268]",797,1.4248046875,0
0,"[2687, 268]",815,0.0264892578125,1
0,"[2687, 268]",169,1.2685546875,0
0,"[2687, 268]",2298,0.0177001953125,1
0,"[2687, 268]",1501,0.044403076171875,1
0,"[2687, 268]",1806,1.2060546875,0
0,"[2687, 268]",2417,0.0256195068359375,1
0,"[2687, 268]",285,1.1611328125,0
0,"[2687, 268]",992,0.04791259765625,1
0,"[2687, 268]",2317,0.0312347412109375,1
0,"[2687, 268]",780,0.0391845703125,1
0,"[2687, 268]",208,1.107421875,0
0,"[2687, 268]",2162,1.32421875,0
0,"[2687, 268]",1135,0.03411865234375,1
0,"[2687, 268]",708,1.3369140625,0
0,"[2687, 268]",2383,1.4814453125,0
0,"[2687, 268]",1262,1.4296875,0
0,"[2687, 268]",714,0.023101806640625,1
0,"[2687, 268]",2381,0.01488494873046875,1
0,"[2687, 268]",631,0.0239105224609375,1
0,"[2687, 268]",61,1.4189453125,0
0,"[2687, 268]",678,1.3544921875,0
0,"[2687, 268]",389,0.02276611328125,1
0,"[2687, 268]",1025,0.02606201171875,1
0,"[2687, 268]",1680,0.0225372314453125,1
0,"[2687, 268]",1194,1.22265625,0
0,"[2687, 268]",2749,0.04052734375,1
0,"[2687, 268]",1997,0.028167724609375,1
0,"[2687, 268]",1187,0.0301513671875,1
0,"[2687, 268]",1261,1.359375,0
0,"[2687, 268]",2209,1.375,0
0,"[2687, 268]",2638,0.02215576171875,1
0,"[2687, 268]",1008,0.042236328125,1
0,"[2687, 268]",2289,1.3818359375,0
0,"[2687, 268]",1678,0.0254364013671875,1
0,"[2687, 268]",1692,0.0220184326171875,1
0,"[2687, 268]",2536,0.787109375,0
0,"[2687, 268]",46,1.2529296875,0
0,"[2687, 268]",685,0.02532958984375,1
0,"[2687, 268]",574,1.3349609375,0
0,"[2687, 268]",2581,1.3447265625,0
0,"[2687, 268]",187,1.24609375,0
0,"[2687, 268]",1785,1.2431640625,0
0,"[2687, 268]",1532,1.2080078125,0
0,"[2687, 268]",1425,1.1787109375,0
0,"[2687, 268]",1934,1.3642578125,0
0,"[2687, 268]",446,0.0190887451171875,1
0,"[2687, 268]",1390,1.2939453125,0
0,"[2687, 268]",2854,1.359375,0
0,"[2687, 268]",1982,1.3896484375,0
0,"[2687, 268]",1505,0.037261962890625,1
0,"[2687, 268]",2214,1.390625,0
0,"[2687, 268]",2805,0.0213470458984375,1
0,"[2687, 268]",987,1.298828125,0
0,"[2687, 268]",1111,1.4462890625,0
0,"[2687, 268]",571,1.244140625,0
0,"[2687, 268]",2364,1.208984375,0
0,"[2687, 268]",802,1.35546875,0
0,"[2687, 268]",915,0.0257720947265625,1
0,"[2687, 268]",801,1.4306640625,0
0,"[2687, 268]",600,0.023590087890625,1
0,"[2687, 268]",1500,0.037384033203125,1
0,"[2687, 268]",2237,0.02593994140625,1
0,"[2687, 268]",1671,0.028900146484375,1
0,"[2687, 268]",1380,1.3046875,0
0,"[2687, 268]",2525,0.03680419921875,1
0,"[2687, 268]",834,1.41796875,0
0,"[2687, 268]",334,0.0245819091796875,1
0,"[2687, 268]",779,0.0328369140625,1
