Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[10, 14, 26, 29]",0,0.5672897696495056,0
0,"[10, 14, 26, 29]",1,1.1206915378570557,1
0,"[10, 14, 26, 29]",2,1.4038640260696411,0
0,"[10, 14, 26, 29]",3,0.24896787106990814,1
0,"[10, 14, 26, 29]",4,0.5919476747512817,1
0,"[10, 14, 26, 29]",5,1.3574947118759155,0
0,"[10, 14, 26, 29]",6,0.5885109901428223,1
0,"[10, 14, 26, 29]",7,0.5610140562057495,0
0,"[10, 14, 26, 29]",8,0.716403067111969,0
0,"[10, 14, 26, 29]",9,0.5244861841201782,1
0,"[10, 14, 26, 29]",11,1.3787100315093994,0
0,"[10, 14, 26, 29]",12,1.349180817604065,0
0,"[10, 14, 26, 29]",13,1.6929936408996582,0
0,"[10, 14, 26, 29]",15,0.9898101091384888,1
0,"[10, 14, 26, 29]",16,1.257142186164856,1
0,"[10, 14, 26, 29]",17,1.6259808540344238,0
0,"[10, 14, 26, 29]",18,1.621989130973816,0
0,"[10, 14, 26, 29]",19,2.2092723846435547,0
0,"[10, 14, 26, 29]",20,1.1372636556625366,1
0,"[10, 14, 26, 29]",21,1.0048433542251587,1
0,"[10, 14, 26, 29]",22,1.482844591140747,0
0,"[10, 14, 26, 29]",23,0.2734162509441376,1
0,"[10, 14, 26, 29]",24,2.175992012023926,0
0,"[10, 14, 26, 29]",25,0.5658499598503113,1
0,"[10, 14, 26, 29]",27,0.9016838073730469,1
0,"[10, 14, 26, 29]",28,0.9205881953239441,0
0,"[10, 14, 26, 29]",30,1.2243846654891968,1
0,"[10, 14, 26, 29]",31,1.204856038093567,1
1,"[27, 17, 3, 31]",0,0.5153237581253052,1
1,"[27, 17, 3, 31]",1,1.1428996324539185,0
1,"[27, 17, 3, 31]",2,1.1065956354141235,0
1,"[27, 17, 3, 31]",4,0.7113839387893677,1
1,"[27, 17, 3, 31]",5,1.0465283393859863,0
1,"[27, 17, 3, 31]",6,0.9065138697624207,0
1,"[27, 17, 3, 31]",7,0.7343749403953552,0
1,"[27, 17, 3, 31]",8,1.3525303602218628,0
1,"[27, 17, 3, 31]",9,0.6875709891319275,1
1,"[27, 17, 3, 31]",10,1.2844946384429932,0
1,"[27, 17, 3, 31]",11,1.04267418384552,1
1,"[27, 17, 3, 31]",12,1.1996335983276367,0
1,"[27, 17, 3, 31]",13,1.5817036628723145,0
1,"[27, 17, 3, 31]",14,0.3424091339111328,1
1,"[27, 17, 3, 31]",15,0.7728583216667175,1
1,"[27, 17, 3, 31]",16,1.412338376045227,0
1,"[27, 17, 3, 31]",18,1.2229747772216797,0
1,"[27, 17, 3, 31]",19,2.1227989196777344,0
1,"[27, 17, 3, 31]",20,0.7694374322891235,1
1,"[27, 17, 3, 31]",21,0.8385320901870728,1
1,"[27, 17, 3, 31]",22,1.1937706470489502,0
1,"[27, 17, 3, 31]",23,0.42812609672546387,1
1,"[27, 17, 3, 31]",24,1.9755038022994995,0
1,"[27, 17, 3, 31]",25,0.5787235498428345,1
1,"[27, 17, 3, 31]",26,0.6495580673217773,1
1,"[27, 17, 3, 31]",28,0.7532004714012146,0
1,"[27, 17, 3, 31]",29,1.5879418849945068,0
1,"[27, 17, 3, 31]",30,1.1700786352157593,1
2,"[26, 27, 12, 13]",0,0.5506765246391296,1
2,"[26, 27, 12, 13]",1,1.1528971195220947,0
2,"[26, 27, 12, 13]",2,1.3929939270019531,0
2,"[26, 27, 12, 13]",3,0.7263212203979492,1
2,"[26, 27, 12, 13]",4,0.9362197518348694,1
2,"[26, 27, 12, 13]",5,1.2603294849395752,1
2,"[26, 27, 12, 13]",6,0.9864778518676758,0
2,"[26, 27, 12, 13]",7,0.7347426414489746,0
2,"[26, 27, 12, 13]",8,1.2501038312911987,0
2,"[26, 27, 12, 13]",9,0.7551165223121643,1
2,"[26, 27, 12, 13]",10,1.4717673063278198,0
2,"[26, 27, 12, 13]",11,1.1207199096679688,0
2,"[26, 27, 12, 13]",14,0.4995390474796295,1
2,"[26, 27, 12, 13]",15,1.115960717201233,1
2,"[26, 27, 12, 13]",16,1.4675675630569458,1
2,"[26, 27, 12, 13]",17,1.5089526176452637,0
2,"[26, 27, 12, 13]",18,1.7360378503799438,0
2,"[26, 27, 12, 13]",19,2.3115360736846924,0
2,"[26, 27, 12, 13]",20,0.5399563908576965,1
2,"[26, 27, 12, 13]",21,0.739844560623169,1
2,"[26, 27, 12, 13]",22,1.0261130332946777,0
2,"[26, 27, 12, 13]",23,0.820983350276947,1
2,"[26, 27, 12, 13]",24,2.160947561264038,0
2,"[26, 27, 12, 13]",25,0.5079406499862671,1
2,"[26, 27, 12, 13]",28,0.6410983204841614,0
2,"[26, 27, 12, 13]",29,1.9204672574996948,0
2,"[26, 27, 12, 13]",30,1.0975674390792847,1
2,"[26, 27, 12, 13]",31,1.445590615272522,0
3,"[6, 1, 27, 3]",0,0.5098002552986145,1
3,"[6, 1, 27, 3]",2,1.3258748054504395,0
3,"[6, 1, 27, 3]",4,0.5001314282417297,1
3,"[6, 1, 27, 3]",5,1.1927952766418457,1
3,"[6, 1, 27, 3]",7,0.5510104298591614,0
3,"[6, 1, 27, 3]",8,1.011873483657837,0
3,"[6, 1, 27, 3]",9,0.6047342419624329,1
3,"[6, 1, 27, 3]",10,0.9106142520904541,0
3,"[6, 1, 27, 3]",11,1.0845555067062378,0
3,"[6, 1, 27, 3]",12,1.2637988328933716,0
3,"[6, 1, 27, 3]",13,1.7993831634521484,0
3,"[6, 1, 27, 3]",14,0.24474136531352997,1
3,"[6, 1, 27, 3]",15,0.9456944465637207,1
3,"[6, 1, 27, 3]",16,1.0010522603988647,1
3,"[6, 1, 27, 3]",17,1.3838882446289062,0
3,"[6, 1, 27, 3]",18,1.5172860622406006,0
3,"[6, 1, 27, 3]",19,2.1021676063537598,0
3,"[6, 1, 27, 3]",20,0.8653700351715088,1
3,"[6, 1, 27, 3]",21,0.8382683396339417,1
3,"[6, 1, 27, 3]",22,1.3225122690200806,0
3,"[6, 1, 27, 3]",23,0.3611830472946167,1
3,"[6, 1, 27, 3]",24,2.1084253787994385,0
3,"[6, 1, 27, 3]",25,0.6386021971702576,1
3,"[6, 1, 27, 3]",26,0.5617190003395081,1
3,"[6, 1, 27, 3]",28,0.8433148860931396,0
3,"[6, 1, 27, 3]",29,1.493539810180664,0
3,"[6, 1, 27, 3]",30,0.8375000357627869,1
