Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[43, 7, 54, 40]",0,0.343505859375,0
0,"[43, 7, 54, 40]",1,0.6904296875,0
0,"[43, 7, 54, 40]",2,0.47607421875,0
0,"[43, 7, 54, 40]",3,0.09930419921875,0
0,"[43, 7, 54, 40]",4,1.5810546875,1
0,"[43, 7, 54, 40]",5,0.2176513671875,0
0,"[43, 7, 54, 40]",6,1.12109375,0
0,"[43, 7, 54, 40]",8,0.24609375,0
0,"[43, 7, 54, 40]",9,0.583984375,0
0,"[43, 7, 54, 40]",10,0.305419921875,0
0,"[43, 7, 54, 40]",11,1.1845703125,0
0,"[43, 7, 54, 40]",12,1.181640625,0
0,"[43, 7, 54, 40]",13,0.491455078125,0
0,"[43, 7, 54, 40]",14,0.1512451171875,1
0,"[43, 7, 54, 40]",15,0.299072265625,0
0,"[43, 7, 54, 40]",16,0.1336669921875,1
0,"[43, 7, 54, 40]",17,0.136962890625,1
0,"[43, 7, 54, 40]",18,0.130615234375,1
0,"[43, 7, 54, 40]",19,0.2685546875,0
0,"[43, 7, 54, 40]",20,0.300048828125,0
0,"[43, 7, 54, 40]",21,0.401123046875,0
0,"[43, 7, 54, 40]",22,0.384765625,0
0,"[43, 7, 54, 40]",23,0.08294677734375,1
0,"[43, 7, 54, 40]",24,2.373046875,0
0,"[43, 7, 54, 40]",25,2.017578125,0
0,"[43, 7, 54, 40]",26,0.1444091796875,1
0,"[43, 7, 54, 40]",27,0.245849609375,0
0,"[43, 7, 54, 40]",28,0.417236328125,0
0,"[43, 7, 54, 40]",29,0.12091064453125,1
0,"[43, 7, 54, 40]",30,0.7548828125,0
0,"[43, 7, 54, 40]",31,0.406982421875,0
0,"[43, 7, 54, 40]",32,0.379150390625,0
0,"[43, 7, 54, 40]",33,0.401611328125,0
0,"[43, 7, 54, 40]",34,0.86767578125,0
0,"[43, 7, 54, 40]",35,0.58642578125,0
0,"[43, 7, 54, 40]",36,1.259765625,0
0,"[43, 7, 54, 40]",37,0.74853515625,1
0,"[43, 7, 54, 40]",38,0.74853515625,0
0,"[43, 7, 54, 40]",39,0.01053619384765625,0
0,"[43, 7, 54, 40]",41,0.33349609375,0
0,"[43, 7, 54, 40]",42,0.1197509765625,1
0,"[43, 7, 54, 40]",44,1.1640625,0
0,"[43, 7, 54, 40]",45,0.787109375,1
0,"[43, 7, 54, 40]",46,0.172607421875,0
0,"[43, 7, 54, 40]",47,0.65673828125,0
0,"[43, 7, 54, 40]",48,1.17578125,1
0,"[43, 7, 54, 40]",49,0.333984375,0
0,"[43, 7, 54, 40]",50,0.267333984375,0
0,"[43, 7, 54, 40]",51,0.2724609375,1
0,"[43, 7, 54, 40]",52,1.7451171875,0
0,"[43, 7, 54, 40]",53,1.5517578125,1
0,"[43, 7, 54, 40]",55,1.9765625,0
0,"[43, 7, 54, 40]",56,0.11260986328125,1
0,"[43, 7, 54, 40]",57,0.068115234375,1
0,"[43, 7, 54, 40]",58,1.548828125,0
0,"[43, 7, 54, 40]",59,0.00733184814453125,1
1,"[14, 38, 50, 9]",0,0.3154296875,0
1,"[14, 38, 50, 9]",1,0.671875,0
1,"[14, 38, 50, 9]",2,0.31689453125,0
1,"[14, 38, 50, 9]",3,0.1612548828125,0
1,"[14, 38, 50, 9]",4,0.119873046875,1
1,"[14, 38, 50, 9]",5,0.231201171875,0
1,"[14, 38, 50, 9]",6,0.509765625,0
1,"[14, 38, 50, 9]",7,0.51953125,0
1,"[14, 38, 50, 9]",8,0.1566162109375,1
1,"[14, 38, 50, 9]",10,0.09088134765625,1
1,"[14, 38, 50, 9]",11,0.14013671875,1
1,"[14, 38, 50, 9]",12,0.1502685546875,1
1,"[14, 38, 50, 9]",13,0.57470703125,0
1,"[14, 38, 50, 9]",15,0.34619140625,0
1,"[14, 38, 50, 9]",16,0.13330078125,1
1,"[14, 38, 50, 9]",17,0.135498046875,1
1,"[14, 38, 50, 9]",18,0.125732421875,1
1,"[14, 38, 50, 9]",19,0.277099609375,0
1,"[14, 38, 50, 9]",20,0.125,1
1,"[14, 38, 50, 9]",21,0.393310546875,0
