Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
134,"[87, 1549, 1059, 1201]",15,0.3269505500793457,1
134,"[87, 1549, 1059, 1201]",2431,0.31661418080329895,1
134,"[87, 1549, 1059, 1201]",1713,0.47540679574012756,0
134,"[87, 1549, 1059, 1201]",2671,0.34656205773353577,1
134,"[87, 1549, 1059, 1201]",825,0.22823576629161835,1
134,"[87, 1549, 1059, 1201]",1327,0.22009585797786713,1
134,"[87, 1549, 1059, 1201]",230,0.28284355998039246,1
134,"[87, 1549, 1059, 1201]",1920,0.31453225016593933,1
134,"[87, 1549, 1059, 1201]",2202,0.3095531165599823,1
134,"[87, 1549, 1059, 1201]",1618,0.1902972161769867,1
134,"[87, 1549, 1059, 1201]",2087,0.24624525010585785,1
134,"[87, 1549, 1059, 1201]",1184,0.24373264610767365,1
134,"[87, 1549, 1059, 1201]",1475,0.4077138304710388,0
134,"[87, 1549, 1059, 1201]",688,0.22050724923610687,1
134,"[87, 1549, 1059, 1201]",2752,0.2542881369590759,1
134,"[87, 1549, 1059, 1201]",1246,0.2988505959510803,1
134,"[87, 1549, 1059, 1201]",343,0.3733259439468384,0
134,"[87, 1549, 1059, 1201]",100,0.4713248312473297,0
134,"[87, 1549, 1059, 1201]",2776,0.2586188018321991,1
134,"[87, 1549, 1059, 1201]",1131,0.2348921298980713,1
134,"[87, 1549, 1059, 1201]",1217,0.16764812171459198,1
134,"[87, 1549, 1059, 1201]",1333,0.41660118103027344,0
134,"[87, 1549, 1059, 1201]",1717,0.46973365545272827,0
134,"[87, 1549, 1059, 1201]",2824,0.2675590515136719,1
134,"[87, 1549, 1059, 1201]",92,0.12824875116348267,1
134,"[87, 1549, 1059, 1201]",191,0.48179036378860474,0
134,"[87, 1549, 1059, 1201]",1256,0.2865992486476898,1
134,"[87, 1549, 1059, 1201]",1539,0.28687453269958496,1
134,"[87, 1549, 1059, 1201]",2376,0.22709272801876068,1
134,"[87, 1549, 1059, 1201]",1795,0.27824023365974426,1
134,"[87, 1549, 1059, 1201]",943,0.5182205438613892,0
134,"[87, 1549, 1059, 1201]",2692,0.1985100507736206,1
134,"[87, 1549, 1059, 1201]",221,0.6179234385490417,0
134,"[87, 1549, 1059, 1201]",155,0.48646822571754456,0
134,"[87, 1549, 1059, 1201]",2426,0.3438462018966675,1
134,"[87, 1549, 1059, 1201]",1106,0.2848654091358185,1
134,"[87, 1549, 1059, 1201]",1150,0.26566240191459656,1
134,"[87, 1549, 1059, 1201]",2660,0.4157502055168152,0
134,"[87, 1549, 1059, 1201]",1536,0.2603682279586792,1
134,"[87, 1549, 1059, 1201]",1401,0.4577280580997467,0
134,"[87, 1549, 1059, 1201]",70,0.23031915724277496,1
134,"[87, 1549, 1059, 1201]",1341,0.31266722083091736,1
134,"[87, 1549, 1059, 1201]",2600,0.22637896239757538,1
134,"[87, 1549, 1059, 1201]",756,0.45932599902153015,0
134,"[87, 1549, 1059, 1201]",2433,0.2990749478340149,1
134,"[87, 1549, 1059, 1201]",2020,0.37971261143684387,0
134,"[87, 1549, 1059, 1201]",1048,0.5938685536384583,0
134,"[87, 1549, 1059, 1201]",1909,0.28181192278862,1
134,"[87, 1549, 1059, 1201]",709,0.3014516830444336,1
134,"[87, 1549, 1059, 1201]",2286,0.16904273629188538,1
134,"[87, 1549, 1059, 1201]",2594,0.20992286503314972,1
134,"[87, 1549, 1059, 1201]",476,0.4917033314704895,0
134,"[87, 1549, 1059, 1201]",1467,0.32661017775535583,1
134,"[87, 1549, 1059, 1201]",2841,0.5402678847312927,0
134,"[87, 1549, 1059, 1201]",1868,0.5208524465560913,0
134,"[87, 1549, 1059, 1201]",907,0.5027377009391785,0
134,"[87, 1549, 1059, 1201]",1392,0.24729014933109283,1
134,"[87, 1549, 1059, 1201]",2729,0.1669132113456726,1
134,"[87, 1549, 1059, 1201]",2143,0.44140973687171936,0
134,"[87, 1549, 1059, 1201]",2436,0.32996633648872375,1
134,"[87, 1549, 1059, 1201]",495,0.3519256114959717,1
134,"[87, 1549, 1059, 1201]",2238,0.49862417578697205,0
134,"[87, 1549, 1059, 1201]",2605,0.6755737662315369,0
134,"[87, 1549, 1059, 1201]",2327,0.4236738383769989,0
134,"[87, 1549, 1059, 1201]",1756,0.2855452597141266,1
134,"[87, 1549, 1059, 1201]",823,0.18673595786094666,1
134,"[87, 1549, 1059, 1201]",95,0.440848708152771,0
134,"[87, 1549, 1059, 1201]",1018,0.39385977387428284,0
134,"[87, 1549, 1059, 1201]",2254,0.4085727035999298,0
134,"[87, 1549, 1059, 1201]",2288,0.24337588250637054,1
134,"[87, 1549, 1059, 1201]",2308,0.21157601475715637,1
134,"[87, 1549, 1059, 1201]",701,0.2981657087802887,1
134,"[87, 1549, 1059, 1201]",1076,0.25733789801597595,1
134,"[87, 1549, 1059, 1201]",1928,0.3399549126625061,1
134,"[87, 1549, 1059, 1201]",1708,0.2914017140865326,1
134,"[87, 1549, 1059, 1201]",1871,0.46961161494255066,0
134,"[87, 1549, 1059, 1201]",797,0.3222792148590088,1
134,"[87, 1549, 1059, 1201]",815,0.5435224771499634,0
134,"[87, 1549, 1059, 1201]",169,0.24342675507068634,1
134,"[87, 1549, 1059, 1201]",2298,0.43036535382270813,0
134,"[87, 1549, 1059, 1201]",1501,0.5238186120986938,0
134,"[87, 1549, 1059, 1201]",1806,0.2894729971885681,1
134,"[87, 1549, 1059, 1201]",2417,0.4880541265010834,0
134,"[87, 1549, 1059, 1201]",285,0.2906668186187744,1
134,"[87, 1549, 1059, 1201]",992,0.436336487531662,0
134,"[87, 1549, 1059, 1201]",2317,0.49322909116744995,0
134,"[87, 1549, 1059, 1201]",780,0.5154585242271423,0
134,"[87, 1549, 1059, 1201]",208,0.18071328103542328,1
134,"[87, 1549, 1059, 1201]",2162,0.22535471618175507,1
134,"[87, 1549, 1059, 1201]",1135,0.5367191433906555,0
134,"[87, 1549, 1059, 1201]",708,0.3244626522064209,1
134,"[87, 1549, 1059, 1201]",2383,0.3241521120071411,1
134,"[87, 1549, 1059, 1201]",1262,0.22932593524456024,1
134,"[87, 1549, 1059, 1201]",714,0.40553018450737,0
134,"[87, 1549, 1059, 1201]",2381,0.3963277339935303,0
134,"[87, 1549, 1059, 1201]",631,0.3347678482532501,1
134,"[87, 1549, 1059, 1201]",61,0.4428110420703888,0
134,"[87, 1549, 1059, 1201]",678,0.20949457585811615,1
134,"[87, 1549, 1059, 1201]",389,0.5032729506492615,0
134,"[87, 1549, 1059, 1201]",1025,0.45323702692985535,0
134,"[87, 1549, 1059, 1201]",1680,0.3890253007411957,0
134,"[87, 1549, 1059, 1201]",1194,0.23953811824321747,1
134,"[87, 1549, 1059, 1201]",2749,0.49548643827438354,0
134,"[87, 1549, 1059, 1201]",1997,0.440676748752594,0
134,"[87, 1549, 1059, 1201]",1187,0.41436177492141724,0
134,"[87, 1549, 1059, 1201]",1261,0.2889736592769623,1
134,"[87, 1549, 1059, 1201]",2209,0.4283442497253418,0
134,"[87, 1549, 1059, 1201]",2638,0.8332307934761047,0
134,"[87, 1549, 1059, 1201]",1008,0.41193529963493347,0
134,"[87, 1549, 1059, 1201]",2289,0.24144649505615234,1
134,"[87, 1549, 1059, 1201]",1678,0.41869020462036133,0
134,"[87, 1549, 1059, 1201]",1692,0.404998242855072,0
134,"[87, 1549, 1059, 1201]",2536,0.09759633243083954,1
134,"[87, 1549, 1059, 1201]",46,0.2617492377758026,1
134,"[87, 1549, 1059, 1201]",685,0.5099970102310181,0
134,"[87, 1549, 1059, 1201]",574,0.2317141592502594,1
134,"[87, 1549, 1059, 1201]",2581,0.2525235414505005,1
134,"[87, 1549, 1059, 1201]",187,0.19192248582839966,1
134,"[87, 1549, 1059, 1201]",1785,0.2711507976055145,1
134,"[87, 1549, 1059, 1201]",1532,0.256981760263443,1
134,"[87, 1549, 1059, 1201]",1425,0.2701663374900818,1
134,"[87, 1549, 1059, 1201]",1934,0.27714505791664124,1
134,"[87, 1549, 1059, 1201]",446,0.35827872157096863,0
134,"[87, 1549, 1059, 1201]",1390,0.3021371066570282,1
134,"[87, 1549, 1059, 1201]",2854,0.21443718671798706,1
134,"[87, 1549, 1059, 1201]",1982,0.26265254616737366,1
134,"[87, 1549, 1059, 1201]",1505,0.5981961488723755,0
134,"[87, 1549, 1059, 1201]",2214,0.3083755671977997,1
134,"[87, 1549, 1059, 1201]",2805,0.49825021624565125,0
134,"[87, 1549, 1059, 1201]",987,0.2809734642505646,1
134,"[87, 1549, 1059, 1201]",1111,0.20432765781879425,1
134,"[87, 1549, 1059, 1201]",571,0.25943130254745483,1
134,"[87, 1549, 1059, 1201]",2364,0.22848540544509888,1
134,"[87, 1549, 1059, 1201]",802,0.26101356744766235,1
134,"[87, 1549, 1059, 1201]",915,0.4715041220188141,0
134,"[87, 1549, 1059, 1201]",801,0.32661688327789307,1
134,"[87, 1549, 1059, 1201]",600,0.4774493873119354,0
134,"[87, 1549, 1059, 1201]",1500,0.44859832525253296,0
134,"[87, 1549, 1059, 1201]",2237,0.4471612274646759,0
134,"[87, 1549, 1059, 1201]",1671,0.5857548713684082,0
134,"[87, 1549, 1059, 1201]",1380,0.31340160965919495,1
134,"[87, 1549, 1059, 1201]",2525,0.5265048742294312,0
134,"[87, 1549, 1059, 1201]",834,0.22569650411605835,1
134,"[87, 1549, 1059, 1201]",334,0.5644143223762512,0
134,"[87, 1549, 1059, 1201]",779,0.5413690805435181,0
134,"[87, 1549, 1059, 1201]",1023,0.5130196213722229,0
134,"[87, 1549, 1059, 1201]",2093,0.5787127017974854,0
134,"[87, 1549, 1059, 1201]",413,0.5549436211585999,0
134,"[87, 1549, 1059, 1201]",1810,0.5206718444824219,0
134,"[87, 1549, 1059, 1201]",212,0.396199494600296,0
134,"[87, 1549, 1059, 1201]",1129,0.21315105259418488,1
134,"[87, 1549, 1059, 1201]",74,0.46391594409942627,0
134,"[87, 1549, 1059, 1201]",2018,0.2700202763080597,1
134,"[87, 1549, 1059, 1201]",2095,0.5713139772415161,0
134,"[87, 1549, 1059, 1201]",1842,0.2403806895017624,1
134,"[87, 1549, 1059, 1201]",1297,0.48826852440834045,0
134,"[87, 1549, 1059, 1201]",2089,0.21900074183940887,1
134,"[87, 1549, 1059, 1201]",216,0.261367529630661,1
134,"[87, 1549, 1059, 1201]",1599,0.6609729528427124,0
134,"[87, 1549, 1059, 1201]",40,0.562158465385437,0
134,"[87, 1549, 1059, 1201]",1507,0.2704439163208008,1
134,"[87, 1549, 1059, 1201]",2556,0.26699861884117126,1
134,"[87, 1549, 1059, 1201]",1167,0.24707908928394318,1
134,"[87, 1549, 1059, 1201]",2405,0.30295535922050476,1
134,"[87, 1549, 1059, 1201]",401,0.9663798809051514,0
134,"[87, 1549, 1059, 1201]",1051,0.1517167091369629,1
134,"[87, 1549, 1059, 1201]",1712,0.47937676310539246,0
134,"[87, 1549, 1059, 1201]",2094,0.5804817080497742,0
134,"[87, 1549, 1059, 1201]",833,0.19078730046749115,1
134,"[87, 1549, 1059, 1201]",2170,0.24517397582530975,1
134,"[87, 1549, 1059, 1201]",1642,0.4185900092124939,0
134,"[87, 1549, 1059, 1201]",612,0.8348409533500671,0
134,"[87, 1549, 1059, 1201]",2150,0.2757728099822998,1
134,"[87, 1549, 1059, 1201]",2829,0.49010375142097473,0
134,"[87, 1549, 1059, 1201]",1128,0.5380086898803711,0
134,"[87, 1549, 1059, 1201]",1494,0.37630927562713623,0
134,"[87, 1549, 1059, 1201]",2584,0.5068590641021729,0
134,"[87, 1549, 1059, 1201]",2543,0.32993483543395996,1
134,"[87, 1549, 1059, 1201]",2772,0.5374152064323425,0
134,"[87, 1549, 1059, 1201]",1801,0.7247739434242249,0
134,"[87, 1549, 1059, 1201]",2483,0.3253832459449768,1
134,"[87, 1549, 1059, 1201]",542,0.4648953974246979,0
134,"[87, 1549, 1059, 1201]",1324,0.3918754458427429,0
134,"[87, 1549, 1059, 1201]",546,0.2618119716644287,1
134,"[87, 1549, 1059, 1201]",172,0.2733687162399292,1
134,"[87, 1549, 1059, 1201]",1699,0.3130475580692291,1
134,"[87, 1549, 1059, 1201]",2304,0.19220681488513947,1
134,"[87, 1549, 1059, 1201]",2014,0.42162764072418213,0
134,"[87, 1549, 1059, 1201]",614,0.34736523032188416,1
134,"[87, 1549, 1059, 1201]",2179,0.2571689486503601,1
134,"[87, 1549, 1059, 1201]",1820,0.4919585883617401,0
134,"[87, 1549, 1059, 1201]",648,0.5850112438201904,0
134,"[87, 1549, 1059, 1201]",224,0.5766043066978455,0
134,"[87, 1549, 1059, 1201]",2658,0.2635193169116974,1
134,"[87, 1549, 1059, 1201]",2555,0.3943120539188385,0
134,"[87, 1549, 1059, 1201]",1428,0.44448456168174744,0
134,"[87, 1549, 1059, 1201]",425,0.5661531090736389,0
134,"[87, 1549, 1059, 1201]",2136,0.4474599361419678,0
134,"[87, 1549, 1059, 1201]",111,0.21936249732971191,1
134,"[87, 1549, 1059, 1201]",579,0.6723206639289856,0
0,"[1755, 1363, 2742, 80]",15,0.16407299041748047,1
0,"[1755, 1363, 2742, 80]",2431,0.16765089333057404,1
0,"[1755, 1363, 2742, 80]",1713,0.7549334764480591,0
0,"[1755, 1363, 2742, 80]",2671,0.1686915010213852,1
0,"[1755, 1363, 2742, 80]",825,0.1393880844116211,1
0,"[1755, 1363, 2742, 80]",1327,0.10419657826423645,1
0,"[1755, 1363, 2742, 80]",230,0.13213928043842316,1
0,"[1755, 1363, 2742, 80]",1920,0.16078056395053864,1
0,"[1755, 1363, 2742, 80]",2202,0.14784429967403412,1
0,"[1755, 1363, 2742, 80]",1618,0.13313785195350647,1
0,"[1755, 1363, 2742, 80]",2087,0.15168219804763794,1
0,"[1755, 1363, 2742, 80]",1184,0.116947703063488,1
0,"[1755, 1363, 2742, 80]",1475,0.6449283957481384,0
0,"[1755, 1363, 2742, 80]",688,0.14741048216819763,1
0,"[1755, 1363, 2742, 80]",2752,0.08796318620443344,1
0,"[1755, 1363, 2742, 80]",1246,0.17661865055561066,1
0,"[1755, 1363, 2742, 80]",343,0.8136803507804871,0
0,"[1755, 1363, 2742, 80]",100,0.7392022013664246,0
0,"[1755, 1363, 2742, 80]",2776,0.1507667899131775,1
0,"[1755, 1363, 2742, 80]",1131,0.1347251981496811,1
0,"[1755, 1363, 2742, 80]",1217,0.11472754180431366,1
0,"[1755, 1363, 2742, 80]",1333,0.16935768723487854,1
0,"[1755, 1363, 2742, 80]",1717,0.7244789600372314,0
0,"[1755, 1363, 2742, 80]",2824,0.13241903483867645,1
0,"[1755, 1363, 2742, 80]",92,0.15109118819236755,1
0,"[1755, 1363, 2742, 80]",191,0.7349108457565308,0
0,"[1755, 1363, 2742, 80]",1256,0.1557578295469284,1
0,"[1755, 1363, 2742, 80]",1539,0.15684452652931213,1
0,"[1755, 1363, 2742, 80]",2376,0.13415871560573578,1
0,"[1755, 1363, 2742, 80]",1795,0.1663028448820114,1
0,"[1755, 1363, 2742, 80]",943,0.7812519073486328,0
0,"[1755, 1363, 2742, 80]",2692,0.12862767279148102,1
0,"[1755, 1363, 2742, 80]",221,0.8529216051101685,0
0,"[1755, 1363, 2742, 80]",155,0.8085423707962036,0
0,"[1755, 1363, 2742, 80]",2426,0.1752336621284485,1
0,"[1755, 1363, 2742, 80]",1106,0.14467912912368774,1
0,"[1755, 1363, 2742, 80]",1150,0.16363926231861115,1
0,"[1755, 1363, 2742, 80]",2660,0.6949571371078491,0
0,"[1755, 1363, 2742, 80]",1536,0.1372116506099701,1
0,"[1755, 1363, 2742, 80]",1401,0.6996378898620605,0
0,"[1755, 1363, 2742, 80]",70,0.1255807876586914,1
0,"[1755, 1363, 2742, 80]",1341,0.20361842215061188,1
0,"[1755, 1363, 2742, 80]",2600,0.12387613952159882,1
0,"[1755, 1363, 2742, 80]",756,0.8000254034996033,0
0,"[1755, 1363, 2742, 80]",2433,0.1668224334716797,1
0,"[1755, 1363, 2742, 80]",2020,0.6569175124168396,0
0,"[1755, 1363, 2742, 80]",1048,0.7589539885520935,0
0,"[1755, 1363, 2742, 80]",1909,0.16091613471508026,1
0,"[1755, 1363, 2742, 80]",709,0.16725613176822662,1
0,"[1755, 1363, 2742, 80]",2286,0.10899487882852554,1
0,"[1755, 1363, 2742, 80]",2594,0.10464422404766083,1
0,"[1755, 1363, 2742, 80]",476,0.840528130531311,0
0,"[1755, 1363, 2742, 80]",1467,0.17120079696178436,1
0,"[1755, 1363, 2742, 80]",2841,0.8591398596763611,0
0,"[1755, 1363, 2742, 80]",1868,0.7518692016601562,0
0,"[1755, 1363, 2742, 80]",907,0.8662165999412537,0
0,"[1755, 1363, 2742, 80]",1392,0.14607423543930054,1
0,"[1755, 1363, 2742, 80]",2729,0.08914942294359207,1
0,"[1755, 1363, 2742, 80]",2143,0.7191126346588135,0
0,"[1755, 1363, 2742, 80]",2436,0.16226103901863098,1
0,"[1755, 1363, 2742, 80]",495,0.17899899184703827,1
0,"[1755, 1363, 2742, 80]",2238,0.7640970945358276,0
0,"[1755, 1363, 2742, 80]",2605,1.0037872791290283,0
0,"[1755, 1363, 2742, 80]",2327,0.7424010038375854,0
0,"[1755, 1363, 2742, 80]",1756,0.16623114049434662,1
0,"[1755, 1363, 2742, 80]",823,0.12217164039611816,1
0,"[1755, 1363, 2742, 80]",95,0.7576408982276917,0
0,"[1755, 1363, 2742, 80]",1018,0.6879847049713135,0
0,"[1755, 1363, 2742, 80]",2254,0.7326508164405823,0
0,"[1755, 1363, 2742, 80]",2288,0.13098569214344025,1
0,"[1755, 1363, 2742, 80]",2308,0.12909255921840668,1
0,"[1755, 1363, 2742, 80]",701,0.17541426420211792,1
0,"[1755, 1363, 2742, 80]",1076,0.14882013201713562,1
0,"[1755, 1363, 2742, 80]",1928,0.16410286724567413,1
0,"[1755, 1363, 2742, 80]",1708,0.15909422934055328,1
0,"[1755, 1363, 2742, 80]",1871,0.6946621537208557,0
0,"[1755, 1363, 2742, 80]",797,0.15805773437023163,1
0,"[1755, 1363, 2742, 80]",815,0.8472037315368652,0
0,"[1755, 1363, 2742, 80]",169,0.12599614262580872,1
0,"[1755, 1363, 2742, 80]",2298,0.7275288105010986,0
0,"[1755, 1363, 2742, 80]",1501,0.7533857822418213,0
0,"[1755, 1363, 2742, 80]",1806,0.17182357609272003,1
0,"[1755, 1363, 2742, 80]",2417,0.7113743424415588,0
0,"[1755, 1363, 2742, 80]",285,0.17108482122421265,1
0,"[1755, 1363, 2742, 80]",992,0.7704251408576965,0
0,"[1755, 1363, 2742, 80]",2317,0.7534546852111816,0
0,"[1755, 1363, 2742, 80]",780,0.7703270316123962,0
0,"[1755, 1363, 2742, 80]",208,0.10437927395105362,1
0,"[1755, 1363, 2742, 80]",2162,0.1353144645690918,1
0,"[1755, 1363, 2742, 80]",1135,0.801980197429657,0
0,"[1755, 1363, 2742, 80]",708,0.17245741188526154,1
0,"[1755, 1363, 2742, 80]",2383,0.14882734417915344,1
0,"[1755, 1363, 2742, 80]",1262,0.13902533054351807,1
0,"[1755, 1363, 2742, 80]",714,0.6406458616256714,0
0,"[1755, 1363, 2742, 80]",2381,0.6809683442115784,0
0,"[1755, 1363, 2742, 80]",631,0.5972904562950134,0
0,"[1755, 1363, 2742, 80]",61,0.1787523776292801,1
0,"[1755, 1363, 2742, 80]",678,0.15051959455013275,1
0,"[1755, 1363, 2742, 80]",389,0.827604353427887,0
0,"[1755, 1363, 2742, 80]",1025,0.7285094857215881,0
0,"[1755, 1363, 2742, 80]",1680,0.7243170738220215,0
0,"[1755, 1363, 2742, 80]",1194,0.11939932405948639,1
0,"[1755, 1363, 2742, 80]",2749,0.967548668384552,0
0,"[1755, 1363, 2742, 80]",1997,0.6923370361328125,0
0,"[1755, 1363, 2742, 80]",1187,0.7461230754852295,0
0,"[1755, 1363, 2742, 80]",1261,0.16445600986480713,1
0,"[1755, 1363, 2742, 80]",2209,0.17368152737617493,1
0,"[1755, 1363, 2742, 80]",2638,0.9620826840400696,0
0,"[1755, 1363, 2742, 80]",1008,0.7354018092155457,0
0,"[1755, 1363, 2742, 80]",2289,0.140001118183136,1
0,"[1755, 1363, 2742, 80]",1678,0.6690399646759033,0
0,"[1755, 1363, 2742, 80]",1692,0.7284530401229858,0
0,"[1755, 1363, 2742, 80]",2536,0.09011153876781464,1
0,"[1755, 1363, 2742, 80]",46,0.15341314673423767,1
0,"[1755, 1363, 2742, 80]",685,0.6865130662918091,0
0,"[1755, 1363, 2742, 80]",574,0.1403983235359192,1
0,"[1755, 1363, 2742, 80]",2581,0.16072283685207367,1
0,"[1755, 1363, 2742, 80]",187,0.12077011168003082,1
0,"[1755, 1363, 2742, 80]",1785,0.15272362530231476,1
0,"[1755, 1363, 2742, 80]",1532,0.13453041017055511,1
0,"[1755, 1363, 2742, 80]",1425,0.17615266144275665,1
0,"[1755, 1363, 2742, 80]",1934,0.14482557773590088,1
0,"[1755, 1363, 2742, 80]",446,0.6463427543640137,0
0,"[1755, 1363, 2742, 80]",1390,0.16402941942214966,1
0,"[1755, 1363, 2742, 80]",2854,0.10792353004217148,1
0,"[1755, 1363, 2742, 80]",1982,0.13803258538246155,1
0,"[1755, 1363, 2742, 80]",1505,0.7668132185935974,0
0,"[1755, 1363, 2742, 80]",2214,0.1410454660654068,1
0,"[1755, 1363, 2742, 80]",2805,0.7950536608695984,0
0,"[1755, 1363, 2742, 80]",987,0.1645296812057495,1
0,"[1755, 1363, 2742, 80]",1111,0.11696989089250565,1
0,"[1755, 1363, 2742, 80]",571,0.14830198884010315,1
0,"[1755, 1363, 2742, 80]",2364,0.12489720433950424,1
0,"[1755, 1363, 2742, 80]",802,0.14238573610782623,1
0,"[1755, 1363, 2742, 80]",915,0.8274067640304565,0
0,"[1755, 1363, 2742, 80]",801,0.16043606400489807,1
0,"[1755, 1363, 2742, 80]",600,0.7232880592346191,0
0,"[1755, 1363, 2742, 80]",1500,0.6634193062782288,0
0,"[1755, 1363, 2742, 80]",2237,0.7006212472915649,0
0,"[1755, 1363, 2742, 80]",1671,0.9064346551895142,0
0,"[1755, 1363, 2742, 80]",1380,0.1498660147190094,1
0,"[1755, 1363, 2742, 80]",2525,0.8949108123779297,0
0,"[1755, 1363, 2742, 80]",834,0.13992878794670105,1
0,"[1755, 1363, 2742, 80]",334,0.8594306111335754,0
0,"[1755, 1363, 2742, 80]",779,0.8087634444236755,0
0,"[1755, 1363, 2742, 80]",1023,0.7595489025115967,0
0,"[1755, 1363, 2742, 80]",2093,0.7369291186332703,0
0,"[1755, 1363, 2742, 80]",413,0.9371410608291626,0
0,"[1755, 1363, 2742, 80]",1810,0.8520309925079346,0
0,"[1755, 1363, 2742, 80]",212,0.7276828289031982,0
0,"[1755, 1363, 2742, 80]",1129,0.11483839154243469,1
0,"[1755, 1363, 2742, 80]",74,0.7345765829086304,0
0,"[1755, 1363, 2742, 80]",2018,0.15004119277000427,1
0,"[1755, 1363, 2742, 80]",2095,0.7308151125907898,0
0,"[1755, 1363, 2742, 80]",1842,0.1352490335702896,1
0,"[1755, 1363, 2742, 80]",1297,0.7584168314933777,0
0,"[1755, 1363, 2742, 80]",2089,0.14027518033981323,1
0,"[1755, 1363, 2742, 80]",216,0.1274905651807785,1
0,"[1755, 1363, 2742, 80]",1599,0.9240089654922485,0
0,"[1755, 1363, 2742, 80]",40,0.7955699563026428,0
0,"[1755, 1363, 2742, 80]",1507,0.14112479984760284,1
0,"[1755, 1363, 2742, 80]",2556,0.15176983177661896,1
0,"[1755, 1363, 2742, 80]",1167,0.13818736374378204,1
0,"[1755, 1363, 2742, 80]",2405,0.1347299963235855,1
0,"[1755, 1363, 2742, 80]",401,0.9555294513702393,0
0,"[1755, 1363, 2742, 80]",1051,0.1556866317987442,1
0,"[1755, 1363, 2742, 80]",1712,0.7836998105049133,0
0,"[1755, 1363, 2742, 80]",2094,0.7370749711990356,0
0,"[1755, 1363, 2742, 80]",833,0.12770864367485046,1
0,"[1755, 1363, 2742, 80]",2170,0.13342879712581635,1
0,"[1755, 1363, 2742, 80]",1642,0.7274013757705688,0
0,"[1755, 1363, 2742, 80]",612,0.9789902567863464,0
0,"[1755, 1363, 2742, 80]",2150,0.13910144567489624,1
0,"[1755, 1363, 2742, 80]",2829,0.7465288043022156,0
0,"[1755, 1363, 2742, 80]",1128,0.87794029712677,0
0,"[1755, 1363, 2742, 80]",1494,0.6240105032920837,0
0,"[1755, 1363, 2742, 80]",2584,0.8579686284065247,0
0,"[1755, 1363, 2742, 80]",2543,0.1499500572681427,1
0,"[1755, 1363, 2742, 80]",2772,0.8480613827705383,0
0,"[1755, 1363, 2742, 80]",1801,0.977471113204956,0
0,"[1755, 1363, 2742, 80]",2483,0.15525133907794952,1
0,"[1755, 1363, 2742, 80]",542,0.7782852053642273,0
0,"[1755, 1363, 2742, 80]",1324,0.6915407180786133,0
0,"[1755, 1363, 2742, 80]",546,0.13539724051952362,1
0,"[1755, 1363, 2742, 80]",172,0.1357216238975525,1
0,"[1755, 1363, 2742, 80]",1699,0.1381250023841858,1
0,"[1755, 1363, 2742, 80]",2304,0.10744557529687881,1
0,"[1755, 1363, 2742, 80]",2014,0.6923498511314392,0
0,"[1755, 1363, 2742, 80]",614,0.16676954925060272,1
0,"[1755, 1363, 2742, 80]",2179,0.14180341362953186,1
0,"[1755, 1363, 2742, 80]",1820,0.795129656791687,0
0,"[1755, 1363, 2742, 80]",648,0.8522486686706543,0
0,"[1755, 1363, 2742, 80]",224,0.8143430352210999,0
0,"[1755, 1363, 2742, 80]",2658,0.11984959244728088,1
0,"[1755, 1363, 2742, 80]",2555,0.17895948886871338,1
0,"[1755, 1363, 2742, 80]",1428,0.7588258981704712,0
0,"[1755, 1363, 2742, 80]",425,0.807325005531311,0
0,"[1755, 1363, 2742, 80]",2136,0.6741952300071716,0
0,"[1755, 1363, 2742, 80]",111,0.12887130677700043,1
0,"[1755, 1363, 2742, 80]",579,0.7638893127441406,0
1,"[310, 188, 1037, 1088]",15,0.29157257080078125,1
1,"[310, 188, 1037, 1088]",2431,0.2705576717853546,1
1,"[310, 188, 1037, 1088]",1713,0.5056783556938171,0
1,"[310, 188, 1037, 1088]",2671,0.2637968957424164,1
1,"[310, 188, 1037, 1088]",825,0.3082658350467682,1
1,"[310, 188, 1037, 1088]",1327,0.1982182115316391,1
1,"[310, 188, 1037, 1088]",230,0.2662235200405121,1
1,"[310, 188, 1037, 1088]",1920,0.3204302489757538,1
1,"[310, 188, 1037, 1088]",2202,0.3078117072582245,1
1,"[310, 188, 1037, 1088]",1618,0.21081264317035675,1
