Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
57,[1685],15,0.251220703125,1
57,[1685],2431,0.180908203125,1
57,[1685],1713,1.689453125,0
57,[1685],2671,0.1422119140625,1
57,[1685],825,0.1788330078125,1
57,[1685],1327,0.12353515625,1
57,[1685],230,0.1666259765625,1
57,[1685],1920,0.280029296875,1
57,[1685],2202,0.202880859375,1
57,[1685],1618,0.213134765625,1
57,[1685],2087,0.213623046875,1
57,[1685],1184,0.1385498046875,1
57,[1685],1475,0.96337890625,0
57,[1685],688,0.14697265625,1
57,[1685],2752,0.11383056640625,1
57,[1685],1246,0.1845703125,1
57,[1685],343,1.169921875,0
57,[1685],100,0.82958984375,0
57,[1685],2776,0.1866455078125,1
57,[1685],1131,0.1708984375,1
57,[1685],1217,0.1063232421875,1
57,[1685],1333,0.2205810546875,1
57,[1685],1717,2.091796875,0
57,[1685],2824,0.169921875,1
57,[1685],92,0.313720703125,1
57,[1685],191,1.275390625,0
57,[1685],1256,0.1773681640625,1
57,[1685],1539,0.12225341796875,1
57,[1685],2376,0.1754150390625,1
57,[1685],1795,0.09161376953125,1
57,[1685],943,1.1025390625,0
57,[1685],2692,0.2303466796875,1
57,[1685],221,1.7099609375,0
57,[1685],155,1.138671875,0
57,[1685],2426,0.150146484375,1
57,[1685],1106,0.2431640625,1
57,[1685],1150,0.1973876953125,1
57,[1685],2660,2.15625,0
57,[1685],1536,0.10693359375,1
57,[1685],1401,1.41015625,0
57,[1685],70,0.238037109375,1
57,[1685],1341,0.279052734375,1
57,[1685],2600,0.173095703125,1
57,[1685],756,1.0732421875,0
57,[1685],2433,0.18505859375,1
57,[1685],2020,1.041015625,0
57,[1685],1048,1.53515625,0
57,[1685],1909,0.30126953125,1
57,[1685],709,0.2138671875,1
57,[1685],2286,0.1522216796875,1
57,[1685],2594,0.138427734375,1
57,[1685],476,1.9853515625,0
57,[1685],1467,0.223388671875,1
57,[1685],2841,1.7431640625,0
57,[1685],1868,1.3935546875,0
57,[1685],907,1.8212890625,0
57,[1685],1392,0.1494140625,1
57,[1685],2729,0.1622314453125,1
57,[1685],2143,1.6806640625,0
57,[1685],2436,0.206787109375,1
57,[1685],495,0.177490234375,1
57,[1685],2238,1.5,0
57,[1685],2605,2.580078125,0
57,[1685],2327,1.349609375,0
57,[1685],1756,0.322265625,1
57,[1685],823,0.140380859375,1
57,[1685],95,0.8173828125,0
57,[1685],1018,1.35546875,0
57,[1685],2254,1.353515625,0
57,[1685],2288,0.10858154296875,1
57,[1685],2308,0.1173095703125,1
57,[1685],701,0.2000732421875,1
57,[1685],1076,0.291015625,1
57,[1685],1928,0.290771484375,1
57,[1685],1708,0.1053466796875,1
57,[1685],1871,1.18359375,0
57,[1685],797,0.1671142578125,1
57,[1685],815,1.03515625,0
57,[1685],169,0.1904296875,1
57,[1685],2298,1.7705078125,0
57,[1685],1501,1.1396484375,0
57,[1685],1806,0.1474609375,1
57,[1685],2417,1.9169921875,0
57,[1685],285,0.1558837890625,1
57,[1685],992,1.517578125,0
57,[1685],2317,1.693359375,0
57,[1685],780,1.2841796875,0
57,[1685],208,0.124755859375,1
57,[1685],2162,0.1480712890625,1
57,[1685],1135,1.4111328125,0
57,[1685],708,0.22314453125,1
57,[1685],2383,0.1654052734375,1
57,[1685],1262,0.11163330078125,1
57,[1685],714,0.91455078125,0
57,[1685],2381,1.2939453125,0
57,[1685],631,1.1513671875,0
57,[1685],61,0.1595458984375,1
57,[1685],678,0.1224365234375,1
57,[1685],389,1.615234375,0
57,[1685],1025,0.8642578125,0
57,[1685],1680,0.962890625,0
57,[1685],1194,0.140869140625,1
57,[1685],2749,1.3193359375,0
57,[1685],1997,0.9775390625,0
57,[1685],1187,1.2998046875,0
57,[1685],1261,0.1419677734375,1
57,[1685],2209,0.2203369140625,1
57,[1685],2638,1.7578125,0
57,[1685],1008,1.396484375,0
57,[1685],2289,0.12396240234375,1
57,[1685],1678,0.81005859375,0
57,[1685],1692,0.89990234375,0
57,[1685],2536,0.14013671875,1
57,[1685],46,0.124267578125,1
57,[1685],685,1.44921875,0
57,[1685],574,0.1578369140625,1
57,[1685],2581,0.12030029296875,1
57,[1685],187,0.10882568359375,1
57,[1685],1785,0.1339111328125,1
57,[1685],1532,0.142578125,1
57,[1685],1425,0.177001953125,1
57,[1685],1934,0.339599609375,1
57,[1685],446,1.1826171875,0
57,[1685],1390,0.180419921875,1
57,[1685],2854,0.15087890625,1
57,[1685],1982,0.208984375,1
57,[1685],1505,1.85546875,0
57,[1685],2214,0.18359375,1
57,[1685],2805,1.580078125,0
57,[1685],987,0.18505859375,1
57,[1685],1111,0.20458984375,1
57,[1685],571,0.07159423828125,1
57,[1685],2364,0.1434326171875,1
57,[1685],802,0.1422119140625,1
57,[1685],915,1.6513671875,0
57,[1685],801,0.1785888671875,1
57,[1685],600,1.662109375,0
57,[1685],1500,1.2939453125,0
57,[1685],2237,1.1982421875,0
57,[1685],1671,1.3154296875,0
57,[1685],1380,0.25537109375,1
57,[1685],2525,2.244140625,0
57,[1685],834,0.252685546875,1
57,[1685],334,1.818359375,0
57,[1685],779,1.23828125,0
57,[1685],1023,1.04296875,0
57,[1685],2093,1.6181640625,0
57,[1685],413,1.7265625,0
57,[1685],1810,1.609375,0
57,[1685],212,1.3212890625,0
57,[1685],1129,0.2010498046875,1
57,[1685],74,1.34765625,0
57,[1685],2018,0.2763671875,1
57,[1685],2095,1.421875,0
57,[1685],1842,0.25146484375,1
57,[1685],1297,1.5625,0
57,[1685],2089,0.1773681640625,1
57,[1685],216,0.291015625,1
57,[1685],1599,2.44140625,0
57,[1685],40,1.2666015625,0
57,[1685],1507,0.1845703125,1
57,[1685],2556,0.160400390625,1
