Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[130, 52]",0,0.5732421875,0
0,"[130, 52]",1,1.798828125,0
0,"[130, 52]",2,2.806640625,0
0,"[130, 52]",3,0.154052734375,1
0,"[130, 52]",4,0.1905517578125,0
0,"[130, 52]",5,0.1312255859375,1
0,"[130, 52]",6,0.73828125,0
0,"[130, 52]",7,0.1546630859375,1
0,"[130, 52]",8,0.422607421875,0
0,"[130, 52]",9,0.2198486328125,0
0,"[130, 52]",10,2.353515625,0
0,"[130, 52]",11,3.126953125,0
0,"[130, 52]",12,0.1085205078125,1
0,"[130, 52]",13,0.873046875,0
0,"[130, 52]",14,0.1409912109375,1
0,"[130, 52]",15,0.12017822265625,1
0,"[130, 52]",16,0.2415771484375,0
0,"[130, 52]",17,0.318359375,1
0,"[130, 52]",18,0.40234375,0
0,"[130, 52]",19,0.25537109375,1
0,"[130, 52]",20,0.23828125,0
0,"[130, 52]",21,0.5634765625,0
0,"[130, 52]",22,0.251220703125,0
0,"[130, 52]",23,0.21728515625,1
0,"[130, 52]",24,0.65966796875,1
0,"[130, 52]",25,0.25390625,0
0,"[130, 52]",26,0.75244140625,0
0,"[130, 52]",27,0.76611328125,0
0,"[130, 52]",28,0.43701171875,0
0,"[130, 52]",29,0.09014892578125,0
0,"[130, 52]",30,0.4091796875,0
0,"[130, 52]",31,0.453369140625,0
0,"[130, 52]",32,0.197021484375,1
0,"[130, 52]",33,0.1768798828125,0
0,"[130, 52]",34,0.5166015625,0
0,"[130, 52]",35,0.56884765625,1
0,"[130, 52]",36,1.66796875,0
0,"[130, 52]",37,0.70654296875,0
0,"[130, 52]",38,0.1510009765625,0
0,"[130, 52]",39,0.2318115234375,0
0,"[130, 52]",40,0.71337890625,0
0,"[130, 52]",41,0.5546875,1
0,"[130, 52]",42,0.184326171875,1
0,"[130, 52]",43,0.61279296875,1
0,"[130, 52]",44,0.58056640625,1
0,"[130, 52]",45,1.0576171875,0
0,"[130, 52]",46,0.2447509765625,1
0,"[130, 52]",47,0.417236328125,0
0,"[130, 52]",48,1.2861328125,0
0,"[130, 52]",49,0.254150390625,1
0,"[130, 52]",50,0.763671875,0
0,"[130, 52]",51,1.5810546875,0
0,"[130, 52]",52,0.2373046875,0
0,"[130, 52]",53,0.369140625,1
0,"[130, 52]",54,1.99609375,0
0,"[130, 52]",55,0.2353515625,1
0,"[130, 52]",56,0.270751953125,1
0,"[130, 52]",57,0.156005859375,0
0,"[130, 52]",58,0.95166015625,0
0,"[130, 52]",59,0.794921875,0
0,"[130, 52]",60,0.322509765625,0
0,"[130, 52]",61,0.54150390625,0
0,"[130, 52]",62,1.48828125,0
0,"[130, 52]",63,0.1893310546875,1
0,"[130, 52]",64,2.6796875,0
0,"[130, 52]",65,0.1859130859375,0
0,"[130, 52]",66,1.537109375,0
0,"[130, 52]",67,0.1650390625,1
0,"[130, 52]",68,0.1419677734375,1
0,"[130, 52]",69,0.69677734375,0
0,"[130, 52]",70,0.68798828125,0
0,"[130, 52]",71,0.68896484375,0
0,"[130, 52]",72,0.4462890625,0
0,"[130, 52]",73,0.153564453125,1
0,"[130, 52]",74,0.1358642578125,1
0,"[130, 52]",75,0.325927734375,0
0,"[130, 52]",76,0.117431640625,1
0,"[130, 52]",78,0.43896484375,1
0,"[130, 52]",79,0.2257080078125,0
0,"[130, 52]",80,0.30078125,0
0,"[130, 52]",81,0.76220703125,0
0,"[130, 52]",82,0.0673828125,1
0,"[130, 52]",83,0.53662109375,1
0,"[130, 52]",84,0.1343994140625,1
0,"[130, 52]",85,0.0821533203125,1
0,"[130, 52]",86,0.60107421875,0
0,"[130, 52]",87,0.2091064453125,0
0,"[130, 52]",88,0.2083740234375,1
0,"[130, 52]",89,0.332763671875,0
0,"[130, 52]",90,0.30126953125,0
0,"[130, 52]",91,0.30029296875,0
0,"[130, 52]",92,0.1549072265625,1
0,"[130, 52]",93,0.27734375,0
0,"[130, 52]",94,0.16455078125,1
0,"[130, 52]",95,0.176513671875,0
0,"[130, 52]",96,0.1278076171875,1
0,"[130, 52]",97,0.117919921875,1
0,"[130, 52]",98,0.1378173828125,1
0,"[130, 52]",99,0.1839599609375,0
0,"[130, 52]",100,0.155517578125,0
0,"[130, 52]",101,0.10406494140625,1
0,"[130, 52]",102,0.108154296875,1
0,"[130, 52]",103,0.1927490234375,0
0,"[130, 52]",104,0.058868408203125,1
0,"[130, 52]",105,0.293701171875,0
0,"[130, 52]",106,0.2396240234375,1
0,"[130, 52]",107,0.2371826171875,0
0,"[130, 52]",108,0.32470703125,0
0,"[130, 52]",109,0.2685546875,0
0,"[130, 52]",110,0.389892578125,0
0,"[130, 52]",111,0.2374267578125,1
0,"[130, 52]",112,0.11236572265625,1
0,"[130, 52]",113,0.18310546875,0
0,"[130, 52]",114,0.2142333984375,1
0,"[130, 52]",115,0.2132568359375,0
0,"[130, 52]",116,0.183837890625,1
0,"[130, 52]",117,0.1839599609375,1
0,"[130, 52]",118,0.28662109375,0
0,"[130, 52]",119,0.1934814453125,1
0,"[130, 52]",120,0.51611328125,0
1,"[5, 11]",0,0.457275390625,0
1,"[5, 11]",1,1.138671875,0
1,"[5, 11]",2,2.5390625,0
1,"[5, 11]",3,0.18212890625,1
1,"[5, 11]",4,0.249755859375,0
1,"[5, 11]",6,0.916015625,0
1,"[5, 11]",7,0.1837158203125,1
1,"[5, 11]",8,0.53662109375,0
1,"[5, 11]",9,0.302001953125,0
1,"[5, 11]",10,1.8359375,0
1,"[5, 11]",12,0.1595458984375,1
1,"[5, 11]",13,0.8974609375,0
1,"[5, 11]",14,0.85107421875,0
1,"[5, 11]",15,0.88623046875,0
1,"[5, 11]",16,0.27587890625,0
1,"[5, 11]",17,0.66650390625,0
1,"[5, 11]",18,0.355224609375,0
1,"[5, 11]",19,0.386474609375,1
1,"[5, 11]",20,0.26123046875,0
1,"[5, 11]",21,0.654296875,0
1,"[5, 11]",22,0.279052734375,0
1,"[5, 11]",23,0.1627197265625,1
1,"[5, 11]",24,0.96240234375,1
1,"[5, 11]",25,0.364501953125,0
1,"[5, 11]",26,0.68310546875,0
1,"[5, 11]",27,0.8251953125,0
1,"[5, 11]",28,0.388916015625,0
1,"[5, 11]",29,0.1190185546875,1
1,"[5, 11]",30,0.4609375,0
1,"[5, 11]",31,0.367919921875,1
1,"[5, 11]",32,0.24365234375,1
1,"[5, 11]",33,0.181884765625,0
1,"[5, 11]",34,0.546875,0
1,"[5, 11]",35,0.7939453125,0
1,"[5, 11]",36,1.537109375,0
1,"[5, 11]",37,0.9111328125,0
1,"[5, 11]",38,0.1845703125,0
1,"[5, 11]",39,0.252197265625,0
1,"[5, 11]",40,0.77880859375,1
1,"[5, 11]",41,0.68115234375,1
1,"[5, 11]",42,0.2406005859375,1
1,"[5, 11]",43,0.6318359375,0
1,"[5, 11]",44,0.8271484375,0
1,"[5, 11]",45,0.87451171875,0
1,"[5, 11]",46,0.295654296875,1
1,"[5, 11]",47,0.454833984375,0
1,"[5, 11]",48,0.880859375,0
1,"[5, 11]",49,0.404052734375,1
1,"[5, 11]",50,0.68310546875,0
1,"[5, 11]",51,1.13671875,0
1,"[5, 11]",52,0.2496337890625,0
1,"[5, 11]",5,0.2010498046875,1
1,"[5, 11]",11,2.349609375,0
1,"[5, 11]",53,0.5126953125,1
1,"[5, 11]",54,1.2890625,0
1,"[5, 11]",55,0.20458984375,1
1,"[5, 11]",56,1.34765625,0
1,"[5, 11]",57,0.1737060546875,0
1,"[5, 11]",58,1.1474609375,0
1,"[5, 11]",59,1.1435546875,0
1,"[5, 11]",60,0.3720703125,0
1,"[5, 11]",61,0.81396484375,0
1,"[5, 11]",62,1.9150390625,0
1,"[5, 11]",63,0.2220458984375,1
1,"[5, 11]",64,1.7802734375,0
1,"[5, 11]",65,0.259521484375,0
1,"[5, 11]",66,1.48828125,0
1,"[5, 11]",67,0.1817626953125,1
1,"[5, 11]",68,0.2548828125,1
1,"[5, 11]",69,0.8857421875,0
1,"[5, 11]",70,0.80615234375,0
1,"[5, 11]",71,0.64208984375,0
1,"[5, 11]",72,0.9765625,0
1,"[5, 11]",73,0.479248046875,1
1,"[5, 11]",74,0.1739501953125,1
1,"[5, 11]",75,0.301025390625,0
1,"[5, 11]",76,0.1976318359375,1
1,"[5, 11]",77,0.50244140625,1
1,"[5, 11]",78,0.5556640625,0
1,"[5, 11]",79,0.2476806640625,0
1,"[5, 11]",80,0.310302734375,0
1,"[5, 11]",81,0.56494140625,0
1,"[5, 11]",82,0.10675048828125,1
1,"[5, 11]",83,0.480224609375,1
1,"[5, 11]",84,0.184326171875,1
1,"[5, 11]",85,0.127685546875,1
1,"[5, 11]",86,0.83447265625,0
1,"[5, 11]",87,0.2322998046875,0
1,"[5, 11]",88,0.214599609375,0
1,"[5, 11]",89,0.320068359375,1
1,"[5, 11]",90,0.344970703125,0
1,"[5, 11]",91,0.306396484375,0
1,"[5, 11]",92,0.166015625,1
1,"[5, 11]",93,0.2421875,1
1,"[5, 11]",94,0.18505859375,1
1,"[5, 11]",95,0.1729736328125,1
1,"[5, 11]",96,0.136962890625,1
1,"[5, 11]",97,0.12274169921875,1
1,"[5, 11]",98,0.1429443359375,1
1,"[5, 11]",99,0.2061767578125,0
1,"[5, 11]",100,0.16162109375,0
1,"[5, 11]",101,0.12030029296875,0
1,"[5, 11]",102,0.1314697265625,1
1,"[5, 11]",103,0.166748046875,0
1,"[5, 11]",104,0.07916259765625,1
1,"[5, 11]",105,0.277587890625,0
1,"[5, 11]",106,0.231689453125,1
1,"[5, 11]",107,0.261962890625,0
1,"[5, 11]",108,0.290771484375,1
1,"[5, 11]",109,0.258056640625,0
1,"[5, 11]",110,0.342041015625,0
1,"[5, 11]",111,0.181396484375,1
1,"[5, 11]",112,0.12347412109375,1
1,"[5, 11]",113,0.1839599609375,0
1,"[5, 11]",114,0.21533203125,1
1,"[5, 11]",115,0.22314453125,1
1,"[5, 11]",116,0.1947021484375,1
1,"[5, 11]",117,0.1640625,1
1,"[5, 11]",118,0.2451171875,0
1,"[5, 11]",119,0.1839599609375,1
1,"[5, 11]",120,0.4912109375,0
2,"[127, 34]",0,0.33154296875,0
2,"[127, 34]",1,1.0595703125,0
2,"[127, 34]",2,3.119140625,0
2,"[127, 34]",3,0.1722412109375,1
2,"[127, 34]",4,0.206787109375,0
2,"[127, 34]",5,0.1458740234375,1
2,"[127, 34]",6,0.5986328125,0
2,"[127, 34]",7,0.1285400390625,1
2,"[127, 34]",8,0.403564453125,0
2,"[127, 34]",9,0.25439453125,0
2,"[127, 34]",10,2.427734375,0
2,"[127, 34]",11,2.3984375,0
2,"[127, 34]",12,0.1380615234375,1
2,"[127, 34]",13,0.88232421875,1
2,"[127, 34]",14,0.325927734375,1
2,"[127, 34]",15,0.356201171875,1
2,"[127, 34]",16,0.2108154296875,0
2,"[127, 34]",17,0.25732421875,1
2,"[127, 34]",18,0.3798828125,0
2,"[127, 34]",19,0.52490234375,1
2,"[127, 34]",20,0.243408203125,0
2,"[127, 34]",21,0.744140625,0
2,"[127, 34]",22,0.2396240234375,0
2,"[127, 34]",23,0.1256103515625,1
2,"[127, 34]",24,0.65771484375,0
2,"[127, 34]",25,0.2354736328125,1
2,"[127, 34]",26,0.80029296875,0
2,"[127, 34]",27,0.703125,0
2,"[127, 34]",28,0.391845703125,0
2,"[127, 34]",29,0.09674072265625,0
2,"[127, 34]",30,0.3779296875,0
2,"[127, 34]",31,0.410888671875,0
2,"[127, 34]",32,0.10516357421875,1
2,"[127, 34]",33,0.19384765625,0
2,"[127, 34]",35,0.89013671875,0
2,"[127, 34]",36,1.2490234375,0
2,"[127, 34]",37,0.63818359375,0
2,"[127, 34]",38,0.181640625,0
2,"[127, 34]",39,0.2281494140625,0
2,"[127, 34]",40,0.6513671875,0
2,"[127, 34]",41,0.73291015625,1
2,"[127, 34]",42,0.250732421875,0
2,"[127, 34]",43,0.72509765625,0
2,"[127, 34]",44,0.55029296875,0
2,"[127, 34]",45,1.1171875,0
2,"[127, 34]",46,0.356201171875,1
2,"[127, 34]",47,0.5390625,0
2,"[127, 34]",48,1.2451171875,0
2,"[127, 34]",49,0.3359375,0
2,"[127, 34]",50,0.6533203125,0
2,"[127, 34]",51,1.09375,0
2,"[127, 34]",52,0.268798828125,0
2,"[127, 34]",34,0.47021484375,0
2,"[127, 34]",53,0.390869140625,1
2,"[127, 34]",54,1.4287109375,0
2,"[127, 34]",55,0.1558837890625,1
2,"[127, 34]",56,0.59033203125,1
2,"[127, 34]",57,0.130615234375,0
2,"[127, 34]",58,0.92431640625,0
2,"[127, 34]",59,0.80615234375,0
2,"[127, 34]",60,0.396484375,0
2,"[127, 34]",61,0.55419921875,0
2,"[127, 34]",62,2.427734375,0
2,"[127, 34]",63,0.2188720703125,1
2,"[127, 34]",64,2.115234375,0
2,"[127, 34]",65,0.2049560546875,1
2,"[127, 34]",66,1.4345703125,0
2,"[127, 34]",67,0.1429443359375,0
2,"[127, 34]",68,0.10833740234375,1
2,"[127, 34]",69,0.98193359375,0
2,"[127, 34]",70,0.50732421875,0
2,"[127, 34]",71,0.63818359375,0
2,"[127, 34]",72,0.392822265625,1
2,"[127, 34]",73,0.1783447265625,1
2,"[127, 34]",75,0.209716796875,0
2,"[127, 34]",76,0.161865234375,1
2,"[127, 34]",77,0.9150390625,0
2,"[127, 34]",78,0.537109375,0
2,"[127, 34]",79,0.2298583984375,0
2,"[127, 34]",80,0.2388916015625,0
2,"[127, 34]",81,0.775390625,0
2,"[127, 34]",82,0.0816650390625,1
2,"[127, 34]",83,0.5634765625,1
2,"[127, 34]",84,0.16455078125,1
2,"[127, 34]",85,0.0809326171875,1
2,"[127, 34]",86,0.490234375,1
2,"[127, 34]",87,0.1944580078125,0
2,"[127, 34]",88,0.135986328125,1
2,"[127, 34]",89,0.415771484375,0
2,"[127, 34]",90,0.263671875,1
