Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[8846, 11575]",7114,1.0537109375,0
0,"[8846, 11575]",583,0.505859375,1
0,"[8846, 11575]",13782,1.310546875,0
0,"[8846, 11575]",12341,1.55859375,0
0,"[8846, 11575]",10135,1.115234375,0
0,"[8846, 11575]",7249,1.1083984375,0
0,"[8846, 11575]",6883,0.445068359375,1
0,"[8846, 11575]",2201,0.44775390625,1
0,"[8846, 11575]",10828,1.4677734375,0
0,"[8846, 11575]",7350,1.5537109375,0
0,"[8846, 11575]",8582,1.490234375,0
0,"[8846, 11575]",2348,0.45654296875,1
0,"[8846, 11575]",11861,1.2998046875,0
0,"[8846, 11575]",4026,0.5166015625,1
0,"[8846, 11575]",7786,1.169921875,0
0,"[8846, 11575]",2306,0.401123046875,1
0,"[8846, 11575]",10797,1.1455078125,0
0,"[8846, 11575]",13313,1.0927734375,0
0,"[8846, 11575]",7946,1.4931640625,0
0,"[8846, 11575]",1928,0.59130859375,1
0,"[8846, 11575]",2891,0.51806640625,1
0,"[8846, 11575]",6393,0.53955078125,1
0,"[8846, 11575]",12265,1.544921875,0
0,"[8846, 11575]",4554,0.482177734375,1
0,"[8846, 11575]",12449,1.4765625,0
0,"[8846, 11575]",10938,1.4677734375,0
0,"[8846, 11575]",3760,0.46484375,1
0,"[8846, 11575]",10225,1.2802734375,0
0,"[8846, 11575]",12913,1.44921875,0
0,"[8846, 11575]",1361,0.495361328125,1
0,"[8846, 11575]",11133,1.56640625,0
0,"[8846, 11575]",10900,1.0439453125,0
0,"[8846, 11575]",9191,1.244140625,0
0,"[8846, 11575]",3401,0.477783203125,1
0,"[8846, 11575]",1737,0.5576171875,1
0,"[8846, 11575]",8941,1.25390625,0
0,"[8846, 11575]",13312,0.9990234375,0
0,"[8846, 11575]",1338,0.455078125,1
0,"[8846, 11575]",476,0.5048828125,1
0,"[8846, 11575]",4460,0.437744140625,1
0,"[8846, 11575]",4703,0.40576171875,1
0,"[8846, 11575]",5672,0.5595703125,1
0,"[8846, 11575]",2864,0.476318359375,1
0,"[8846, 11575]",13090,1.408203125,0
0,"[8846, 11575]",3013,0.51318359375,1
0,"[8846, 11575]",3635,0.49853515625,1
0,"[8846, 11575]",7115,1.6953125,0
0,"[8846, 11575]",7679,1.068359375,0
0,"[8846, 11575]",7015,0.408203125,1
0,"[8846, 11575]",6710,0.430908203125,1
0,"[8846, 11575]",12684,1.2431640625,0
0,"[8846, 11575]",2988,0.459228515625,1
0,"[8846, 11575]",4551,0.40283203125,1
0,"[8846, 11575]",10697,1.40625,0
0,"[8846, 11575]",11468,1.0029296875,0
0,"[8846, 11575]",5625,0.48876953125,1
0,"[8846, 11575]",5111,0.40966796875,1
0,"[8846, 11575]",10571,1.5556640625,0
0,"[8846, 11575]",5103,0.46728515625,1
0,"[8846, 11575]",12936,1.2431640625,0
0,"[8846, 11575]",4682,0.42724609375,1
0,"[8846, 11575]",4720,0.41650390625,1
0,"[8846, 11575]",13762,1.212890625,0
0,"[8846, 11575]",409,0.50048828125,1
0,"[8846, 11575]",3356,0.412109375,1
