Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[532],1175,0.44927778840065,1
0,[532],39,0.687584638595581,0
0,[532],1291,0.5980311036109924,0
0,[532],1345,0.5152034163475037,1
0,[532],1559,0.4150165915489197,1
0,[532],1292,0.6792861819267273,0
0,[532],109,0.8007922172546387,0
0,[532],342,0.5730807781219482,0
0,[532],164,0.7000468969345093,1
0,[532],1652,0.3620508015155792,1
0,[532],1168,0.7441871166229248,0
0,[532],2141,0.515464723110199,1
0,[532],193,0.3977970480918884,1
0,[532],919,0.26475241780281067,1
0,[532],1026,0.5253681540489197,1
0,[532],1229,0.8097602128982544,0
0,[532],1704,0.46387869119644165,1
0,[532],929,0.2607818841934204,1
0,[532],1765,0.32629209756851196,1
0,[532],1220,0.6767367720603943,0
0,[532],399,1.5475760698318481,1
0,[532],2229,0.47829464077949524,1
0,[532],1569,0.8676155209541321,0
0,[532],1617,0.4898814260959625,1
0,[532],1025,0.38572022318840027,1
0,[532],538,0.5725963115692139,1
0,[532],1008,0.18624939024448395,1
0,[532],292,0.27238714694976807,1
0,[532],1963,0.4666632413864136,1
0,[532],472,0.5374246835708618,1
0,[532],1772,0.3008311986923218,1
0,[532],1763,0.5392580032348633,1
0,[532],1773,0.516219437122345,1
0,[532],2121,0.6592534780502319,0
0,[532],1774,0.7400789260864258,0
0,[532],268,0.44068509340286255,1
0,[532],353,0.3301450312137604,1
0,[532],2097,0.3071206510066986,1
0,[532],469,0.9736764430999756,1
0,[532],2223,0.7340098023414612,0
0,[532],910,0.13754060864448547,1
0,[532],1522,0.6144567131996155,0
0,[532],1899,0.25546571612358093,1
0,[532],1348,0.6984487175941467,0
0,[532],1147,0.689746618270874,0
0,[532],136,0.7013425230979919,0
0,[532],2010,0.5438417196273804,1
0,[532],823,0.7402262687683105,0
0,[532],1951,0.8557719588279724,0
0,[532],2091,0.5129057168960571,1
0,[532],604,0.8349990844726562,0
0,[532],628,0.6058274507522583,1
0,[532],1487,0.6410509347915649,0
0,[532],694,0.31046074628829956,1
0,[532],1048,0.5381593704223633,1
0,[532],2173,0.758301317691803,0
0,[532],157,0.20268750190734863,1
0,[532],2111,0.28807929158210754,1
0,[532],904,0.7214558720588684,0
0,[532],114,0.42982545495033264,1
0,[532],1961,0.6182350516319275,0
0,[532],1154,0.3523556590080261,1
0,[532],763,0.318418949842453,1
0,[532],201,0.8370872735977173,0
0,[532],803,0.591248095035553,1
0,[532],733,0.2720174789428711,1
0,[532],324,0.758209228515625,0
0,[532],816,0.3923257291316986,1
0,[532],1484,0.453395277261734,1
0,[532],1145,0.5791513919830322,1
0,[532],1150,0.3194427788257599,1
0,[532],1926,0.3876495659351349,1
0,[532],545,0.25790539383888245,1
0,[532],758,0.3516198396682739,1
0,[532],571,0.35175085067749023,1
0,[532],1014,0.7030322551727295,0
0,[532],1368,0.37837034463882446,1
0,[532],707,0.8076691627502441,0
0,[532],1686,0.36004355549812317,1
0,[532],1789,0.8390000462532043,0
0,[532],1233,0.4524227976799011,1
0,[532],1047,0.3744293749332428,1
0,[532],1346,1.0514715909957886,0
0,[532],647,0.5384487509727478,1
0,[532],2099,0.4010401964187622,1
0,[532],1643,0.7640811204910278,0
0,[532],1441,0.27764028310775757,1
0,[532],1950,0.5443001389503479,1
0,[532],7,0.7807074189186096,0
0,[532],2020,0.5809196829795837,0
0,[532],1182,0.6413373351097107,0
0,[532],1639,0.2720458507537842,1
0,[532],2176,0.5014525651931763,1
0,[532],165,0.2503996193408966,1
0,[532],1587,0.5983561873435974,0
0,[532],14,0.38055917620658875,1
0,[532],1968,0.4455580413341522,1
0,[532],960,0.40464216470718384,1
0,[532],931,0.545809805393219,0
0,[532],2216,0.9010135531425476,0
0,[532],819,0.25792816281318665,1
0,[532],1126,0.8699286580085754,0
0,[532],367,0.746728241443634,1
0,[532],1108,0.5548569560050964,1
0,[532],636,0.37839841842651367,1
0,[532],1098,0.7842934727668762,0
0,[532],1833,0.472298264503479,0
0,[532],1980,0.6304786205291748,1
0,[532],1492,0.5022977590560913,1
0,[532],2201,0.8456403017044067,0
0,[532],927,0.7060595750808716,1
0,[532],121,0.5064265727996826,1
0,[532],1620,0.6121319532394409,0
0,[532],1657,0.6827945709228516,0
0,[532],858,0.4411007761955261,1
0,[532],1365,0.4537248909473419,1
0,[532],1908,0.3545655608177185,1
