Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[37, 19, 27, 20]",0,0.8699154853820801,0
0,"[37, 19, 27, 20]",1,0.01090176310390234,1
0,"[37, 19, 27, 20]",2,0.6366307735443115,0
0,"[37, 19, 27, 20]",3,0.02734955959022045,1
0,"[37, 19, 27, 20]",4,0.322536438703537,0
0,"[37, 19, 27, 20]",5,0.2747831642627716,0
0,"[37, 19, 27, 20]",6,0.6712133884429932,0
0,"[37, 19, 27, 20]",7,0.03754124417901039,1
0,"[37, 19, 27, 20]",8,0.5705370306968689,0
0,"[37, 19, 27, 20]",9,0.07229764014482498,1
0,"[37, 19, 27, 20]",10,0.6581602692604065,0
0,"[37, 19, 27, 20]",11,0.003709720680490136,1
0,"[37, 19, 27, 20]",12,0.8139567375183105,0
0,"[37, 19, 27, 20]",13,0.07059808075428009,1
0,"[37, 19, 27, 20]",14,0.3129010498523712,0
0,"[37, 19, 27, 20]",15,0.024431884288787842,1
0,"[37, 19, 27, 20]",16,0.8111873269081116,0
0,"[37, 19, 27, 20]",17,0.049670834094285965,1
0,"[37, 19, 27, 20]",18,0.26225829124450684,1
0,"[37, 19, 27, 20]",21,0.07311189919710159,1
0,"[37, 19, 27, 20]",22,0.4332520067691803,0
0,"[37, 19, 27, 20]",23,0.2635457217693329,1
0,"[37, 19, 27, 20]",24,0.7395551204681396,0
0,"[37, 19, 27, 20]",25,0.1075296625494957,1
0,"[37, 19, 27, 20]",26,0.3248373866081238,0
0,"[37, 19, 27, 20]",28,0.5955485701560974,0
0,"[37, 19, 27, 20]",29,0.07468057423830032,1
0,"[37, 19, 27, 20]",30,0.7653070092201233,0
0,"[37, 19, 27, 20]",31,0.03636127710342407,1
0,"[37, 19, 27, 20]",32,0.6609495282173157,0
0,"[37, 19, 27, 20]",33,0.10870552062988281,1
0,"[37, 19, 27, 20]",34,0.6656455993652344,0
0,"[37, 19, 27, 20]",35,0.13103868067264557,1
0,"[37, 19, 27, 20]",36,0.48820778727531433,0
0,"[37, 19, 27, 20]",38,0.24528783559799194,1
0,"[37, 19, 27, 20]",39,0.09907104074954987,1
0,"[37, 19, 27, 20]",40,0.5498691201210022,0
0,"[37, 19, 27, 20]",41,0.06398575752973557,1
0,"[37, 19, 27, 20]",42,0.5585024356842041,0
0,"[37, 19, 27, 20]",43,0.1307874619960785,1
0,"[37, 19, 27, 20]",44,0.3251629173755646,0
0,"[37, 19, 27, 20]",45,0.011097648181021214,1
1,"[3, 33, 31, 20]",0,0.6534742116928101,0
1,"[3, 33, 31, 20]",1,0.008256598375737667,1
1,"[3, 33, 31, 20]",2,0.4954906404018402,0
1,"[3, 33, 31, 20]",4,0.1768496036529541,1
1,"[3, 33, 31, 20]",5,0.2673516273498535,0
1,"[3, 33, 31, 20]",6,0.6134032607078552,0
1,"[3, 33, 31, 20]",7,0.005762815475463867,1
1,"[3, 33, 31, 20]",8,0.4466041624546051,0
1,"[3, 33, 31, 20]",9,0.0364166758954525,1
1,"[3, 33, 31, 20]",10,0.5275687575340271,0
1,"[3, 33, 31, 20]",11,0.0029219710268080235,1
1,"[3, 33, 31, 20]",12,0.6176456809043884,0
1,"[3, 33, 31, 20]",13,0.05371871590614319,1
1,"[3, 33, 31, 20]",14,0.20635844767093658,0
1,"[3, 33, 31, 20]",15,0.010232649743556976,1
1,"[3, 33, 31, 20]",16,0.7000715136528015,0
1,"[3, 33, 31, 20]",17,0.013982579112052917,1
1,"[3, 33, 31, 20]",18,0.13096387684345245,1
1,"[3, 33, 31, 20]",19,0.016839465126395226,1
1,"[3, 33, 31, 20]",21,0.08821647614240646,1
1,"[3, 33, 31, 20]",22,0.2613672614097595,1
1,"[3, 33, 31, 20]",23,0.3134039044380188,0
1,"[3, 33, 31, 20]",24,0.6593762040138245,0
1,"[3, 33, 31, 20]",25,0.016312334686517715,1
1,"[3, 33, 31, 20]",26,0.29721543192863464,0
1,"[3, 33, 31, 20]",27,0.04137597605586052,1
1,"[3, 33, 31, 20]",28,0.6449646353721619,0
1,"[3, 33, 31, 20]",29,0.16244128346443176,1
1,"[3, 33, 31, 20]",30,0.46341097354888916,0
1,"[3, 33, 31, 20]",32,0.5467125177383423,0
1,"[3, 33, 31, 20]",34,0.33551648259162903,0
1,"[3, 33, 31, 20]",35,0.039376210421323776,1
1,"[3, 33, 31, 20]",36,0.4010676443576813,0
