Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[27208],45892,0.45255181193351746,1
0,[27208],29932,0.36731281876564026,1
0,[27208],19112,0.6844466924667358,0
0,[27208],48607,0.5787640810012817,0
0,[27208],54227,0.6179818511009216,0
0,[27208],32669,0.5261029005050659,0
0,[27208],22999,0.3699248731136322,1
0,[27208],19873,0.5846503376960754,0
0,[27208],29487,0.6013574004173279,0
0,[27208],48954,0.617071270942688,0
0,[27208],18640,0.594815194606781,0
0,[27208],39086,0.6171894669532776,0
0,[27208],10783,0.3053598403930664,1
0,[27208],4016,0.6010940074920654,0
0,[27208],53663,0.5580974817276001,0
0,[27208],4663,0.2999555170536041,1
0,[27208],13522,0.32911014556884766,1
0,[27208],37158,0.6382986307144165,0
0,[27208],41865,0.3527775704860687,1
0,[27208],9861,0.5700518488883972,0
0,[27208],28472,0.32589083909988403,1
0,[27208],8224,0.5197919011116028,0
0,[27208],33766,0.49564793705940247,0
0,[27208],11533,0.37445297837257385,1
0,[27208],6107,0.3712864816188812,1
0,[27208],22186,0.3203357458114624,1
0,[27208],20851,0.5574632287025452,0
0,[27208],50440,0.3590624928474426,1
0,[27208],28379,0.6252565383911133,0
0,[27208],32254,0.34224241971969604,1
0,[27208],18952,0.5962034463882446,0
0,[27208],22119,0.37010055780410767,1
0,[27208],30946,0.4883919954299927,0
0,[27208],16705,0.5928424596786499,0
0,[27208],12796,0.33742886781692505,1
0,[27208],46168,0.597380518913269,0
0,[27208],20480,0.6296514272689819,0
0,[27208],7532,0.5347213745117188,0
0,[27208],44474,0.48030853271484375,0
0,[27208],48153,0.5757522583007812,0
0,[27208],50254,0.3878973722457886,1
0,[27208],7104,0.6119717955589294,0
0,[27208],31078,0.6637266278266907,0
0,[27208],27682,0.36280378699302673,1
0,[27208],25684,0.35835063457489014,1
0,[27208],4911,0.5920132994651794,0
0,[27208],42446,0.3676017224788666,1
0,[27208],16485,0.5547546744346619,0
0,[27208],25634,0.5785514116287231,0
0,[27208],925,0.5981661081314087,0
0,[27208],11993,0.6755953431129456,0
0,[27208],50112,0.5219248533248901,0
0,[27208],42670,0.589726448059082,0
0,[27208],20066,0.4616047441959381,0
0,[27208],46577,0.3640096187591553,1
0,[27208],52049,0.6384096741676331,0
0,[27208],51825,0.6914817690849304,0
0,[27208],53972,0.33325091004371643,1
0,[27208],18279,0.5686553716659546,0
0,[27208],20418,0.5017493367195129,0
0,[27208],52238,0.5930138826370239,0
0,[27208],52786,0.5990742444992065,0
0,[27208],45160,0.6476147174835205,0
0,[27208],20789,0.5636073350906372,0
0,[27208],18713,0.5392428040504456,0
0,[27208],26514,0.718748927116394,0
0,[27208],39069,0.35015982389450073,1
0,[27208],47186,0.3607027530670166,1
0,[27208],9247,0.5217010378837585,0
0,[27208],10749,0.46303191781044006,0
0,[27208],13503,0.6648335456848145,0
0,[27208],23296,0.5492656230926514,0
0,[27208],12387,0.585308849811554,0
0,[27208],25515,0.5767297744750977,0
0,[27208],12207,0.5260840058326721,0
0,[27208],23746,0.5597712397575378,0
0,[27208],36580,0.5756418108940125,0
0,[27208],14963,0.37594074010849,1
0,[27208],37417,0.5940926671028137,0
0,[27208],24847,0.35789164900779724,1
0,[27208],5823,0.6757841110229492,0
0,[27208],4562,0.5331082940101624,0
0,[27208],51815,0.44550222158432007,0
0,[27208],8405,0.5859531760215759,0
0,[27208],39506,0.564346969127655,0
0,[27208],29278,0.618498682975769,0
0,[27208],34862,0.5883738994598389,0
0,[27208],18770,0.29783788323402405,1
0,[27208],11417,0.5921406149864197,0
0,[27208],19997,0.5642503499984741,0
0,[27208],29038,0.6060910820960999,0
0,[27208],46851,0.579725444316864,0
0,[27208],48487,0.5692062973976135,0
0,[27208],18500,0.3202214539051056,1
0,[27208],32707,0.5632084608078003,0
0,[27208],45885,0.5204086303710938,0
0,[27208],13037,0.5290126800537109,0
0,[27208],51871,0.6045056581497192,0
