Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[45, 10, 37, 15]",0,0.84814453125,0
0,"[45, 10, 37, 15]",1,0.025787353515625,1
0,"[45, 10, 37, 15]",2,0.65380859375,0
0,"[45, 10, 37, 15]",3,0.10888671875,1
0,"[45, 10, 37, 15]",4,1.1474609375,0
0,"[45, 10, 37, 15]",5,0.11907958984375,1
0,"[45, 10, 37, 15]",6,0.439453125,0
0,"[45, 10, 37, 15]",7,0.578125,0
0,"[45, 10, 37, 15]",8,1.18359375,0
0,"[45, 10, 37, 15]",9,0.032684326171875,1
0,"[45, 10, 37, 15]",11,0.0157318115234375,1
0,"[45, 10, 37, 15]",12,1.6416015625,0
0,"[45, 10, 37, 15]",13,0.200927734375,1
0,"[45, 10, 37, 15]",14,1.4794921875,0
0,"[45, 10, 37, 15]",16,0.44873046875,1
0,"[45, 10, 37, 15]",17,0.196044921875,1
0,"[45, 10, 37, 15]",18,1.580078125,0
0,"[45, 10, 37, 15]",19,0.10968017578125,1
0,"[45, 10, 37, 15]",20,0.9892578125,0
0,"[45, 10, 37, 15]",21,0.029754638671875,1
0,"[45, 10, 37, 15]",22,0.74267578125,0
0,"[45, 10, 37, 15]",23,1.1435546875,1
0,"[45, 10, 37, 15]",24,0.399658203125,1
0,"[45, 10, 37, 15]",25,0.80859375,0
0,"[45, 10, 37, 15]",26,1.14453125,0
0,"[45, 10, 37, 15]",27,0.09619140625,1
0,"[45, 10, 37, 15]",28,0.24462890625,1
0,"[45, 10, 37, 15]",29,0.379150390625,1
0,"[45, 10, 37, 15]",30,2.244140625,0
0,"[45, 10, 37, 15]",31,0.31298828125,1
0,"[45, 10, 37, 15]",32,0.8857421875,0
0,"[45, 10, 37, 15]",33,0.373291015625,1
0,"[45, 10, 37, 15]",34,1.486328125,0
0,"[45, 10, 37, 15]",35,1.0224609375,0
0,"[45, 10, 37, 15]",36,0.497802734375,0
0,"[45, 10, 37, 15]",38,1.1552734375,0
0,"[45, 10, 37, 15]",39,0.042510986328125,1
0,"[45, 10, 37, 15]",40,0.354736328125,1
0,"[45, 10, 37, 15]",41,0.0728759765625,1
0,"[45, 10, 37, 15]",42,0.19775390625,1
0,"[45, 10, 37, 15]",43,0.08270263671875,1
0,"[45, 10, 37, 15]",44,1.7412109375,0
1,"[8, 40, 27, 36]",0,0.292724609375,1
1,"[8, 40, 27, 36]",1,0.0679931640625,1
1,"[8, 40, 27, 36]",2,0.1959228515625,1
1,"[8, 40, 27, 36]",3,0.3291015625,0
1,"[8, 40, 27, 36]",4,0.55712890625,0
1,"[8, 40, 27, 36]",5,0.316162109375,1
1,"[8, 40, 27, 36]",6,0.1573486328125,1
1,"[8, 40, 27, 36]",7,0.8505859375,0
1,"[8, 40, 27, 36]",9,0.0848388671875,1
1,"[8, 40, 27, 36]",10,0.1328125,1
1,"[8, 40, 27, 36]",11,0.040069580078125,1
1,"[8, 40, 27, 36]",12,0.74560546875,0
1,"[8, 40, 27, 36]",13,0.70556640625,0
1,"[8, 40, 27, 36]",14,0.2568359375,1
1,"[8, 40, 27, 36]",15,0.1734619140625,1
1,"[8, 40, 27, 36]",16,0.154052734375,1
1,"[8, 40, 27, 36]",17,0.5263671875,0
1,"[8, 40, 27, 36]",18,0.33251953125,1
1,"[8, 40, 27, 36]",19,0.2177734375,1
1,"[8, 40, 27, 36]",20,0.41357421875,0
1,"[8, 40, 27, 36]",21,0.061614990234375,1
1,"[8, 40, 27, 36]",22,0.443359375,1
1,"[8, 40, 27, 36]",23,0.978515625,1
1,"[8, 40, 27, 36]",24,0.057891845703125,1
1,"[8, 40, 27, 36]",25,1.734375,0
1,"[8, 40, 27, 36]",26,0.81884765625,0
1,"[8, 40, 27, 36]",28,0.06689453125,1
1,"[8, 40, 27, 36]",29,0.132080078125,1
1,"[8, 40, 27, 36]",30,0.921875,0
1,"[8, 40, 27, 36]",31,0.462158203125,0
1,"[8, 40, 27, 36]",32,0.1439208984375,1
1,"[8, 40, 27, 36]",33,0.64990234375,0
1,"[8, 40, 27, 36]",34,1.373046875,0
1,"[8, 40, 27, 36]",35,1.931640625,0
1,"[8, 40, 27, 36]",37,0.18994140625,1
1,"[8, 40, 27, 36]",38,0.400146484375,0
1,"[8, 40, 27, 36]",39,0.136474609375,1
1,"[8, 40, 27, 36]",41,0.10113525390625,1
1,"[8, 40, 27, 36]",42,0.058441162109375,1
1,"[8, 40, 27, 36]",43,0.1954345703125,1
1,"[8, 40, 27, 36]",44,0.98876953125,0
1,"[8, 40, 27, 36]",45,0.06793212890625,1
2,"[32, 2, 43, 1]",0,1.9365234375,0
2,"[32, 2, 43, 1]",3,0.172119140625,1
2,"[32, 2, 43, 1]",4,2.33984375,0
2,"[32, 2, 43, 1]",5,0.037689208984375,1
2,"[32, 2, 43, 1]",6,0.736328125,0
2,"[32, 2, 43, 1]",7,0.35888671875,1
2,"[32, 2, 43, 1]",8,1.857421875,0
2,"[32, 2, 43, 1]",9,0.023101806640625,1
2,"[32, 2, 43, 1]",10,1.650390625,0
2,"[32, 2, 43, 1]",11,0.0054779052734375,1
2,"[32, 2, 43, 1]",12,1.8701171875,0
2,"[32, 2, 43, 1]",13,0.137451171875,1
2,"[32, 2, 43, 1]",14,1.0322265625,0
2,"[32, 2, 43, 1]",15,0.0296478271484375,1
2,"[32, 2, 43, 1]",16,1.130859375,0
2,"[32, 2, 43, 1]",17,0.0406494140625,1
2,"[32, 2, 43, 1]",18,1.94921875,0
2,"[32, 2, 43, 1]",19,0.01378631591796875,1
2,"[32, 2, 43, 1]",20,1.87890625,0
2,"[32, 2, 43, 1]",21,0.0167694091796875,1
2,"[32, 2, 43, 1]",22,1.3642578125,0
2,"[32, 2, 43, 1]",23,0.7822265625,1
2,"[32, 2, 43, 1]",24,0.63671875,0
2,"[32, 2, 43, 1]",25,0.5048828125,1
2,"[32, 2, 43, 1]",26,1.96875,0
2,"[32, 2, 43, 1]",27,0.07177734375,1
2,"[32, 2, 43, 1]",28,0.5771484375,0
2,"[32, 2, 43, 1]",29,0.09625244140625,1
2,"[32, 2, 43, 1]",30,3.05078125,0
2,"[32, 2, 43, 1]",31,0.1612548828125,1
