Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[6581, 48819, 24621, 2492]",45892,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",29932,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",19112,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",48607,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",54227,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",32669,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",22999,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",19873,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",29487,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",48954,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",18640,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",39086,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",10783,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",4016,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",53663,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",4663,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",13522,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",37158,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",41865,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",9861,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",28472,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",8224,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",33766,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",11533,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",6107,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",22186,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",20851,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",50440,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",28379,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",32254,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",18952,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",22119,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",30946,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",16705,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",12796,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",46168,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",20480,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",7532,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",44474,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",48153,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",50254,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",7104,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",31078,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",27682,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",25684,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",4911,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",42446,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",16485,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",25634,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",925,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",11993,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",50112,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",42670,4.232091426849365,0
0,"[6581, 48819, 24621, 2492]",20066,2.821615219116211,1
0,"[6581, 48819, 24621, 2492]",46577,4.232091426849365,0
