Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[34],0,0.79541015625,0
0,[34],1,1.154296875,0
0,[34],2,0.66162109375,0
0,[34],3,0.26318359375,0
0,[34],4,0.323486328125,0
0,[34],5,0.281494140625,0
0,[34],6,0.2044677734375,1
0,[34],7,0.56591796875,0
0,[34],8,0.318359375,0
0,[34],9,0.309326171875,1
0,[34],10,0.1761474609375,1
0,[34],11,0.164306640625,1
0,[34],12,0.2216796875,1
0,[34],13,0.67529296875,0
0,[34],14,0.299072265625,1
0,[34],15,0.26318359375,1
0,[34],16,0.43212890625,0
0,[34],17,0.432861328125,0
0,[34],18,0.451904296875,0
0,[34],19,0.26611328125,1
0,[34],20,0.1932373046875,0
0,[34],21,0.60791015625,0
0,[34],22,0.58349609375,1
0,[34],23,0.447509765625,1
0,[34],24,0.296630859375,0
0,[34],25,0.2457275390625,0
0,[34],26,0.2548828125,1
0,[34],27,0.2386474609375,1
0,[34],28,0.5615234375,0
0,[34],29,0.132568359375,1
0,[34],30,0.2213134765625,1
0,[34],31,0.34130859375,0
0,[34],32,0.4306640625,0
0,[34],33,0.33154296875,0
0,[34],35,0.203857421875,0
0,[34],36,0.228515625,0
0,[34],37,0.1461181640625,1
0,[34],38,0.2822265625,0
0,[34],39,0.93701171875,0
0,[34],40,0.13037109375,1
0,[34],41,0.40869140625,0
0,[34],42,0.32958984375,0
0,[34],43,0.461181640625,0
0,[34],44,0.39111328125,0
0,[34],45,0.57177734375,0
0,[34],46,0.45068359375,0
0,[34],47,0.128173828125,1
0,[34],48,0.053558349609375,1
0,[34],49,0.11041259765625,1
0,[34],50,0.1414794921875,1
0,[34],51,0.153564453125,1
0,[34],52,0.1370849609375,1
0,[34],53,0.1142578125,1
0,[34],54,0.371826171875,0
0,[34],55,0.43017578125,0
0,[34],56,0.4560546875,0
0,[34],57,0.10260009765625,1
0,[34],58,0.1483154296875,0
0,[34],59,0.72314453125,0
1,[24],0,0.45556640625,0
1,[24],1,0.88720703125,0
1,[24],2,0.541015625,0
1,[24],3,0.1646728515625,0
1,[24],4,0.329833984375,0
1,[24],5,0.14892578125,0
1,[24],6,0.224609375,0
1,[24],7,0.274658203125,0
1,[24],8,0.2371826171875,0
1,[24],9,0.2413330078125,0
1,[24],10,0.093994140625,1
1,[24],11,0.046417236328125,1
1,[24],12,0.0595703125,1
1,[24],13,0.64794921875,0
1,[24],14,0.164794921875,1
1,[24],15,0.2061767578125,1
1,[24],16,0.304443359375,0
1,[24],17,0.318115234375,0
1,[24],18,0.323486328125,0
1,[24],19,0.129638671875,1
1,[24],20,0.2396240234375,0
1,[24],21,0.3720703125,0
1,[24],22,0.321044921875,1
1,[24],23,0.1865234375,1
1,[24],25,0.056060791015625,1
1,[24],26,0.322998046875,0
1,[24],27,0.18994140625,1
1,[24],28,0.45263671875,0
1,[24],29,0.0699462890625,1
1,[24],30,0.2215576171875,0
1,[24],31,0.249755859375,0
1,[24],32,0.349365234375,0
1,[24],33,0.2474365234375,0
1,[24],34,0.17724609375,0
1,[24],35,0.093994140625,1
1,[24],36,0.238525390625,0
1,[24],37,0.07257080078125,1
1,[24],38,0.1873779296875,0
1,[24],39,0.6103515625,0
1,[24],40,0.11846923828125,1
1,[24],41,0.1787109375,0
1,[24],42,0.162109375,0
1,[24],43,0.18701171875,0
1,[24],44,0.279052734375,0
1,[24],45,0.35791015625,0
1,[24],46,0.432861328125,0
1,[24],47,0.1328125,1
1,[24],48,0.036102294921875,1
1,[24],49,0.08258056640625,1
1,[24],50,0.1832275390625,1
1,[24],51,0.1512451171875,1
1,[24],52,0.09564208984375,1
1,[24],53,0.07904052734375,1
1,[24],54,0.2237548828125,0
1,[24],55,0.412841796875,0
1,[24],56,0.298583984375,0
1,[24],57,0.0672607421875,1
1,[24],58,0.07806396484375,1
1,[24],59,0.363525390625,0
2,[58],0,0.53076171875,0
2,[58],1,0.92919921875,0
2,[58],2,0.44140625,0
2,[58],3,0.201904296875,1
2,[58],4,0.32177734375,0
2,[58],5,0.2001953125,0
2,[58],6,0.65625,0
2,[58],7,0.49755859375,0
2,[58],8,0.1859130859375,1
2,[58],9,0.477783203125,0
2,[58],10,0.10113525390625,1
2,[58],11,0.096923828125,1
2,[58],12,0.07415771484375,1
2,[58],13,0.84033203125,0
2,[58],14,0.328125,0
2,[58],15,0.146240234375,1
2,[58],16,0.29248046875,0
2,[58],17,0.31396484375,0
2,[58],18,0.325927734375,0
2,[58],19,0.1995849609375,1
2,[58],20,0.1990966796875,0
2,[58],21,0.375732421875,0
2,[58],22,0.37353515625,1
2,[58],23,0.2421875,1
2,[58],24,0.2431640625,0
2,[58],25,0.17919921875,0
2,[58],26,0.2091064453125,1
2,[58],27,0.197509765625,1
2,[58],28,0.5029296875,0
2,[58],29,0.0836181640625,1
2,[58],30,0.2252197265625,0
2,[58],31,0.263916015625,0
2,[58],32,0.345703125,0
2,[58],33,0.24365234375,0
2,[58],34,0.194091796875,0
2,[58],35,0.271484375,0
2,[58],36,0.2017822265625,0
2,[58],37,0.210205078125,0
2,[58],38,0.165283203125,0
2,[58],39,0.6337890625,0
2,[58],40,0.1263427734375,1
2,[58],41,0.384521484375,0
2,[58],42,0.333984375,0
