Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[10, 24]",0,0.990234375,1
0,"[10, 24]",1,2.193359375,0
0,"[10, 24]",2,1.9228515625,0
0,"[10, 24]",3,1.388671875,0
0,"[10, 24]",4,0.97216796875,1
0,"[10, 24]",5,1.6357421875,0
0,"[10, 24]",6,2.552734375,0
0,"[10, 24]",7,1.8232421875,0
0,"[10, 24]",8,1.6943359375,0
0,"[10, 24]",9,1.880859375,0
0,"[10, 24]",11,1.4052734375,0
0,"[10, 24]",12,1.2958984375,0
0,"[10, 24]",13,2.224609375,0
0,"[10, 24]",14,1.31640625,1
0,"[10, 24]",15,1.01171875,1
0,"[10, 24]",16,2.65625,0
0,"[10, 24]",17,1.8154296875,0
0,"[10, 24]",18,1.9765625,0
0,"[10, 24]",19,3.080078125,0
0,"[10, 24]",20,1.2861328125,1
0,"[10, 24]",21,1.4794921875,1
0,"[10, 24]",22,2.140625,0
0,"[10, 24]",23,1.19921875,0
0,"[10, 24]",25,1.1591796875,1
0,"[10, 24]",26,1.3642578125,1
0,"[10, 24]",27,2.166015625,0
0,"[10, 24]",28,1.3203125,0
0,"[10, 24]",29,2.486328125,0
0,"[10, 24]",30,1.4912109375,1
0,"[10, 24]",31,1.6904296875,0
1,"[19, 22]",0,1.173828125,1
1,"[19, 22]",1,1.9658203125,0
1,"[19, 22]",2,1.6787109375,0
1,"[19, 22]",3,1.333984375,1
1,"[19, 22]",4,1.1474609375,1
1,"[19, 22]",5,1.478515625,0
1,"[19, 22]",6,2.7578125,0
1,"[19, 22]",7,1.7861328125,0
1,"[19, 22]",8,1.765625,0
1,"[19, 22]",9,1.7451171875,1
1,"[19, 22]",10,2.904296875,0
1,"[19, 22]",11,1.31640625,1
1,"[19, 22]",12,1.2998046875,0
1,"[19, 22]",13,1.5107421875,0
1,"[19, 22]",14,1.2919921875,1
1,"[19, 22]",15,0.99560546875,1
1,"[19, 22]",16,2.48828125,0
1,"[19, 22]",17,1.5986328125,1
1,"[19, 22]",18,1.9638671875,0
1,"[19, 22]",20,0.50537109375,1
1,"[19, 22]",21,1.017578125,1
