Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[118],637,0.447509765625,1
0,[118],440,1.0087890625,0
0,[118],144,1.2744140625,1
0,[118],697,0.7373046875,0
0,[118],161,2.544921875,0
0,[118],360,0.55712890625,0
0,[118],376,0.51123046875,0
0,[118],36,0.7294921875,0
0,[118],371,0.6982421875,0
0,[118],247,0.76025390625,1
0,[118],263,0.4482421875,1
0,[118],173,1.83203125,0
0,[118],86,0.36962890625,1
0,[118],271,0.384521484375,0
0,[118],85,0.8623046875,0
0,[118],159,1.359375,0
0,[118],369,0.90283203125,0
0,[118],95,0.374267578125,1
0,[118],266,0.43896484375,1
0,[118],565,0.3603515625,1
0,[118],401,1.115234375,0
0,[118],250,1.02734375,0
0,[118],572,0.57275390625,0
0,[118],166,0.373291015625,1
0,[118],164,0.99755859375,0
0,[118],480,0.90869140625,0
0,[118],219,1.001953125,0
0,[118],180,0.2025146484375,1
0,[118],278,1.8291015625,0
0,[118],1,0.83447265625,0
0,[118],460,0.6279296875,0
0,[118],167,1.4521484375,0
0,[118],491,0.26025390625,1
0,[118],257,0.48193359375,0
0,[118],281,0.5126953125,1
0,[118],400,0.94970703125,0
0,[118],61,0.658203125,0
0,[118],214,1.9169921875,0
0,[118],98,0.6376953125,0
0,[118],695,0.662109375,0
0,[118],543,0.47119140625,0
0,[118],276,1.013671875,0
0,[118],211,1.2958984375,0
0,[118],499,0.5576171875,0
0,[118],40,0.5029296875,0
0,[118],254,2.123046875,0
0,[118],64,0.92236328125,1
0,[118],45,0.7080078125,0
0,[118],56,0.50390625,1
0,[118],229,0.6376953125,1
0,[118],244,0.434326171875,0
0,[118],549,0.65185546875,0
0,[118],209,1.4609375,0
0,[118],665,0.428466796875,1
0,[118],259,0.81884765625,0
0,[118],366,0.64306640625,0
0,[118],232,0.86669921875,0
0,[118],199,0.99853515625,0
0,[118],3,0.83837890625,0
0,[118],417,1.9501953125,0
0,[118],320,0.6845703125,0
0,[118],653,0.7578125,0
0,[118],343,0.5478515625,0
0,[118],57,0.475830078125,0
0,[118],222,1.099609375,0
0,[118],510,0.5888671875,1
0,[118],205,0.7783203125,0
0,[118],673,0.473876953125,0
0,[118],206,1.4814453125,0
0,[118],87,0.62548828125,0
0,[118],115,1.5654296875,0
0,[118],60,0.583984375,0
0,[118],624,0.4716796875,0
0,[118],675,1.0068359375,0
0,[118],69,0.56103515625,0
0,[118],177,0.86962890625,1
0,[118],72,0.6201171875,0
0,[118],223,1.0078125,1
0,[118],178,0.6552734375,0
0,[118],338,0.9189453125,1
0,[118],357,0.73388671875,0
0,[118],592,0.828125,0
0,[118],699,0.6708984375,0
0,[118],19,0.61767578125,0
0,[118],403,1.224609375,1
0,[118],200,1.6591796875,0
0,[118],84,0.70947265625,1
0,[118],62,0.931640625,0
0,[118],228,1.6748046875,0
0,[118],432,1.279296875,1
0,[118],645,0.428466796875,0
0,[118],365,0.94482421875,0
0,[118],153,1.1904296875,1
0,[118],619,0.61328125,0
0,[118],92,0.71533203125,0
0,[118],270,0.309326171875,1
0,[118],458,0.68359375,0
0,[118],402,1.595703125,0
0,[118],142,0.378662109375,1
0,[118],462,0.65087890625,0
0,[118],605,0.6337890625,0
0,[118],260,0.7890625,1
0,[118],184,0.58447265625,1
