Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[549],1175,0.2413330078125,1
0,[549],39,0.7392578125,1
0,[549],1291,0.7880859375,0
0,[549],1345,0.55029296875,1
0,[549],1559,1.541015625,0
0,[549],1292,0.97021484375,0
0,[549],109,0.7763671875,1
0,[549],342,0.71142578125,1
0,[549],164,0.62158203125,1
0,[549],1652,1.5654296875,0
0,[549],1168,0.96875,1
0,[549],2141,0.921875,0
0,[549],193,0.69384765625,1
0,[549],919,0.382080078125,1
0,[549],1026,0.66796875,1
0,[549],1229,1.1650390625,0
0,[549],1704,0.9462890625,0
0,[549],929,0.436279296875,1
0,[549],1765,0.83837890625,0
0,[549],1220,0.469482421875,1
0,[549],399,1.984375,0
0,[549],2229,0.99462890625,0
0,[549],1569,0.966796875,0
0,[549],1617,0.4443359375,1
0,[549],1025,0.33935546875,1
0,[549],538,0.61767578125,1
0,[549],1008,0.55810546875,1
0,[549],292,0.80029296875,1
0,[549],1963,1.2275390625,0
0,[549],472,1.1884765625,0
0,[549],1772,0.3681640625,1
0,[549],1763,1.142578125,0
0,[549],1773,1.12109375,0
0,[549],2121,0.5166015625,1
0,[549],1774,1.0205078125,0
0,[549],268,1.0302734375,0
0,[549],353,0.391357421875,1
0,[549],2097,0.61865234375,1
0,[549],469,1.12109375,0
0,[549],2223,1.087890625,0
0,[549],910,0.15283203125,1
0,[549],1522,0.4208984375,1
0,[549],1899,1.16796875,0
0,[549],1348,1.0888671875,0
0,[549],1147,0.87060546875,1
0,[549],136,1.6494140625,0
0,[549],2010,0.56201171875,1
0,[549],823,1.4580078125,0
0,[549],1951,1.0859375,0
0,[549],2091,0.27197265625,1
0,[549],604,1.2890625,0
0,[549],628,0.177490234375,1
0,[549],1487,0.859375,1
0,[549],694,0.65625,1
0,[549],1048,0.54150390625,1
0,[549],2173,1.453125,0
0,[549],157,0.230224609375,1
0,[549],2111,0.39697265625,1
0,[549],904,0.7685546875,1
0,[549],114,0.493896484375,1
0,[549],1961,1.279296875,0
0,[549],1154,0.54736328125,1
0,[549],763,0.7255859375,1
0,[549],201,1.412109375,0
0,[549],803,0.83740234375,1
0,[549],733,0.7041015625,1
0,[549],324,1.787109375,0
0,[549],816,0.289306640625,1
0,[549],1484,0.207763671875,1
0,[549],1145,0.480712890625,1
0,[549],1150,0.5107421875,1
0,[549],1926,0.78564453125,1
0,[549],545,0.491455078125,1
0,[549],758,0.2100830078125,1
0,[549],571,1.154296875,0
0,[549],1014,1.263671875,0
0,[549],1368,0.82568359375,1
0,[549],707,1.365234375,0
0,[549],1686,0.818359375,0
0,[549],1789,1.630859375,0
0,[549],1233,1.0419921875,0
0,[549],1047,0.407958984375,1
0,[549],1346,1.0888671875,0
0,[549],647,1.8017578125,0
0,[549],2099,0.445068359375,1
0,[549],1643,0.93359375,0
0,[549],1441,0.50244140625,1
0,[549],1950,1.533203125,0
0,[549],7,1.431640625,0
0,[549],2020,0.76318359375,1
0,[549],1182,0.63134765625,1
0,[549],1639,1.3134765625,0
0,[549],2176,1.0302734375,0
0,[549],165,0.422119140625,1
0,[549],1587,0.88525390625,0
0,[549],14,0.9091796875,0
0,[549],1968,1.6416015625,0
0,[549],960,1.1748046875,0
0,[549],931,0.2939453125,1
0,[549],2216,1.3505859375,0
0,[549],819,0.1514892578125,1
0,[549],1126,1.2080078125,0
0,[549],367,0.427734375,1
0,[549],1108,1.2861328125,0
0,[549],636,0.63427734375,1
0,[549],1098,0.619140625,1
0,[549],1833,0.97607421875,0
0,[549],1980,0.67724609375,1
0,[549],1492,0.97802734375,0
0,[549],2201,1.3251953125,0
0,[549],927,1.1865234375,0
0,[549],121,0.86962890625,1
0,[549],1620,0.3828125,1
0,[549],1657,0.7939453125,1
0,[549],858,0.330078125,1
0,[549],1365,0.55810546875,1
0,[549],1908,1.7666015625,0
0,[549],644,0.9140625,0
0,[549],1417,2.62890625,0
0,[549],704,1.52734375,0
0,[549],1845,1.6865234375,0
0,[549],546,0.57080078125,1
0,[549],1636,0.15234375,1
0,[549],1388,0.72412109375,1
0,[549],1810,0.443115234375,1
0,[549],71,0.2158203125,1
0,[549],1452,0.46484375,1
0,[549],1651,0.47412109375,1
0,[549],279,0.30615234375,1
0,[549],2138,0.32080078125,1
0,[549],400,0.7724609375,1
0,[549],562,0.63134765625,1
0,[549],1879,1.111328125,0
0,[549],1511,0.80517578125,1
0,[549],600,0.51416015625,1
0,[549],2152,0.64892578125,1
0,[549],1240,0.748046875,1
0,[549],747,0.430908203125,1
0,[549],339,1.81640625,0
0,[549],690,0.46630859375,1
0,[549],2286,1.2451171875,0
0,[549],1420,0.876953125,0
0,[549],379,0.5791015625,1
0,[549],450,0.84814453125,0
0,[549],2276,0.7587890625,0
0,[549],366,0.83935546875,1
0,[549],687,0.51220703125,1
0,[549],1938,0.5224609375,1
0,[549],995,1.0908203125,0
0,[549],15,0.998046875,0
0,[549],1785,0.57177734375,1
0,[549],2093,0.2152099609375,1
0,[549],542,0.5986328125,1
0,[549],220,1.03125,0
0,[549],554,1.4765625,0
0,[549],470,0.5673828125,1
0,[549],2288,0.68896484375,1
0,[549],347,0.358154296875,1
0,[549],575,0.8935546875,0
0,[549],2009,1.4794921875,0
0,[549],1395,0.6875,1
0,[549],946,1.28125,0
0,[549],892,0.488525390625,1
0,[549],774,1.09375,0
0,[549],1347,0.351318359375,1
0,[549],2071,0.1126708984375,1
0,[549],734,0.97216796875,0
0,[549],579,0.56103515625,1
0,[549],152,0.55078125,1
0,[549],864,0.51513671875,1
0,[549],2202,0.473876953125,1
0,[549],557,1.3046875,0
0,[549],1258,0.8203125,0
0,[549],1819,0.6298828125,1
0,[549],1562,1.0498046875,0
0,[549],1379,0.426513671875,1
0,[549],493,0.716796875,1
0,[549],1883,0.5595703125,1
0,[549],1449,0.7861328125,1
0,[549],1340,1.0634765625,0
0,[549],1067,1.0947265625,0
0,[549],1983,0.609375,1
0,[549],1173,2.296875,0
0,[549],1556,1.029296875,0
0,[549],2283,0.5703125,1
0,[549],566,0.72509765625,1
0,[549],1024,0.2890625,1
0,[549],147,0.5185546875,1
0,[549],584,0.7978515625,1
0,[549],1685,0.8515625,0
0,[549],391,1.0048828125,0
0,[549],1306,0.61474609375,1
0,[549],397,1.9052734375,0
0,[549],979,0.5048828125,1
0,[549],2131,0.6982421875,1
0,[549],1874,0.2109375,1
0,[549],1743,0.66845703125,1
0,[549],1869,0.420166015625,1
0,[549],238,0.32861328125,1
0,[549],217,1.5048828125,0
1,[247],1175,0.466552734375,1
1,[247],39,0.95458984375,1
1,[247],1291,0.72802734375,1
1,[247],1345,0.4208984375,1
1,[247],1559,1.5263671875,0
1,[247],1292,1.4912109375,0
1,[247],109,1.2734375,0
1,[247],342,0.880859375,1
1,[247],164,0.53271484375,1
1,[247],1652,1.9306640625,0
1,[247],1168,1.166015625,1
1,[247],2141,0.5517578125,1
1,[247],193,0.66455078125,1
1,[247],919,0.478271484375,1
1,[247],1026,0.474365234375,1
1,[247],1229,1.447265625,0
1,[247],1704,0.8046875,0
1,[247],929,0.41259765625,1
1,[247],1765,0.74658203125,1
1,[247],1220,0.16796875,1
1,[247],399,1.892578125,0
1,[247],2229,0.783203125,1
1,[247],1569,0.55615234375,1
1,[247],1617,0.52783203125,1
1,[247],1025,0.396484375,1
1,[247],538,1.1083984375,1
1,[247],1008,1.0439453125,1
1,[247],292,0.8837890625,0
1,[247],1963,1.74609375,0
1,[247],472,1.25,0
1,[247],1772,0.2900390625,1
1,[247],1763,1.0830078125,1
1,[247],1773,1.6630859375,0
1,[247],2121,0.40380859375,1
1,[247],1774,0.92431640625,0
1,[247],268,0.8662109375,1
1,[247],353,0.382080078125,1
1,[247],2097,0.39208984375,1
1,[247],469,1.7373046875,0
1,[247],2223,1.359375,0
1,[247],910,0.132080078125,1
1,[247],1522,0.41357421875,1
1,[247],1899,2.486328125,0
1,[247],1348,1.2060546875,0
1,[247],1147,1.1015625,0
1,[247],136,1.73828125,0
1,[247],2010,0.56982421875,1
1,[247],823,1.8408203125,0
1,[247],1951,1.2958984375,0
1,[247],2091,0.2783203125,1
1,[247],604,1.48046875,0
1,[247],628,0.177978515625,1
1,[247],1487,0.88330078125,1
1,[247],694,0.5087890625,1
1,[247],1048,0.7802734375,1
1,[247],2173,0.75390625,1
1,[247],157,0.3603515625,1
1,[247],2111,0.6396484375,1
1,[247],904,0.53271484375,1
1,[247],114,0.81982421875,1
1,[247],1961,1.0947265625,0
1,[247],1154,1.0185546875,0
1,[247],763,0.6494140625,1
1,[247],201,0.81591796875,1
1,[247],803,0.77783203125,1
1,[247],733,0.68896484375,1
1,[247],324,1.640625,0
1,[247],816,0.41455078125,1
1,[247],1484,0.2626953125,1
1,[247],1145,0.3876953125,1
1,[247],1150,0.61181640625,1
1,[247],1926,0.61328125,1
1,[247],545,0.61376953125,1
1,[247],758,0.53271484375,1
1,[247],571,1.439453125,0
1,[247],1014,2.40625,0
1,[247],1368,0.67041015625,1
1,[247],707,1.091796875,0
1,[247],1686,0.70361328125,1
1,[247],1789,1.037109375,1
1,[247],1233,1.1220703125,1
1,[247],1047,0.51708984375,1
1,[247],1346,0.875,1
1,[247],647,1.0263671875,0
1,[247],2099,0.430908203125,1
1,[247],1643,1.064453125,1
1,[247],1441,0.38818359375,1
1,[247],1950,2.51953125,0
1,[247],7,0.86328125,1
1,[247],2020,0.87158203125,1
1,[247],1182,0.740234375,1
1,[247],1639,1.0869140625,0
1,[247],2176,1.818359375,0
1,[247],165,0.80419921875,0
1,[247],1587,0.74853515625,1
1,[247],14,0.8515625,0
1,[247],1968,1.55859375,0
1,[247],960,1.1279296875,0
1,[247],931,0.347412109375,1
1,[247],2216,1.0712890625,0
1,[247],819,0.2271728515625,1
1,[247],1126,1.33984375,1
1,[247],367,0.66650390625,1
1,[247],1108,0.79833984375,1
1,[247],636,0.8818359375,1
1,[247],1098,0.76025390625,1
1,[247],1833,1.2255859375,0
1,[247],1980,0.8701171875,1
1,[247],1492,1.1435546875,0
1,[247],2201,1.439453125,0
1,[247],927,0.87744140625,1
1,[247],121,0.51806640625,1
1,[247],1620,0.87548828125,1
1,[247],1657,0.51806640625,1
1,[247],858,0.435546875,1
1,[247],1365,0.4248046875,1
1,[247],1908,1.630859375,0
1,[247],644,0.5634765625,1
1,[247],1417,3.119140625,0
1,[247],704,1.8193359375,0
1,[247],1845,2.046875,0
1,[247],546,0.52490234375,1
1,[247],1636,0.1744384765625,1
1,[247],1388,0.9384765625,1
1,[247],1810,0.344970703125,1
1,[247],71,0.271728515625,1
1,[247],1452,0.798828125,1
1,[247],1651,0.3388671875,1
1,[247],279,0.481201171875,1
1,[247],2138,0.336669921875,1
1,[247],400,0.9130859375,1
1,[247],562,0.435302734375,1
1,[247],1879,1.109375,1
1,[247],1511,0.67578125,1
1,[247],600,0.6591796875,1
1,[247],2152,0.2276611328125,1
1,[247],1240,1.2744140625,0
1,[247],747,1.3271484375,0
1,[247],339,1.91796875,0
1,[247],690,0.97900390625,0
1,[247],2286,1.3564453125,0
1,[247],1420,0.62451171875,1
1,[247],379,0.5068359375,1
1,[247],450,0.35595703125,1
1,[247],2276,0.98974609375,0
1,[247],366,1.0458984375,1
1,[247],687,0.66650390625,1
1,[247],1938,0.57080078125,1
1,[247],995,0.791015625,0
1,[247],15,0.79931640625,1
1,[247],1785,0.92529296875,0
1,[247],2093,0.2332763671875,1
1,[247],542,0.91748046875,1
1,[247],220,0.83642578125,1
1,[247],554,1.90234375,0
1,[247],470,0.4306640625,1
1,[247],2288,0.8701171875,1
1,[247],347,0.609375,1
1,[247],575,1.1484375,0
1,[247],2009,1.1826171875,0
1,[247],1395,0.74658203125,1
1,[247],946,1.2890625,0
1,[247],892,0.76806640625,1
1,[247],774,0.70751953125,1
1,[247],1347,0.252685546875,1
1,[247],2071,0.259765625,1
1,[247],734,1.1728515625,0
1,[247],579,0.8779296875,1
1,[247],152,0.71923828125,1
1,[247],864,0.50732421875,1
1,[247],2202,0.8505859375,1
1,[247],557,1.1318359375,0
1,[247],1258,0.896484375,0
1,[247],1819,0.73486328125,1
1,[247],1562,0.8740234375,0
1,[247],1379,0.208740234375,1
1,[247],493,0.65283203125,1
1,[247],1883,0.9384765625,1
1,[247],1449,1.3271484375,0
1,[247],1340,1.51953125,0
1,[247],1067,0.479736328125,1
1,[247],1983,0.912109375,1
1,[247],1173,2.28515625,0
1,[247],1556,1.59765625,0
1,[247],2283,0.26806640625,1
1,[247],566,1.54296875,0
1,[247],1024,0.469970703125,1
1,[247],147,0.41064453125,1
1,[247],584,1.05078125,0
1,[247],1685,1.0390625,0
1,[247],391,1.404296875,0
1,[247],1306,0.57373046875,1
1,[247],397,1.6259765625,0
1,[247],979,0.482177734375,1
1,[247],2131,0.57275390625,1
1,[247],1874,0.55029296875,1
1,[247],1743,1.2578125,0
1,[247],1869,0.61572265625,1
1,[247],238,0.431640625,1
1,[247],217,1.8154296875,0
2,[1062],1175,0.227783203125,1
2,[1062],39,0.9638671875,0
2,[1062],1291,0.54833984375,1
2,[1062],1345,0.4150390625,1
2,[1062],1559,0.71240234375,1
2,[1062],1292,1.08984375,0
2,[1062],109,1.119140625,0
2,[1062],342,0.85107421875,1
2,[1062],164,0.78564453125,1
2,[1062],1652,0.9091796875,0
2,[1062],1168,0.95849609375,1
2,[1062],2141,1.1083984375,0
2,[1062],193,1.0712890625,0
2,[1062],919,0.294677734375,1
2,[1062],1026,0.79443359375,1
2,[1062],1229,1.3076171875,0
2,[1062],1704,1.2158203125,0
2,[1062],929,0.301513671875,1
2,[1062],1765,0.7119140625,1
2,[1062],1220,0.1083984375,1
2,[1062],399,1.3623046875,1
2,[1062],2229,0.83544921875,0
2,[1062],1569,0.98095703125,0
2,[1062],1617,0.3759765625,1
2,[1062],1025,0.33447265625,1
2,[1062],538,0.40380859375,1
2,[1062],1008,0.58154296875,1
2,[1062],292,0.69140625,1
2,[1062],1963,1.072265625,0
2,[1062],472,1.0712890625,0
2,[1062],1772,0.309326171875,1
2,[1062],1763,1.5693359375,0
2,[1062],1773,0.693359375,1
2,[1062],2121,0.94287109375,1
2,[1062],1774,1.1953125,0
2,[1062],268,1.1064453125,0
2,[1062],353,0.572265625,1
2,[1062],2097,0.6748046875,1
2,[1062],469,1.0810546875,0
2,[1062],2223,1.525390625,0
2,[1062],910,0.130859375,1
2,[1062],1522,0.431884765625,1
2,[1062],1899,1.04296875,0
2,[1062],1348,1.12109375,0
2,[1062],1147,0.623046875,1
2,[1062],136,1.7158203125,0
2,[1062],2010,0.406005859375,1
2,[1062],823,1.5654296875,0
2,[1062],1951,1.142578125,0
2,[1062],2091,0.340087890625,1
2,[1062],604,1.568359375,0
2,[1062],628,0.166015625,1
2,[1062],1487,0.86669921875,1
2,[1062],694,0.67822265625,1
2,[1062],1048,0.3603515625,1
2,[1062],2173,1.6337890625,0
2,[1062],157,0.288330078125,1
2,[1062],2111,0.63671875,1
2,[1062],904,0.67919921875,1
2,[1062],114,0.36083984375,1
2,[1062],1961,0.77880859375,1
2,[1062],1154,0.53759765625,1
2,[1062],763,0.650390625,1
2,[1062],201,1.470703125,0
2,[1062],803,0.90673828125,0
2,[1062],733,0.60107421875,1
2,[1062],324,1.4013671875,0
2,[1062],816,0.27685546875,1
2,[1062],1484,0.1866455078125,1
2,[1062],1145,0.413818359375,1
2,[1062],1150,0.407958984375,1
2,[1062],1926,0.47216796875,1
2,[1062],545,0.359619140625,1
2,[1062],758,0.283447265625,1
2,[1062],571,1.07421875,0
2,[1062],1014,1.73828125,0
2,[1062],1368,0.485107421875,1
2,[1062],707,1.5693359375,0
2,[1062],1686,0.50146484375,1
2,[1062],1789,1.6044921875,0
2,[1062],1233,0.88671875,1
2,[1062],1047,0.358642578125,1
2,[1062],1346,2.416015625,0
2,[1062],647,1.2431640625,0
2,[1062],2099,0.6708984375,1
2,[1062],1643,0.433349609375,1
2,[1062],1441,0.292236328125,1
2,[1062],1950,1.2333984375,0
2,[1062],7,1.408203125,0
2,[1062],2020,0.88720703125,0
2,[1062],1182,0.371337890625,1
2,[1062],1639,1.18359375,0
2,[1062],2176,0.8603515625,0
2,[1062],165,0.412353515625,1
2,[1062],1587,1.1337890625,0
2,[1062],14,0.888671875,0
2,[1062],1968,1.6181640625,0
2,[1062],960,0.78125,1
2,[1062],931,0.544921875,1
2,[1062],2216,1.626953125,0
2,[1062],819,0.1619873046875,1
2,[1062],1126,1.1611328125,0
2,[1062],367,0.3662109375,1
