Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[856, 484]",53,0.9033203125,0
0,"[856, 484]",61,0.9755859375,1
0,"[856, 484]",163,1.0458984375,0
0,"[856, 484]",40,1.06640625,0
0,"[856, 484]",86,0.873046875,1
0,"[856, 484]",162,0.9033203125,0
0,"[856, 484]",189,0.953125,0
0,"[856, 484]",103,0.93505859375,0
0,"[856, 484]",52,0.953125,0
0,"[856, 484]",111,0.93505859375,1
0,"[856, 484]",55,1.06640625,0
0,"[856, 484]",183,1.005859375,0
0,"[856, 484]",15,0.96435546875,0
0,"[856, 484]",26,0.9755859375,0
0,"[856, 484]",21,1.06640625,0
0,"[856, 484]",43,1.06640625,0
0,"[856, 484]",14,1.0458984375,0
0,"[856, 484]",121,1.0458984375,0
0,"[856, 484]",45,0.9755859375,0
0,"[856, 484]",75,1.005859375,0
0,"[856, 484]",78,0.93505859375,0
0,"[856, 484]",39,1.06640625,1
0,"[856, 484]",100,1.0458984375,0
0,"[856, 484]",184,0.873046875,1
0,"[856, 484]",74,1.0458984375,0
0,"[856, 484]",64,0.9755859375,0
0,"[856, 484]",58,1.06640625,0
0,"[856, 484]",24,1.06640625,0
0,"[856, 484]",169,0.70166015625,1
0,"[856, 484]",136,0.873046875,0
0,"[856, 484]",117,1.0458984375,0
0,"[856, 484]",84,0.953125,0
0,"[856, 484]",8,0.9033203125,1
0,"[856, 484]",113,1.0458984375,0
0,"[856, 484]",152,0.93505859375,0
0,"[856, 484]",180,0.9033203125,1
0,"[856, 484]",82,1.0458984375,0
0,"[856, 484]",90,0.953125,0
0,"[856, 484]",99,0.7333984375,0
0,"[856, 484]",149,1.0458984375,0
0,"[856, 484]",145,1.005859375,0
0,"[856, 484]",191,0.8642578125,0
0,"[856, 484]",130,0.93505859375,0
0,"[856, 484]",94,1.005859375,0
0,"[856, 484]",69,0.81884765625,1
0,"[856, 484]",1,1.06640625,0
0,"[856, 484]",81,1.005859375,0
0,"[856, 484]",118,1.005859375,0
0,"[856, 484]",153,0.93505859375,0
0,"[856, 484]",35,1.06640625,0
0,"[856, 484]",89,0.9033203125,0
0,"[856, 484]",146,0.9033203125,0
0,"[856, 484]",44,1.06640625,0
0,"[856, 484]",159,1.005859375,0
0,"[856, 484]",185,1.0458984375,0
0,"[856, 484]",116,0.953125,0
0,"[856, 484]",57,1.06640625,0
0,"[856, 484]",101,1.005859375,0
0,"[856, 484]",133,0.93505859375,0
0,"[856, 484]",5,1.0458984375,0
0,"[856, 484]",127,1.0458984375,0
0,"[856, 484]",66,1.0458984375,0
0,"[856, 484]",134,0.953125,0
0,"[856, 484]",33,1.06640625,0
0,"[856, 484]",148,0.873046875,0
0,"[856, 484]",167,1.005859375,0
0,"[856, 484]",125,0.93505859375,1
0,"[856, 484]",91,1.005859375,0
0,"[856, 484]",54,1.134765625,0
0,"[856, 484]",141,1.005859375,0
0,"[856, 484]",150,0.873046875,0
0,"[856, 484]",107,0.85205078125,0
0,"[856, 484]",142,0.93505859375,0
0,"[856, 484]",38,0.96435546875,1
0,"[856, 484]",131,0.873046875,0
0,"[856, 484]",144,1.005859375,0
0,"[856, 484]",71,1.005859375,0
0,"[856, 484]",190,0.9755859375,0
0,"[856, 484]",132,0.953125,0
0,"[856, 484]",0,1.134765625,0
0,"[856, 484]",128,1.005859375,0
0,"[856, 484]",194,1.005859375,0
0,"[856, 484]",88,1.005859375,0
0,"[856, 484]",63,0.953125,0
0,"[856, 484]",60,1.0458984375,0
0,"[856, 484]",47,0.953125,0
0,"[856, 484]",197,0.78271484375,0
0,"[856, 484]",186,1.0458984375,0
0,"[856, 484]",42,1.06640625,0
0,"[856, 484]",175,0.953125,0
0,"[856, 484]",25,1.0458984375,0
0,"[856, 484]",174,1.005859375,0
0,"[856, 484]",102,0.873046875,1
0,"[856, 484]",37,1.134765625,0
0,"[856, 484]",51,1.06640625,0
0,"[856, 484]",12,1.06640625,0
0,"[856, 484]",170,0.953125,0
0,"[856, 484]",192,0.93505859375,1
0,"[856, 484]",98,1.005859375,0
0,"[856, 484]",196,0.953125,0
0,"[856, 484]",95,1.0458984375,0
0,"[856, 484]",114,0.81884765625,0
0,"[856, 484]",109,0.93505859375,0
0,"[856, 484]",9,1.134765625,0
0,"[856, 484]",29,1.06640625,0
0,"[856, 484]",13,1.134765625,0
0,"[856, 484]",193,0.873046875,1
0,"[856, 484]",160,0.93505859375,0
0,"[856, 484]",65,1.0458984375,0
0,"[856, 484]",115,0.93505859375,1
0,"[856, 484]",177,0.93505859375,0
0,"[856, 484]",182,1.0458984375,0
0,"[856, 484]",72,0.953125,0
0,"[856, 484]",147,1.005859375,0
0,"[856, 484]",17,1.06640625,0
0,"[856, 484]",120,1.005859375,0
0,"[856, 484]",157,0.7333984375,0
0,"[856, 484]",129,0.81884765625,1
0,"[856, 484]",156,0.81884765625,1
0,"[856, 484]",179,1.0458984375,0
0,"[856, 484]",70,1.005859375,0
0,"[856, 484]",122,0.953125,0
0,"[856, 484]",139,1.0458984375,0
0,"[856, 484]",151,1.0458984375,0
0,"[856, 484]",119,1.0458984375,0
0,"[856, 484]",93,0.93505859375,0
0,"[856, 484]",110,0.9755859375,0
0,"[856, 484]",27,1.0458984375,0
0,"[856, 484]",6,1.06640625,0
0,"[856, 484]",62,0.7705078125,1
0,"[856, 484]",56,1.134765625,0
0,"[856, 484]",154,0.9033203125,1
0,"[856, 484]",73,0.953125,0
0,"[856, 484]",23,0.9033203125,0
0,"[856, 484]",76,1.0458984375,0
0,"[856, 484]",143,1.0458984375,0
1,"[765, 553]",53,0.6767578125,0
1,"[765, 553]",61,0.72412109375,0
1,"[765, 553]",163,0.76416015625,0
1,"[765, 553]",40,0.798828125,0
1,"[765, 553]",86,1.263671875,0
1,"[765, 553]",162,0.6767578125,0
1,"[765, 553]",189,0.62109375,1
1,"[765, 553]",103,1.3525390625,0
1,"[765, 553]",52,0.62109375,1
1,"[765, 553]",111,1.3525390625,0
1,"[765, 553]",55,0.798828125,0
1,"[765, 553]",183,1.431640625,0
1,"[765, 553]",15,0.344970703125,0
1,"[765, 553]",26,0.72412109375,0
1,"[765, 553]",21,0.798828125,0
1,"[765, 553]",43,0.798828125,0
1,"[765, 553]",14,0.76416015625,0
1,"[765, 553]",121,0.76416015625,0
1,"[765, 553]",45,0.72412109375,0
1,"[765, 553]",75,1.431640625,0
1,"[765, 553]",78,1.3525390625,0
1,"[765, 553]",39,0.798828125,0
1,"[765, 553]",100,0.76416015625,0
1,"[765, 553]",184,1.263671875,0
1,"[765, 553]",74,0.76416015625,0
1,"[765, 553]",64,0.72412109375,0
1,"[765, 553]",58,0.798828125,0
1,"[765, 553]",24,0.798828125,0
1,"[765, 553]",169,1.0,0
1,"[765, 553]",136,1.263671875,0
1,"[765, 553]",117,0.76416015625,0
1,"[765, 553]",84,0.62109375,1
1,"[765, 553]",8,0.6767578125,0
1,"[765, 553]",113,0.76416015625,0
1,"[765, 553]",152,1.3525390625,0
1,"[765, 553]",180,0.6767578125,0
1,"[765, 553]",82,0.76416015625,0
1,"[765, 553]",90,0.62109375,0
1,"[765, 553]",99,0.9521484375,0
1,"[765, 553]",149,0.76416015625,0
