Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,[9432],513,0.45654296875,0
0,[9432],514,1.5458984375,0
0,[9432],354,0.417236328125,1
0,[9432],516,0.395263671875,0
0,[9432],1,0.56884765625,1
0,[9432],518,0.299560546875,0
0,[9432],353,0.4638671875,1
0,[9432],10,1.3115234375,0
0,[9432],13,0.54638671875,1
0,[9432],14,0.767578125,0
0,[9432],526,0.252197265625,0
0,[9432],527,0.2802734375,0
0,[9432],369,0.296875,0
0,[9432],530,0.27587890625,1
0,[9432],531,0.896484375,0
0,[9432],371,0.1141357421875,1
0,[9432],534,0.3564453125,0
0,[9432],374,0.2249755859375,0
0,[9432],539,0.3984375,0
0,[9432],379,0.161376953125,1
0,[9432],35,0.7109375,1
0,[9432],36,0.3876953125,0
0,[9432],39,0.374755859375,0
0,[9432],556,0.332275390625,1
0,[9432],46,0.349609375,0
0,[9432],238,0.3525390625,1
0,[9432],245,1.68359375,0
0,[9432],407,0.10736083984375,1
0,[9432],56,0.333251953125,1
0,[9432],570,0.299072265625,1
0,[9432],58,0.288330078125,1
0,[9432],60,0.45556640625,1
0,[9432],571,0.286376953125,1
0,[9432],418,0.25390625,0
0,[9432],422,0.2335205078125,0
0,[9432],266,0.345947265625,0
0,[9432],75,0.27197265625,1
0,[9432],596,0.1151123046875,0
0,[9432],279,0.30419921875,1
0,[9432],88,0.406005859375,1
0,[9432],440,0.6318359375,1
0,[9432],96,1.572265625,0
0,[9432],97,1.623046875,0
0,[9432],99,0.234375,1
0,[9432],613,0.418212890625,0
0,[9432],454,0.1065673828125,1
0,[9432],103,0.423095703125,0
0,[9432],620,1.189453125,0
0,[9432],623,0.358642578125,0
0,[9432],624,0.299072265625,0
0,[9432],113,0.252197265625,1
0,[9432],470,0.167724609375,0
0,[9432],475,0.166259765625,1
0,[9432],123,0.26806640625,1
0,[9432],317,1.734375,0
0,[9432],481,0.10858154296875,1
0,[9432],322,0.346435546875,0
0,[9432],131,0.487060546875,0
0,[9432],482,0.249267578125,0
0,[9432],484,0.2373046875,0
0,[9432],486,0.2322998046875,0
0,[9432],136,0.350341796875,0
0,[9432],138,1.53515625,0
0,[9432],140,1.654296875,0
0,[9432],336,0.311767578125,0
0,[9432],657,0.67822265625,0
0,[9432],338,1.591796875,0
0,[9432],499,0.2413330078125,1
0,[9432],660,0.33935546875,1
0,[9432],659,1.17578125,0
0,[9432],152,0.5322265625,0
0,[9432],156,0.2132568359375,0
0,[9432],5,0.78125,0
0,[9432],519,0.189208984375,1
0,[9432],169,1.2587890625,0
0,[9432],171,0.373046875,0
0,[9432],15,0.68359375,0
0,[9432],532,0.33544921875,1
0,[9432],373,0.36328125,0
0,[9432],21,0.83251953125,0
0,[9432],24,0.5869140625,0
0,[9432],191,0.335693359375,0
0,[9432],544,0.51123046875,0
0,[9432],34,0.4130859375,0
0,[9432],42,0.1800537109375,1
0,[9432],554,1.85546875,0
0,[9432],202,0.31396484375,0
0,[9432],205,0.321044921875,0
0,[9432],212,0.353515625,0
0,[9432],217,0.33642578125,0
0,[9432],218,0.3076171875,0
0,[9432],222,0.313720703125,0
0,[9432],66,0.371826171875,1
0,[9432],227,0.51904296875,0
0,[9432],230,0.1353759765625,0
0,[9432],235,0.352294921875,0
0,[9432],588,0.1187744140625,1
0,[9432],444,0.53857421875,0
0,[9432],610,0.3828125,0
0,[9432],451,1.3017578125,0
0,[9432],263,0.59033203125,0
0,[9432],272,0.30419921875,0
0,[9432],273,0.30859375,0
0,[9432],114,0.21337890625,1
0,[9432],626,0.286865234375,0
