Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
0,"[12, 38]",0,0.1270514875650406,1
0,"[12, 38]",1,0.899495542049408,1
0,"[12, 38]",2,0.9843785166740417,0
0,"[12, 38]",3,0.20689766108989716,0
0,"[12, 38]",4,0.1273086667060852,1
0,"[12, 38]",5,0.09918683767318726,1
0,"[12, 38]",6,0.9631246328353882,0
0,"[12, 38]",7,0.22414037585258484,1
0,"[12, 38]",8,0.1805812269449234,0
0,"[12, 38]",9,0.27523359656333923,0
0,"[12, 38]",10,0.9796760678291321,0
0,"[12, 38]",11,1.513110876083374,0
0,"[12, 38]",13,0.37236836552619934,0
0,"[12, 38]",14,0.17842431366443634,1
0,"[12, 38]",15,0.13525478541851044,1
0,"[12, 38]",16,0.2945108711719513,0
0,"[12, 38]",17,0.6303989887237549,0
0,"[12, 38]",18,0.275570273399353,0
0,"[12, 38]",19,0.2425125688314438,1
0,"[12, 38]",20,0.2817715108394623,0
0,"[12, 38]",21,0.0962713286280632,1
0,"[12, 38]",22,0.4369673728942871,0
0,"[12, 38]",23,0.7809278964996338,0
0,"[12, 38]",24,0.2404652237892151,1
0,"[12, 38]",25,0.3977522552013397,0
0,"[12, 38]",26,0.2812965214252472,1
0,"[12, 38]",27,0.360478013753891,0
0,"[12, 38]",28,0.38471540808677673,0
0,"[12, 38]",29,0.07004976272583008,1
0,"[12, 38]",30,0.3176799714565277,0
0,"[12, 38]",31,0.33098530769348145,0
0,"[12, 38]",32,0.1345677673816681,1
0,"[12, 38]",33,0.16476155817508698,0
0,"[12, 38]",34,0.10654453933238983,1
0,"[12, 38]",35,0.3559684753417969,1
0,"[12, 38]",36,0.6163718700408936,0
0,"[12, 38]",37,1.0556429624557495,0
0,"[12, 38]",39,0.1466599553823471,0
0,"[12, 38]",40,0.5023247003555298,1
0,"[12, 38]",41,0.9002281427383423,1
0,"[12, 38]",42,0.11329665035009384,0
0,"[12, 38]",43,0.14689724147319794,1
0,"[12, 38]",44,0.686371386051178,1
0,"[12, 38]",45,0.27655068039894104,1
0,"[12, 38]",46,0.38350608944892883,0
0,"[12, 38]",47,0.398430198431015,0
0,"[12, 38]",48,0.31538328528404236,1
0,"[12, 38]",49,0.31703734397888184,0
0,"[12, 38]",50,0.8594279885292053,0
0,"[12, 38]",51,0.6793218851089478,1
0,"[12, 38]",52,0.33780601620674133,0
0,"[12, 38]",12,0.20322050154209137,1
0,"[12, 38]",38,0.27496084570884705,0
0,"[12, 38]",53,0.43398603796958923,0
0,"[12, 38]",54,0.9554573893547058,0
0,"[12, 38]",55,0.4765714704990387,0
0,"[12, 38]",56,0.9209439754486084,0
0,"[12, 38]",57,0.10092237591743469,1
0,"[12, 38]",58,1.419397234916687,0
0,"[12, 38]",59,0.5396500825881958,0
0,"[12, 38]",60,0.5204309225082397,0
0,"[12, 38]",61,0.7272133231163025,0
0,"[12, 38]",62,0.480752557516098,1
0,"[12, 38]",63,0.22981029748916626,0
0,"[12, 38]",64,0.42864999175071716,1
0,"[12, 38]",65,0.19669687747955322,0
0,"[12, 38]",66,0.34220513701438904,1
0,"[12, 38]",67,0.09610851109027863,1
